|glyph|phon|meaning|note|
|-----|----|-------|----|
𓁷 𓂋 𓇯||upper part, top|oberair oberer upper 
𓆼 𓄿 𓅱 𓏮 𓇰||night|LAILAUN / LEYLUN ARAB/SEMITIC lAIrLAUN  --
𓆼 𓄿 𓆑 𓂝 𓂡||grasp|graifan graps 
𓆼 𓄿 𓆓 𓈒 𓈒||dough|Taisch  / Teig 
𓆼 𓄿 𓇰||LA: Lair, Lärche, Adler ... |
𓆼 𓄿 𓊃 𓏴 𓈇 𓏤||creek ? runnel ?|kharic   Tau-Zieh- Ka_nal ƒ
𓆼 𓅪  𓀀||fool|χίλι-vål: silli-fool  EN / unkel Onkel / Töffel TauFool Teufel
𓆼 𓅱 𓆱 𓏥||plants|kharunes / a'grun ⇔ agrargrün  ← / Grain➙ / TauGrün / TausendGrün
𓆼 𓋴 𓏏 𓈉||hill country, foreign land, desert|Küste / Wüste  ← qvest  / Kast ⇔ coast ⇔ dašt@Pers ? ? / Tausend Länder/Berge  ←
𓆼 𓋴 𓏏 𓈉||hill country, foreign land, desert|Küste / Wüste  ← qvest  / Kast ⇔ coast ⇔ dašt@Pers ? ?
𓆼 𓏤 𓏥||thousands|® plural  / /
𓆼 𓐍 𓋴 𓍿 𓈉||hill country, foreign land, desert|Kast ⇔ coast ⇔ dašt@Pers ? ? / Taur-Gestein?
𓆼𓄿𓇰 𓆼𓄿𓇰 𓆼𓄿𓇰 𓆼𓄿𓇰 𓆼𓄿𓇰 𓆼𓄿𓇰 𓆼𓄿𓇰 𓆼𓄿𓇰 𓆼𓄿𓇰 𓆼𓄿𓇰 𓆼𓄿𓇰 𓆼𓄿𓇰 𓆼𓄿𓇰|||χίλιοι~Cal'la=Lilie(lotus)~leylun=night ?  ← / Lilie? YES≠ lotus= vs לילה Laila ليل leylun = night ⇔ lune
𓇇 𓇋 𓇋 𓏏 𓆰||north plant|NAURIS=NOREED=𓇇=NORTH   <> nude 𓇉 Not / Haar
𓇉 𓄿 𓅱 𓏏 𓏥 𓎟 𓈓||(the Aegean) Islanders| Nauticallis  <> Naucratis
𓇉 𓄿 𓀁||(non - enclitic part.) would that , O| Ha Har wäre… Wahre... hier her / hieri / schiere Vernunft / Schiri / 
𓇉 𓄿 𓂝 𓂝 𓂻||touch (of ship on land)| <> harbor ??
𓇉 𓄿 𓀠 𓏥||fishermen|Harker harpooner / Faishar فيشر   / Nar=fish ~ Nauter / ribara @ HRV rybář ces river Räuber
𓇉 𓄿 𓍘 𓇋 𓇲||cloudiness (of sky)|C.LAo.Dy cloudy  --? / her'ty ~herbst : veil @ SEM <<
𓇉 𓄿 𓍘 𓇋 𓍱||fine linen|hair-tissue  / scher-tissue  / schur-tissue 
𓇉 𓄿 𓏏 𓏒 𓏥||food|Fladen ~ food  / hard brot Horten? / faad ⇔ food? / 2) Naa
𓇉 𓅱 𓎟 𓎟 𓎟||(Aegean) Islanders, Isles|Horientaler / 'Oriental / Aegean Islanders / ⇔Orion ? ← / Taler / Tales ← / Tacheles ⇔ Tocharians , Taxa ? / 
𓇉 𓇉 𓂻||stumble|FALL  / harhar  /
𓇉𓄿𓍘𓇋𓇲 𓅷𓄿𓅓𓋳||←?> radiyd  ?|
𓇉𓄿𓍘𓇋𓇲 𓇉𓄿𓊪𓋳 𓅷𓄿𓅓𓋳||radiyd   ?|⇔ hrain? --
𓇋 𓀁||O, say, utterance|ey pheme 
𓇋 𓀢 𓏪||adoration|ehail fame 
𓇋 𓁹 𓀾||shape, form|foyma form   /  femoy
𓇋 𓀁 𓈖 𓂋 𓅐||shudder|Einer-mut / Schauder Edda style  / einer muss /
𓇋 𓀁 𓎡 𓈖 𓏌 𓅱 𓆱||hoe| Ackernu<<   
𓇋 𓀞||(interjection) O |eho ach? 
𓇋 𓁹 𓂋 𓏏||vine| veynrot  <> efeu
𓇋 𓁹 𓂋 𓏏 𓇭||vine|veyen-rott / wein-rot  ? / färbert / ferment / veyernet fernet blanca / ←>
𓇋 𓁹 𓅂 𓀁 𓋳||mourning|Weinen  / agony 
𓇋 𓁹 𓅱 𓀾 𓏤||shape, form, nature|foyman : form ⇔ Körper  
𓇋 𓁹 𓏏 𓀸||duty (of someone)|Eid 
𓇋 𓂋 𓉻 𓂝 𓉿||door - keeper|Wärter ← verdoor >> Wehrtor  / Wächter ← verax'oar
𓇋 𓂋 𓊪 𓏉||wine|färbh, ripe, Rebe / ƒirp, sirup @ Arab 
𓇋 𓂝 𓅱 𓈗 𓏐 𓏤 𓏊 𓏤||breakfast|journée Mahl   ←
𓇋 𓂝 𓆑||wring out, squeeze out|warsin ~ wring washing :( --
𓇋 𓂝 𓈗 𓂡||wash, wash out (an inscription etc)|wash feaosea / ocean 
𓇋 𓂧 𓎛 𓇋 𓇋 𓇇 𓊖 𓀀||marsh - man|Fischer  / Watery / ~Idher : river
𓇋 𓃀 𓃙 𓀁 𓀀||thirsty man|pthbhty ~ δiψ.y = thirsty original GR  / vs aba ƒth ⇔ aber ab💧 ob? abvi aqui aqua ? / fthr⇔wasser?
𓇋 𓃀 𓃙 𓏏 𓈗||thirst|pthibhst ~ thirst  : / δiψ thiphth = thirst  original GR 
𓇋 𓃀 𓎛 𓄑 𓏤||tooth, tusk|ivory  / filling ƒ
𓇋 𓃀 𓏏 𓃙||thirst|phthbht ~ thirst  : / δiψ vthiphth = thirst  original GR   ←  / ⇔
𓇋 𓄟 𓋴 𓀁||misstatement|a'miss  / vermessen / ⇔ Hermes?
𓇋 𓄿||vhIER AS HIER(vielle:old)  Heros Hirten:Fährten  ViehHerden |
𓇋 𓄿 𓄿 𓇋 𓇋 𓏏 𓆰||rod, reed, rushes|faireed fruit / hier.reed qed ← 
𓇋 𓄿 𓅓 𓍢||bind (the sacrifice)|firm 
𓇋 𓄿 𓅓 𓏏 𓆭 𓏜||favour (toward someone)|favour ← faivr  / hier am ... / hier für ...
𓇋 𓄿 𓅱 𓀢||adoration|ehren / hier➙hero / hero* 
𓇋 𓄿 𓏏 𓂿||be injured, be distorted, be missing (from), abate (of fever)|hurt 
𓇋 𓆑 𓂧 𓏮 𓂢 𓁺||flee|fthlleye ~ flee / ---- / a'send_ / ⇔ fthd: Füß / ⇔ schleichen? / ⇔
𓇋 𓆛 𓈖 𓂧 𓅪  𓀀||the afflicted man   -vål|ein-Leider  / ein-downer  / "einer weniger " / Ein-dauner / ein doofer / ein lettver ---
𓇋 𓆛 𓈖 𓉔 𓅓 𓂝 𓈖 𓏮 𓆭||pomegranate (tree and fruit)|linen (s)hofron  ⇔ safran  ← -? >>
𓇋 𓈖 𓈎||unite (the Two Lands), collect, gather together|iunique ?  ←
𓇋 𓈖 𓊪 𓅂||royal child|infant 
𓇋 𓈙 𓏏 𓏴 𓏛 𓏥||possessions, (morning) meal|ischtor : ok freya früh easter eater meal 
𓇋 𓊄 𓇉 𓈎 𓂡||easy prey|easy horq EN ⇔ hawk  / asend
𓇋 𓊪 𓎛 𓃟||(collective n.) swine, pigs|ipher ~ Eber 
𓇋 𓊪 𓏏 𓈖||(demon. adj.) these|f'those  ← / what, was als reflex  / f'thosen / iphotsn / a'whasn
𓇋 𓋴 𓃀 𓏏 𓆱||stool|al Ærsch العرش  LOL  ← / a'sbeth / ⇔sit st stuhl weil elefanten-bein-stühle?
𓇋 𓋴 𓏏 𓈖 𓏲 𓂡||strap up, bind|festigen ?
𓇋 𓋴 𓐎||viscera|viscera vesceratops ƒ / viscephal  paii:phal
𓇋 𓍱 𓈙 𓋴 𓏏||what ?, wherefore ?|eschschsht??   / ⇔
𓇋 𓍿 𓂋 𓅱 𓆴||seasons|'itera  ← / 'itera  ← / ficrwt ⇔ vyzrát @CES   again ~ vozcl الفصل / Czech ~ Bohemian  / ←,, ?? / i-thrun yearth ← 3 three-suns ➙ 4 seasons / each year? / zion~suns?
𓇋 𓍿 𓈖 𓏌 𓅱 𓂡 𓀏||opponent|etsnurener / etzner ⇔ nazar? / ecnur ⇔ Gegner? / ⇔ naur YES: Al mNuare المعارض 
𓇋 𓍿 𓈖 𓏌 𓅱 𓂡 𓀏||opponent|⇔ naur YES: Al mNuare المعارض  ? / נצר nâtsar naw-tsar'
𓇋 𓎛 𓃾||bull|Vieh, Viecher ? 
𓇋 𓎛 𓄿 𓂝||fight|fighar : fight  / oHero vs offer / ⇔ heron
𓇋 𓎛 𓄿 𓂡||fight|fighado : fight 
𓇋 𓏌 𓈖 𓏥||(ind. prn. - pl.) we|veu'n we  / 'uns vs uuns OK / ouns
𓇋 𓏎 𓈖 𓏌 𓅱 𓀁 𓏪||pattern, model|pa.turn.urn 𓇋 𓏎 𓈖 𓏌 𓅱 𓀁 𓏪 
𓇋 𓏏 𓇠||barley, corn|Futter  / itkr ιθκρ ⇔ Attika? / ⇔ Crete
𓇋 𓏏 𓈖 𓏌 𓏲 𓀜||opponent|Feedener feidn Feind  / Athener
𓇋 𓐍 𓅓 𓅪  𓏥||ignorant ones   -vål|← / "ignovers"   : / ick-no / Aa1G37➙ Nacht-Eule / "I-know"-sager / "ver"-sager / "verse"~Aegean / "ichvers" / ech-vervol / ich verstehe / ------ / DONT DECOMPOSE / ech-pern / echvern / ex-machen / ex'en
𓇋 𓐝 𓅓 𓅱 𓊛||ship, ship-load|prow ⇔ Bug  : / doprava = freight @ ces  / الشحن Al Schachn  / ?← / #
𓇋𓂝𓏲𓈗𓇳 𓏳||journo|desayuno / déjeuner / ⇔ jiorl-pan जलपान ⇔ 早饭 zǎofàn   / ⇔ jeune Sonne
𓇑 𓇑 𓈖 𓈖 𓌰 𓅓 𓅪||err, go wrong (of plans), error    -vål|sessen mesfervol / setzen mess-vorfall ← OK / mess-verfall / 
𓇑 𓊖 𓃀||(locality) El Kab|Chabur Chubur Churb Shire   ←
𓇑𓇑||tenntor|sanctuar   / center
𓇓 𓌨 𓁶||chamberlain|shunderlead ← / shumberlead ? ← / chamberlain ← cacarocha / 
𓇗 𓂝 𓅂||musician|zammar zam-mawr' Summer™, Zimmer, Scrummer ⇔ klang'zimmer'mann kle'zmer --- / ܐܪܡ ← =2170 /  an instrumental musician: singer.
𓇗 𓂝 𓅂||musician|zammar zam-mawr' Summer™, Zimmer, Scrummer ⇔ klang'zimmer'mann kle'zmer --- / ܐܪܡ ← =2170 /  an instrumental musician: singer.
𓇡||bean-royt ~ ben-root  ←|
𓇥 𓂋||(preposition) in, since, before, until|eher  / ere / ar
𓇥 𓂋 𓅱 𓆱 𓏥||walls|Oaru⇔ Warka ⇔ Kura ^^ / Wahrung⇔Wallung :  / Währ⇔Wall / ⇔ Warsaw = Warszawa ?
𓇥 𓂋 𓇋 𓇋 𓏏 𓉐||hall|Korridor / Währ ⇔ Wallhalla *Whall?
𓇥𓂋𓈐  ⲁⲩⲣⲏ⳼||#NAME?|core of things vs ⲁⲩⲣ:first  ⇔ GRUND / corner 
𓇮 𓏏 𓁐||Sirius (female? star), Sothis(goddess)| ThornTheis  𓇮 da<>dog star 
𓇰||dunkel / ^^|⇔ guinness? / ante-bahim@AR ⇔ baher: beer,bachus  ←
𓇶||partir|portsh / parsher / parster /  
𓇻||Semdet (Halbmonatsfest am. Tag des Monats) HALF Moon|Semi-date...  EN IN  / ⇔ Samedi? sambati diēs ⇔ σάββατον ‎sábbaton from Hebrew שַׁבָּת ‎shabát / httaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&db=0&wn=450536 / The Season of the Emergence (Egyptian prt), or Proyet, ||teac|honor ←  student / on air /guard/gator
𓇼 𓄿 𓇳||rise early|doaneray / djournéra / dawn-rise / anera = morning ⇔ Venus/Copper = Eoner Jana / doaray / donner-a / dawn-eray ➙ early / an-error  / to anera / to honor Ra / morning as verb 
𓇼 𓇋 𓇋 𓏏 𓏛 𓏥||(written) teaching, instructions|sta*dy : study  / sφrυt: sprout,sport,spher / sduid : study / sduanitƒ : study / ←?> büffeln pauken
𓇾 𓅓 𓅱 𓀀 𓏥 𓁐||all men|terra-for-unners = land für andere : / foreigners  / Sterbrener
𓈋𓏴𓅪||slanden  SLANDER evil vs eVale|
𓈎 𓁺||cold water|aqua 
𓈎 𓂋 𓂋 𓊮||fire (pottery), broil (food)|Grr / Krr ⇔ charr / griller / garer / kocher  / cera / ceramik 
𓈎 𓂝 𓎛 𓂢||elbow, arm, shoulder|quahtelb ⇔ الكتف al kahteph   AR / kitf : shoulder Per ketf / quamHe ⇔कन kandha / quor™ ⇔ quer / ysgwyddo krajnice / quortel ⇔ skulter / quortel ⇔ quorter ~~ shourder : shoulder
𓈎 𓂝 𓎛 𓂢 𓈇||corner, bend (of stream), bight (of net)|corner~ 
𓈎 𓃀 𓄲 𓏛||windings (of waterway)|Kurbel 
𓈎 𓃀 𓎛 𓅂||sky|qvair,quair : quer=high air ⇔ cover  ← cooper
𓈎 𓃀 𓎛 𓎯||cold water|cool / aqvaH aqua  / quvr ⇔ cool, kühl, Kübel  QED / Quber ⇔ Kübel  / coopher cool-fair? / Kuba? /
𓈎 𓃀 𓎛 𓏲 𓏁 𓈗 𓏛 𓏥||coolness|quiver zittern  EN QED*100 / quvhl ⇔ cool, kühl, Kübel  QED as L / quibhern ⇔ bibbern
𓈎 𓃀 𓏂||cold|quvl  ENDE ⇔ kühl, Kübel / (as in 'a sky strewn with stars' )
𓈎 𓃀 𓏲 𓏁 𓈗 𓊡 𓏪||cool breeze|qubu / quvl vent  ENDE ⇔ kühl, Kübel
𓈎 𓄿 𓀠 𓋴 𓂋 𓆑 𓊮||arrogant|quer-größen-ƥyrn :Wahn/brenn 
𓈎 𓄿 𓅱 𓈒 𓏥||grains|qairun ~ grain 
𓈎 𓇋 𓋴 𓊖||(locality) Cusae (El - Kusiyah)|Ques.ur Cusae el-Qusiya vs ⇔Quesir / Küs ➙ Qis Kis Küs.terra = Küste : Qus = harbor city's QED 
𓈎 𓈖 𓀜 𓀀||brave man|kühn keen 
𓈎 𓈖 𓇋 𓏏 𓈒 𓏥||a yellow pigment, orpiment|quince yellow  das Quittegelb  / quinsy Mandelentzündung?
𓈎 𓌳 𓄿 𓌙||throw, create, beget, produce, carry out (teaching), hammer out (from metal)|kümmern : khmer as verb  / carmyr carry / ⇔
𓈎 𓌳 𓌙 𓄿||mourn|Kummer QED  / Qual
𓈎 𓏇 𓇋||gumned ?|gummi OK  (ter minator) / also see Sumer
𓈎 𓏇 𓇋 𓋴 𓊪 𓏏 𓂏||reticent|gummi-gosch DE
𓈐||constrack constricted  |
𓈐 𓈋 𓏲 𓈒 𓏥||green eye - paint|pastell  / faience ƒ
𓈐 𓈖 𓇋 𓎸||basin|wanne / basin
𓈒||myrry |
𓈒 𓈒 𓈒 𓈒||driph-driph   |διαχειρίζο slay, kill / διαchειricο dia.cheiriz`
𓈒𓂂 𓐍𓋴𓃀𓂧𓈒𓏥||kaspian=lapiz|kglj.ore gall.or colour kala=black 
𓈒𓈒𓈒𓈒||dzairb : drip EN / 4?? ←|
𓈖||bnLet : pellet EN  ( nL as L OK)|pellet ⇔ Perl
𓈖 𓁷 𓂋||resemble|mherr: mirr : mirror EN
𓈖 𓂋 𓅱||terrible one|Narr  / unReuen? / Neun-Auge?
𓈖 𓂋 𓇋 𓆵 𓇳||time, return of the year|neuere Jahre  / new year / neur itYeaRaSun (iteration) 
𓈖 𓂝 𓂝 𓏞 𓏛||smooth, undecorated, smoothness (of complextion), mix smoothly|moother -
𓈖 𓂧 𓃀 𓅱 𓏏 𓈇 𓏥 𓏤||area, extent|__bu-terr /  / NB'D N.BeinD BND BIND BAND BUND bunt  :
𓈖 𓂧 𓃀 𓇋 𓇋 𓏏 𓋳||bunt ? (of sail)|netbynt : bunt EN  t vs d 
𓈖 𓂧 𓃀 𓏲 𓂡||band (door with metal)|__ band  ENDE
𓈖 𓃀 𓂧 𓁸||band (doors with metal)|an-bind ?
𓈖 𓃀 𓂧 𓍢 𓂡||band (doors with metal)|bund, band NDB BND? ⇔ beind / -- 3/3 but wrong order
𓈖 𓃀 𓂧 𓏏 𓁸||tress (of hair)|Bund ENDE
𓈖 𓃀 𓍢 𓂝||tie|anbun'o anbinden DE 
𓈖 𓄓 𓊃 𓂋 𓏏 𓆗||royal serpent|ang-ßert ⇔ chert, serpt : schlange-serpent abk.  DE/I18N
𓈖 𓄓 𓋴 𓂋 𓀁||anger ?|anger YES  EN%
𓈖 𓄓 𓋴 𓄻||tongue|NG: unge : (Z)unge/(t)ongue/(l)ingua  PIEn  / Ungzar ⇔ Zunga
𓈖 𓄿 𓏏 𓉐||weaving room|Näh'store / 
𓈖 𓅐 𓂝||fear, dread, disturbance|unMut  DE
𓈖 𓅐 𓂝||fear, dread, disturbance|unMut  DE
𓈖 𓆑||blow (out of nose)|Niesen  DE
𓈖 𓆑 𓀁||wrongfully|Unsinn  / nvadim ظالم / nesprávný / ^^^ e.g. those ^^^
𓈖 𓆑 𓇋 𓇋 𓏏 𓎅||fan|an-Schnitt / vent tent = fan 
𓈖 𓆑 𓏏 𓄛||fan|an-ft ~ an-fet: fetter die Fessel / vent ~ fan 
𓈖 𓆓 𓋴 𓅱 𓅪  𓏥||low estate   -vål|Niesche 
𓈖 𓆱 𓐍 𓏏 𓀜 𓁷 𓏤||violent|nadach@HEB ? ← / niquer? / ⇔
𓈖 𓆱 𓐍 𓏏 𓏏 𓂡||victory, stiffness|nike.toir @ greek  / VNC ~ VNIKI = vinci/win/nike  / nvictory / nestor / ⇔
𓈖 𓇋 𓂢||get rid (of wrong), parry (missile), darken ? (sun)|nil 0 ←   / nit ⇔ night
𓈖 𓇑 𓇑 𓏏 𓇯   𓇯   󴃙||lower heaven   t terr = ¬ not-air (gespiegelt) 󴃙|
𓈖 𓇥 𓂡||grasp, hold fast|anchor  EN
𓈖 𓇥 𓏏||imprisonment|in court  N
𓈖 𓈙 𓏲 𓂐||issue (from wound), pemphigus|nässen? 
𓈖 𓈟 𓅓 𓂝 𓈖||(non enclitic part.) surely, assuredly|nämlich DE  ←
𓈖 𓉔 𓂋 𓏮 𓌙 𓈉||(locality) Nah <> off?arin|Naharin ⇔ / Nhobether ⇔ nobel? / Norunamer @ north nah mere ... -- / Mitanni / Nornen? -- / Naharin = Mitanni during the New Kingdom period of theth Dynasty. / Nairi (Armenian: Նայիրի in TAO or Նաիրի in RAO) was the Assyrian name ( KUR.KUR Na-i-ri, also Na-'i-ru) for a Proto-Armenian (Hurrian-speaking) tribe in the Armenian Highlands  / ---
𓈖 𓉔 𓅓 𓀁||shout, thunder (of sky)|nahovr : / vs الصوت ~ shout  AR=EN / anhoair anhoer fast: nahoer
𓈖 𓉔 𓅱 𓏥||of the enviroment of|nah nahen  / nhou / near
𓈖 𓉔 𓊃 𓇋||wake|⇔ incedo ? / 'nooze / an-'aus / naus / nauze / an-Haus / ----------------------------------------------------------- / אנה 'ânâh aw-naw' OH-NOH ® to groan: - lament, mourn / 
𓈖 𓉔 𓊪 𓂻||pulsate|meanho meander / nbout @ar إنبض -- nabız @tur / ⇔
𓈖 𓉔 𓊪 𓇳|||manhã menNo mañan.a morning mourn.hour  POR/EN ... ®®
𓈖 𓉔 𓊪 𓇳||early morning|Enhphota ~ Enbad إندب   ⇔ bad*Bad / ⇔ bědovat ~ bedauern / en.κόπτ ~ cope GR / nMhou ~ mourn / morn cym:mwrnio / nhp ~ nap? / אנח 'ânach aw-nakh' ® to sigh: - groan, mourn / אנן 'ânan aw-nan' ® to mourn / אנחה 'ănâchâh an-aw-khaw' From /  sighing: - groaning, mourn / אנה 'ânâh aw-naw' OH-NOH ® to groan: - lament, mourn / VS صباح SABACH
𓈖 𓉔 𓊪 𓏛||mourn|mnHo : manhã @ POR  menno >>>>>NO← no kidding / mnHo ~ mourn mañana morning
𓈖 𓉔 𓋴 𓃯||hippopotamus|mNhose  : / Nile_horse / Nile_hog / Nile_hoch / MemNose / ⇔ "Memnon maimed by mNhose" word play or Name given After incident
𓈖 𓊪 𓈖 𓊪 𓏏 𓋳||hem|Naht  DE 
𓈖 𓌨 𓂋 𓅱 𓈇 𓏤||downwards|n ground / n'runter - DE
𓈖 𓌰 𓅓 𓂝 𓁀||go to sleep|nama, naum sleep @AR / nu‘as : sleepy na‘asa : be sleepy ⇔ nausea ⇔ Nose / naka  : sleep with niquer, Nicker ⇔ night, nächten ⇔ faka / ⇔ Nickerchen ⇔ Nickel? / nama : grow / napper / messe? / nakaha : blow / nakahha : marry / nakha : smell, perfume / nakaba : make miserable / nakaza : sting / nakba : disaster / nakkata : joke / nakir : stranger
𓈖 𓌰 𓅓 𓎛 𓀔 𓅪||poverty, humility    -vål|miser  nemesis ? EN / ⇔ μισώ mies DE / ⇔
𓈖 𓌰 𓏏 𓂻||stride over, traverse|n*µ*t / nmesziah ⇔ marschier ƒhier ? / masha : go, walk, marsch / mashi : walking /  guideline Per mashi / nazuha : go for a walk   / nuzha : a walk / tanazzaha : go for a walk ⇔ traverse ƒ / zieh, ziah ⇔ / sair : run, walk, process /  observation Aze seyr, Hin sair, Per seyr, Taj sayr, Tur seyir / jaula : a tour, a walk jolla 
𓈖 𓍇 𓏌 𓁹||see, look|NADZAR : SIGHT, LOOK @arab/semit QED  AR/SEM
𓈖 𓍇 𓏌 𓅱 𓁹||hunter|tsayâd צ ד nTza=Yagt hunter  / Netzern  ← DE / natzuren ⇔ nazar = see,spot AR/SEM  / ⇔Nazareth  / measuren:messen ? / nessuren / ⇔ Nesseln / an Azuren / ⇔ Azoren, Azur~Ashur ... ? / naxuren? / >> nacchas@AR : goader, animal driver / ⇔ / nazaka : stab / nachasa : sting, goad ⇔ Nessel / nachara : snore / schnarchen  / Messeln~Muscheln~nuscheln~mauscheln 
𓈖 𓍇 𓏌 𓅱 𓇋 𓇋 𓈗||water, flood, pool|NAzAUReth : NAUR / nWassern  / Nässer / beNetzer / Nasser-Stauseeƒ / ⇔ och schloch ? / nadan : dew nässer ??
𓈖 𓍇 𓏌 𓅱 𓇳||time, for a while|nächster / next hour --- / nahar : day / na'ur : now ? ←
𓈖 𓍇 𓏌 𓈗 𓈘||water, flood, pool|NA'UR  nWa' ⇔ nord nile / Nazur ⇔ Gen.Nazareth ⇔ Azur (blau) / Nazare canyon just off the coast of Nazare, central Portugal / nazafa : drain / Netzer : Netz  Hunt / ⇔ measure / ⇔ Natur ~ Ur-Flut (Tur=Berg^^ pun) / ⇔ נזל nâzal naw-zal' drip, distil, flood, flow, gush out, / ⇔ נהל nâhal naw-hal' / ⇔ נגר nâgar naw-gar' ® to flow /  ⇔ nager : swim FR 
𓈖 𓍇 𓏌 𓏲 𓀔||be weak|nahhala : be thin AR  / nahhil : thin, emaciated / nahha : wail / neChard / Nest Chard / Netz Häckchen / ⇔ Nickerchen / nahhata : cut to form / nahhia : direction /  region Tur nahiye
𓈖 𓍇 𓏌 𓏲 𓏏 𓍢 𓏥||yarn (for weaving)|nasaja weave  / Netzurentu? / ⇔
𓈖 𓍇 𓏌 𓏲 𓐍 𓊮||be scorched|nmachrugh محروق AR / ¬wässer
𓈖 𓎡 𓂺||copulate|niquer FR 
𓈖 𓎡 𓄿 𓀁||meditate on, think about, take counsel|necker? / ⇔ Necken  DE  ??
𓈖 𓎡 𓇋 𓆙||a serpent demon|Enki / Nächi_ / ⇔ legendary Nessi  EN 
𓈖 𓏏 𓂋 𓏯 𓅭||vulture|naturel ⇔ Mutter Natur / FLtre vulture   ←
𓈖 𓏏 𓅐||net|net-masch  / Netz-mesh / vult:falt/feld/??
𓈖 𓏏 𓊖||lower heaven| / Nature   QED N ENDE / 
𓈖 𓐍 𓃀 𓐍 𓃀||draw back (door bolt), throw open (doors), crepitate (of broken bones)   }|n*δ back / nudge/knock back EN
𓈖 𓐍 𓅪||youthful, small ?, brief ? (of sufferings)  -vål|new-ful / νεανίας youth neo.niñas   GR/I18N / neck-full ⇔ Necken / NAUx ~new? neo:
𓈖𓌸 𓂋 𓏏|||in merit = in order  EN / in merit = da.mit / httaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&db=0&wn=79190
𓈖𓎡𓏏  ⲍ𓈖𓎡𓏏||NIGHT  ⲍNjɠt NACHT nyx vs :|ⲍⲛⲟⲫⲟⲥ γνόφ enket suns-quit/quiet ⇔ / snkutray ⇔ σκοτία : Scotia = Darkness  / ⇔ σκιάς shadow , ob.guard/gatorskure, se.cure / חך chôshek darkness ⇔ חכל chăkal ⇔ jackal? / al pthola ⇔ ζόφος --- / abbreviation of the above:
𓈗||Heigh |⇔ thorn:Thor? / ⇔ shita@SEM : rain /  shit schuett wetter   :) 
𓈘𓏤||(Mar)Stätte|
𓈘𓏤||(Mort)Stätte|
𓈘𓏤||(Rott)Stätte|
𓈘𓏤||(Ruhe)Stätte|⇔ Marnmal, mourn / ⇔ µsterben
𓈙||ajaba : answer  AR :jardin|
𓈙 𓅓 𓂝||make music|zamar singer 'zimmer/Kammer/Jammer'
𓈙 𓅓 𓅓 𓏏 𓊮||fever, inflammation|HHMM : hot@AR  ⇔ charm, sWarm, kamin, home, heim, schwärmen~fever / __vert
𓈙 𓅓 𓈙 𓅓 𓏏 𓆰 𓏥||hemp ?|HHMMt / ⇔ hhinna : henna hhintta : wheat
𓈙 𓆑 𓇋 𓇋 𓏏 𓏯 𓏛 𓏥||majesty, respect|uznat , uznávat @ CES   ← / Schnitt / Sunit? / الإحتر machjtyrahem : respect ←?> majesty
𓈙 𓆑 𓏛 𓏥||respect, honour|uznat , uznávat @ CES   ← / -- schön-schön / -- / ⇔
𓈙 𓈗 𓇳||summer|schumera summer QED 
𓈙 𓈙 𓀁||mix, mingle with, confuse (message, words)|jambo
𓈙 𓊃 𓂋 𓌕||arrow|Schiesser DE 
𓈙 𓊃 𓄿||sacred girdle|shnzoi ~ zone / cintura / ceinture  * / cinta cintura / cinto cinturón
𓈙 𓊪 𓋴 𓋴 𓀻 𓏥||riches, wealth, precious things, dainties (to eat)|choses  / schloss-immens / schoss-immens ⇔ Schatz / schpass-immens: / space-immens?
𓈙 𓊪 𓏏||discontent, anger|schoith ←3 / shachit ساخط AR / shaheat سخط AR
𓈙 𓊪 𓏏 𓇋 𓇋 𓄹 𓏏||(urinary) bladder|שֶׁתֶן schütten : urine (shit) N
𓈙 𓎡 𓂋 𓆭 𓏪||panoply|Schicker  DE
𓈙 𓏏 𓐡 𓋳||satchel|shatzel(t) satchel ORTHO--  EN
𓈙𓅓  𒄷   𒈪    🎜||SuMa MuSa 𒄷 Musik  𒈪 mūšu=night Musen = 🎜 birds|zimmern Kammer-Musik / Jammer ⇔ Jam / Zumdarassabum -- / ⇔ mezmur, klezmer, mesmerize  / shmosi-zieren / smooth ⇔ schmusen / zamargamar:Zigeuner? --
𓈙𓈇||oSCHe = ocean/sea ® QED |
𓈙𓈇||loSCH = lake lush loch ® QED |
𓈙𓈇||jardin/lush/... ober-erd |
𓈙𓈇||oSCHe = ocean/sea ® QED |
𓈙𓈇||loSCH = lake lush loch ® QED |
𓈙𓊃𓂋𓌕  𓂋||shamu  zusamm'MU  ^^^^^^ |
𓈝 𓅓 𓏏 𓂻 𓏥||walking, gait, movements, actions, business|Sportier : spatzier spritz-tour -- IN/DE / SPR vs #Sm schmieren : streifen  / ⇔ mesziah = marschier / ⇔
𓈞 𓅓 𓂺||coward|Homo  / ~Hinnack?
𓈞 𓅓 𓂽||retire, retreat|heim-gehen  / home-go
𓈞 𓅓 𓂽||retire, retreat|heim-gehen / ~hin-gehen / inferier / vs transferier /  LOST
𓈞 𓅓 𓇋 𓇋 𓊦 𓀀||helmsman|helmy  / heimy / homey
𓉆|| (Wenet) 'Hare' Khemenu (Hermopolis Magna) El Ashmounein Hasmunein Beni Hassan : Bunny Hassan  |
