word,transcription,definition,note
𐀏-𐀐-𐀊-𐀠,ka-ke-ja-pi,•'of bronze' instrumental plural •'a pair of bronze (wheels)' ⇔ κὐκλα χάλκεα ,
𐀏-𐀐-𐀸,ka-ke-we,coppersmiths,
𐀏-𐀒,ka-ko,bronze •bronze ⇔ χαλκός Palaeolexicon: copper Wiktionary: copper  (editors Yves Duhoux and Anna Morpurgo Davies)  ,
𐀏-𐀒,ka-ko,copper,
𐀏-𐀒-𐀆-𐀲,ka-ko-de-ta,bind with copper,
𐀏-𐀒-𐀆-𐀲,ka-ko-de-ta,•'bronze-bound wheels' ⇔ χαλκόδετος ,
𐀏-𐀔,ka-ma,•1. (Pylos) agricultural holding 2. (Knossos) anthroponym Hart 1965 Palmer 1967 1972 Melena 1975: toponym variant spelling of ka-mo •dual? of ka-ma  Hart Gillian R. 1965 Mnemosyne 18 “The Grouping of Place-Names in the Knossos Tablets” Melena José L. 1975 Minos Supplement 5 Studies on some Mycenaean inscriptions from Knossos dealing with textiles Palmer Leonard R. 1972 Kadmos 11:1 Mycenaean Inscribed Vases II. The Mainland Finds Palmer Leonard R. 1967 (TAPhS) 52 Review of The Mycenaean Tablets 3 ed. Chadwick J.,
𐀏-𐀔,ka-ma,field,
𐀏-𐀔-𐀁-𐀄,ka-ma-e-u,•'man who has a ka-ma holding' •dative singular and nominative plural of ka-ma-e-u Appears as .1a wo-ze-qe .1b [[e-u-ru-wo-ta|e-u-ru-wo-(ta)]]  te-o-jo  do-e-ro  ka-ma-e-u[ ]to-so-de  pe-mo GRA 1[ on PY Eb 156+. Appears as ]re-u[ ](to)-po-qo  ka-ma-e-u on PY Eb 177+. Appears as ](ro2)  ka-ma-e-u  mi-ka-ta  pa-da-je-u  e-ke-qe[ PY Eb 839. Appears as sa-sa-wo  e-ke-qe  o-na-to  ka-ma-e-u on PY Eb 842. Appears as ka-ma-e-u  wo-zo  to-so-de pe-mo GRA T 3 on PY Eb 862. Appears as ka-ma-e-we  o-na-ta  e-ko-te  ke-ke-me-na-o  ko-to-na-o  wo-zo-te  to-so  pe-mo GRA 30 T 2 V 3 on PY Ed 236. Appears as me-re-u  i-je-re-ja  do-e-ro  o-na-to  e-ke  pa-ro  [ ](re)-ma-ta  ka-ma-e-(we)[][[o-u-qe|o-u-qe]]  wo-ze  to-so pe-mo GRA[ ] V 2 on PY Ep 539. Appears as ]me-na  ko-to-na  ka-ma-e-u  wo-ze-qe  to-so pe-mo[ on PY Ep 613+. Appears as ]ke-re-u  i-je-ro-wo-ko  ka-ma-e-u  o-na-to e-ke  wo-ze-qe to-so pe-mo GRA 1 on PY Ep 613+. Appears as ]o-na-to  e-ke  ka-ma-e-u  e-pi-qe  [[to-e|to-me]]  [[te-ra-pi-ke|te-ra-(pi)[]] ]to-so  pe-mo GRA 1 T 5 on PY Ep 613+. Appears as (ko)[ ]ka-ta  [[pa-de-we-u]]  ka-ma-e-u  e-ke-qe  wo-ze-qe  to-so  pe-mo GRA T 5 on PY Ep 613+. GRA: PY Eb PY Ed PY Ep VIR: PY An ,
𐀏-𐀔-𐀍,ka-ma-jo,ethnic adjective presupposing an unattested place name of ka-ma •description of men? nominative plural VIR: KN Am  McArthur Jennifer 1993 Suplementos a MINOS núm. 9 Place-Names in the Knossos Tablets Identification and Location,
𐀏-𐀔-𐀴-𐀍-𐀍,ka-ma-ti-jo-jo,•anthroponym genitive ⇔ Χάρμας Χαρμαντίδης ,
𐀏-𐀔-𐀵,ka-ma-to,•anthroponym KN Da: e-ko-so KN Da: OVIS ,
𐀏-𐀔-𐀵,ka-ma-to,•anthroponym KN Da: e-ko-so KN Da: OVIS ,
𐀏-𐀖-𐀛-𐀵,ka-mi-ni-to,•anthroponym KN De: qa-ra KN Dk: ku-ta-to KN De: OVIS KN Dk: OVIS LANA ,
𐀏-𐀗,ka-mo,toponym based on KN As 604 placement •toponym? Hart 1965 Palmer 1967 1972 Melena 1975: toponym variant spelling of ka-ma  Hart Gillian R. 1965 Mnemosyne 18 “The Grouping of Place-Names in the Knossos Tablets” McArthur Jennifer 1993 Suplementos a MINOS núm. 9 Place-Names in the Knossos Tablets Identification and Location Melena José L. 1975 Minos Supplement 5 Studies on some Mycenaean inscriptions from Knossos dealing with textiles Palmer Leonard R. 1972 Kadmos 11:1 Mycenaean Inscribed Vases II. The Mainland Finds Palmer Leonard R. 1967 (TAPhS) 52 Review of The Mycenaean Tablets 3 ed. Chadwick J.,
𐀏-𐀗-𐀛-𐀍,ka-mo-ni-jo,•anthroponym KN Da: ru-ki-to KN Da: OVIS ,
𐀏-𐀙-𐀀-𐀡,ka-na-a-po,•anthroponym ,
𐀏-𐀙-𐀒,ka-na-ko,a type of plant,
𐀏-𐀙-𐀒,ka-na-ko, safflower (Carthamus tinctorius) ⇔ Hippocrates χνῆχος (2 types: red safflower (ka-na-ko e-ru-ta-ra) of the red florets and white safflower (ka-na-ko re-u-ka) of the seed,
𐀏-𐀙-𐀟-𐀄,ka-na-pe-u,fuller •fuller cloth-dresser ⇔ κναφεύς from the 6th century BCE •dative singular of ka-na-pe-u •genitive singular of ka-na-pe-u •dative plural of ka-na-pe-u [[te-re-do]] is ka-na-pe-u in the PY Cn series. pe-ki-ta is ka-na-pe-u wa-na-ka-te-ro in the PY En series closely co-located to ru-*83-o. pe-ki-ta is ka-na-pe-u wa-na-ka-te-ro pa-ro pi-ke-re-we in the PY Eo series. (pe)-(ki)-ta is ka-na-pe-u wa-na-ka-te-ro pa-ro ru-*83-e in the PY Eo series. CAP: PY Cn GRA: PY Eo *190: MY Oi   ,
𐀏-𐀙-𐀟-𐀄,ka-na-pe-u,the man who card the wool,
𐀏-𐀙-𐀡-𐀵,ka-na-po-to,•anthroponym ,
𐀏-𐀙-𐀵,ka-na-to, 'kanasthoi vessels' ⇔ κάνασθον name of a terracotta vase in a VIth BC inscription •name of a vessel or implement perhaps 'clamps' ⇔ γνάθος  ,
𐀏-𐀙-𐀵-𐀡,ka-na-to-po,•anthroponym ,
𐀏-𐀚-𐀄-𐀲,ka-ne-u-ta,•anthroponym In an a-ka context on KN Da: a-ko-ro-qo-ro o-ku-no au-ri-jo po-i-te-u e-ki-no KN Da: a-ka KN Da: OVIS ,
𐀏-𐀚-𐀊,ka-ne-ja,•'made of basketry' ⇔ κάνεον κάνειον 'basket' ,
𐀏-𐀛-𐀵,ka-ni-to,•anthroponym Ktistopoulos: anthroponym ⇔ Κάνιθος modern name of a spring at Mt. Ida OVIS: KN Db KN Dh e-ko-so: KN Dh  Ktistpoulous TBD,
𐀏-𐀝-𐀮-𐀄,ka-nu-se-u,Ruijgh 2011: anthroponym ⇔ γάνυμαι 'to enjoy oneself' •anthroponym ⇔ Γανυμήδης Heubeck 1957: TBD  Ruijgh C.J. 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) Mycenaean and Homeric Language,
𐀏-𐀝-𐀲-𐀍,ka-nu-ta-jo,•anthroponym ,
𐀏-𐀞,ka-pa,•1. (KN E) perhaps toponym ⇔ ka-pa-jo 2. (PY Un) description of olives ⇔ ka-po GRA: KN E OLIV: TH Ft ,
𐀏-𐀞-𐀍,ka-pa-jo,ethnic adjective of a place-name ka-pa perhaps attested in E(1). •Description of three men perhaps ethnic of ka-pa.  McArthur Jennifer 1993 Suplementos a MINOS núm. 9 Place-Names in the Knossos Tablets Identification and Location,
𐀏-𐀞-𐀨,ka-pa-ra,•introduces wine entry after to-sa ,
𐀏-𐀞-𐀪-𐀍,ka-pa-ri-jo,•anthroponym ⇔ Καρπαλίων •dative of ka-pa-ri-jo KN Fh: OLE ,
𐀏-𐀞-𐀯-𐀊,ka-pa-si-ja,•anthroponym ⇔ ka-pa-ti-ja? ,
𐀏-𐀞-𐀰,ka-pa-so,•Obscure. (i.e. not understood) ,
𐀏-𐀞-𐀴-𐀊,ka-pa-ti-ja,García ethnic anthroponym 'of Carpathos' •anthroponym ⇔ Καρπάθιος ethnic of toponym Κάρπαθος Homeric Κράπαθος (Iliad II 676) ka-pa-si-ja Appears as ka-pa-ti-ja  ka-ra-wi-po-ro at PY Eb 338 and PY Ep 704.  ,
𐀏-𐀞-𐁈,ka-pa-ra2,•1. description of women possibly singular of ethnic or descriptive term in -as. (KN Ak) 2. anthroponym (PY Jn) PY Jn 706 (AES): a-no-me-de a3-so-ni-jo ke-ta ku-ri-sa-to ma-ra-si-jo mu-to-na pe-ri-no qi-si-ja-ko •nominative plural feminine of ka-pa-ra21 PY Aa series (MUL ko-wa ko-wo DA TA): a-ke-ti-ra2 a-ke-ti-ri-ja a-*64-ja [[e-pi-jo-ta-na]] e-pi-ko-o e-wi-ri-pi-ja [[ke-e]] [[ki-ma-ra]] [[ki-ni-di-ja]] ne-we-wi-ja [[o-ti-ri-ja]] po-to-ro-wa-pi re-wo-to-ro-ko-wo ti-nwa-si-ja •genitive plural feminine of ka-pa-ra21  kar WNXVII.76,
𐀏-𐀟-𐀮-𐀷-𐀃,ka-pe-se-wa-o,•anthroponym genitive forming place name with wo-wo ,
𐀏-𐀠-𐀛-𐀊,ka-pi-ni-ja,•'of the chimney' ⇔ καπνία ,
𐀏-𐀠-𐀛-𐀊,ka-pi-ni-ja,chimney,
𐀏-𐀠-𐀛-𐀊,ka-pi-ni-ja,chimney smoked,
𐀏-𐀡,ka-po,•'fruits of the olive' The ligature KA+PO may stand for the same word. ,
𐀏-𐀡,ka-po,fruit yield,
𐀏-𐀢-𐀫,ka-pu-ro,•anthroponym ,
𐀏-𐀨-𐀀-𐀠,ka-ra-a-pi,Ruijgh 2011: 'head' ⇔ κάρη κάρᾶ •'with (lions') heads' ⇔ καρήατος κράατος  Ruijgh C.J. 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) Mycenaean and Homeric Language,
𐀏-𐀨-𐀁-𐀪-𐀍,ka-ra-e-ri-jo,•month name •variant spelling of ka-ra-e-ri-jo •genitive of ka-ra-e-ri-jo KN Fp: de-u-ki-jo-jo di-wi-jo-jo ra-pa-to wo-de-wi-jo *146: KN M? ,
𐀏-𐀨-𐀁-𐀪-𐀍-𐀍,ka-ra-e-ri-jo-jo,month name,
𐀏-𐀨-𐀂,ka-ra-i,•anthroponym ,
𐀏-𐀨-𐀄-𐀉-𐀫,ka-ra-u-du-ro,•anthroponym ,
𐀏-𐀨-𐀄-𐀊,ka-ra-u-ja,(as ka-ra-u-(ja)) •anthroponym? ,
𐀏-𐀨-𐀄-𐀒,ka-ra-u-ko,•anthroponym ⇔ Γλαῦκος PY Jn 706 AES: a-no-me-de a3-so-ni-jo ke-ta ka-pa-ra2 ku-ri-sa-to ma-ra-si-jo mu-to-na qi-si-ja-ko ,
𐀏-𐀨-𐀄-𐀫,ka-ra-u-ro,•anthroponym ⇔ Κάλαυρος the eponymous hero of Καλαυρία ,
𐀏-𐀨-𐀈-𐀫,ka-ra-do-ro,Bennet 2011: Hither Province district centre ⇔ Χάραδρος 'gorge'? descriptive toponym ⇔ χάραδρος 'torrent' •toponym of the Hither Province Allative of ka-ra-do-ro Appears as ka-ra-do-ro  ko-ro-ku-ra-i-jo VIR (10) on PY An 661. (see also za-e-to-ro) Appears as ka-ra-do-ro  (ko)[ ](ku)-ra-i-jo SA 30 on PY Na 543. ko-re-te: PY Jn PY Jo ra-pte-re: PY An AES M: PY Jn AUR P: PY Jo KE M: PY Ma ME: PY Ma RI M: PY Ma SA: PY Na SUS+SI: PY Cn VIR: PY Ac PY An [[wo-no]]?: PY Vn *146: PY Ma [[*152]]: PY Ma Bennet John 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) The Geography of the Mycenaean Kingdoms  ,
𐀏-𐀨-𐀈-𐀫,ka-ra-do-ro,personal name or place name gorge,
𐀏-𐀨-𐀈-𐀷-𐀲,ka-ra-do-wa-ta,•anthroponym ,
𐀏-𐀨-𐀒,ka-ra-ko,(as ka-ra-(ko)) •'pennyroyal' ⇔ Boeotian γλάχων Ionic γλήχων Attic βλήχων Reading very uncertain in line 6A ,
𐀏-𐀨-𐀔-𐀵,ka-ra-ma-to,Furumark: 'fragments (of ivory)' Furumark TBD,
𐀏-𐀨-𐀙-𐀒,ka-ra-na-ko,•obscure; anthroponym? ,
𐀏-𐀨-𐀙-𐀲,ka-ra-na-ta,•anthroponym ⇔ toponym Κράνη ,
𐀏-𐀨-𐀛-𐀍,ka-ra-ni-jo,•meaning obscure ,
𐀏-𐀨-𐀞-𐀰,ka-ra-pa-so,•anthroponym ,
𐀏-𐀨-𐀠,ka-ra-pi,•anthroponym ⇔ Κράμβις ,
𐀏-𐀨-𐀠,ka-ra-pi,•anthroponym ⇔ Κράμβις ka-ra-pi is e-te-do-mo pa-ro da-mo in the PY Ea series. (see also a-tu-ko) GRA: PY Ea ,
𐀏-𐀨-𐀩-𐀸,ka-ra-re-we,amphora type,
𐀏-𐀨-𐀩-𐀸,ka-ra-re-we, Mycenaean 'stirrup-jar' with a capacity of ~13.7 liters •probably 'stirrup-jar' ⇔ χλαρόν ἐλαιηρός χώθω,
𐀏-𐀨-𐀩-𐀸,ka-ra-re-we, Mycenaean 'stirrup-jar' with a capacity of ~13.7 liters •probably 'stirrup-jar' ⇔ χλαρόν ἐλαιηρός χώθω,
𐀏-𐀨-𐀮-𐀴-𐀪-𐀍,ka-ra-se-ti-ri-jo,•variant of ka-ra-ti-ri-jo? ,
𐀏-𐀨-𐀰-𐀗,ka-ra-so-mo,•anthroponym dative? ,
𐀏-𐀨-𐀱-𐀜,ka-ra-su-no,•anthroponym dative ,
𐀏-𐀨-𐀳-𐀖-𐀆,ka-ra-te-mi-de,•anthroponym dative? ,
𐀏-𐀨-𐀳-𐀨,ka-ra-te-ra,•'mixing bowl' ⇔ κρητήρ ,
𐀏-𐀨-𐀴-𐀪-𐀍,ka-ra-ti-ri-jo,•type of vessel ,
𐀏-𐀨-𐀵,ka-ra-to,•'basket'? ,
𐀏-𐀨-𐀷-𐀛-𐀲,ka-ra-wa-ni-ta,•anthroponym dative? ,
𐀏-𐀨-𐀸,ka-ra-we,•'old women' ⇔ γρηυς ,
𐀏-𐀨-𐀹-𐀒,ka-ra-wi-ko,•anthroponym ,
𐀏-𐀨-𐀹-𐀡-𐀫,ka-ra-wi-po-ro,•'key-bearer' title of a religious office ⇔ Doric κλακοφόρος Attic κλειδουχος 'priestess' •genitive singular of ka-ra-wi-po-ro ka-ra-wi-po-ro + connective enclitic -qe Appears as ka-pa-ti-ja  ka-ra-wi-po-ro at PY Eb 338 and PY Ep 704. PY Ed: we-te-re-u e-qe-ta in a -qe list. PY Jn: du-ma-te po-ro-ko-re-te o-pi-su-ko o-pi-ka-pe-e-we in a -qe list. ,
𐀏-𐀨-𐀹-𐀡-𐀫,ka-ra-wi-po-ro,switchman,
𐀏-𐀨-𐀹-𐀰,ka-ra-wi-so,•anthroponym? ,
𐀏-𐀨-𐁖-𐀰,ka-ra-*56-so,•anthroponym ,
𐀏-𐀪-𐀠-𐀍,ka-ri-pi-jo,•anthroponym? ,
𐀏-𐀪-𐀮-𐀄,ka-ri-se-u,•anthroponym ⇔ ka-ri-si-jo Masson 1967: TBD Heubeck 1957: TBD ka-ri-se-u + connective enclitic qe  Heubeck 1957 TBD Masson 1967 TBD,
𐀏-𐀪-𐀯-𐀍,ka-ri-si-jo,•anthroponym ⇔ Χαρίσιος ,
𐀏-𐀫,ka-ro,plausible toponym •1. (KN Fh) toponym? 2. (PY Ub) 'fringe'? ⇔ καῖρος (KN Fh) Godart 1968 toponym (KN Fh) Vilborg 1960 Landau 1958: anthroponym KN Fh: OLE  Godart Louis 1968 Atti Roma «Les quantities d'huile de la série Fh de Cnossos» Landau Oscar 1958 Mykenisch-griechische Personennamen  Palmer Leonard R. 1963 Interpretation of Mycenaean Greek Texts Vilborg Ebbe 1960 A Tentative Grammar of Mycenaean Greek,
𐀏-𐀫,ka-ro,pork,
𐀏-𐀫-𐀐-𐀁,ka-ro-ke-e,•toponym locative ,
𐀏-𐀫-𐀦,ka-ro-qo,•anthroponym ⇔ Χάροπος Χάροψ (as ka-ro-(qo) on KN X 1047) •name of object? PY Vn: a-re-ki-si-to anthroponym [[qe-te-re-u]]anthroponym etc. BIG: KN Sc VIR: MY Au ,
𐀏-𐀬-𐀐,ka-ru-ke,'heralds' •'herald' dative singular ⇔ κῆρυξ (Iliad II.50+)  Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Society”,
𐀏-𐀬-𐀜,ka-ru-no,•toponym OVIS: KN Dl ](da): KN Dl (sa-qa-re-jo) ?: KN Dl (po-ti-ni-ja-we-jo) ,
𐀏-𐀬-𐀴-𐀋-𐀊-𐀃-𐀤,ka-ru-ti-je-ja-o-qe,•occupational + connective enclitic -qe ,
𐀏-𐀬-𐀵,ka-ru-to,Bennet 2011: toponym del Freo: toponym ⇔ Κάρυστος on the south coast of Euboea SUS: TH Wu Bennet John 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) The Geography of the Mycenaean Kingdoms del Freo Maurizio 2009 Pasiphae III: Rivista di Filologia e Antichità Egee “The Geographical Names in the Linear B Texts from Thebes”,
𐀏-𐀬-𐀸,ka-ru-we,•'nut boss'? ⇔ κάρυον •instrumental plural of ka-ru-we ,
𐀏-𐀭-𐀜,ka-sa-no,•anthroponym ,
𐀏-𐀭-𐀫,ka-sa-ro,•anthroponym ,
𐀏-𐀭-𐀵,ka-sa-to,Morpurgo Davies 1999: anthroponym (sobriquet) based on adjective ξάνθος 'yellow' •anthroponym ⇔ Ξάνθος (Iliad V.152) AES M: PY Jn LANA: MY Oe VIR: PY An *190 S: MY Go  Morpurgo Davies Anna 1999 Floreant Studia Mycenaea Proceedings of the Tenth Mycenaean Colloquium The Morphology of Personal Names in Mycenaean and Greek: Some Observations,
𐀏-𐀯-𐀒-𐀜,ka-si-ko-no,'sword-makers' •occupational term? PUG: KN Ra  Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Society”,
𐀏-𐀰,ka-so,•1. (KN V) name of material? 2. (PY Cn) anthroponym dative ⇔ toponym Κάσος ,
𐀏-𐀲-𐀖-𐀍,ka-ta-mi-jo,•'(the slave) of ka-ta-mo'? ,
𐀏-𐀲-𐀜,ka-ta-no,toponym •toponym? ⇔ Κάντανος  anthroponym ethnic adjective of ka-ta-no  toponym Appears as (ka)-ta-ni-ja  po-ro[ on KN L 771. Appears as ]ka-ta-ni-ja  ki-to-ne  [ on KN L 771. Appears as ka-ta-no / wa-tu[ on KN X 795.  McArthur Jennifer K. 1993 Place-Names in the Knossos Tablets Identification and Location (Suplementos a MINOS num. 9) Ruijgh C.J. 1967 Études sur la grammaire et le vocabulaire du grec mycénien,
𐀏-𐀲-𐀨,ka-ta-ra,•toponym Ilievski 1959: toponym perhaps classical Κάτρη toponym •locative plural •plural instrumental ka-ta-ra-i in KN Co: wa-totoponym [[ku-do-ni-ja]]toponym ka-ta-ra-pi in KN V: ku-pa-sa  Ilievski Petar H. 1959 (ZA) The adverbial suffix -θεν in Mycenaean McArthur Jennifer 1993 Suplementos a MINOS núm. 9 Place-Names in the Knossos Tablets Identification and Location,
𐀏-𐀲-𐀫,ka-ta-ro,•anthroponym? ⇔ Καθαρός ,
𐀏-𐀲-𐀫,ka-ta-ro,pure clean,
𐀏-𐀲-𐀷,ka-ta-wa,•anthroponym •anthroponym ka-ta-wa PY Cn: OVIS ka-ta-wa PY Jn: AES ka-ta-wo KN Dk KN Dv: OVIS ka-ta-wa PY Cn: a-ne-u-te ka-ta-wo KN Dk KN Dv: da-mi-ni-jo (if toponym definition is correct) ka-ta-wo KN Dv: ku-ta-to ,
𐀏-𐀲-𐀺,ka-ta-wo,•anthroponym ,
𐀏-𐀳-𐀄,ka-te-u,•anthroponym KN Dk: ku-ta-to KN Dk: OVIS LANA ,
𐀏-𐀴,ka-ti,•'name of jug or hydria' ⇔ κηθίς 'vessel for shaking dice' ,
𐀏-𐀵,ka-to,•anthroponym OVIS: KN Dv da-ra-ko: KN Dv ,
𐀏-𐀵-𐀫,ka-to-ro,•genitive? of ka-to Chadwick John and Michael Ventris 1973 Documents in Myceanean Greek kar WNXIV.170 se-to-i-ja,
𐀏-𐀶-𐀩-𐀹-𐀊-𐀂,ka-tu-re-wi-ja-i,•saddle-bags? ⇔ ka-tu-ro2 dative plural Ruijgh 1966: 'saddle-bags' Melena 2000-2001: leathern saddle-bags   Ruijgh C.J. 1966 Lingua 16 Observations sur la tablette Ub 1318 de pylos,
𐀏-𐀶-𐀫,ka-tu-ro,cargo,
𐀏-𐀶-𐁊,ka-tu-ro2,,
𐀏-𐀶-𐁊,ka-tu-ro2,,
𐀏-𐀷-𐀈-𐀫,ka-wa-do-ro,•anthroponym  Heubeck 1957 TBD,
𐀏-𐀷-𐀨,ka-wa-ra,•anthroponym ,
𐀏-𐀷-𐀫,ka-wa-ro,•anthroponym ,
𐀏-𐀷-𐀴-𐀫,ka-wa-ti-ro,•anthroponym ,
𐀏-𐀹-𐀍,ka-wi-jo,•description of man or ethnic? ,
𐀏-𐀹-𐀲,ka-wi-ta,•anthroponym ,
𐀏-𐀺,ka-wo,(as (ka)-wo) •context obscure ⇔ καλός? ,
𐀏-𐀼,ka-za,•'of bronze'? ,
𐀏-𐀿-𐀁,ka-zo-e,•description of axones ,
𐀏-𐀿-𐀆,ka-zo-de,del Freo 2009: toponym allative del Freo Maurizio 2009 Pasiphae III: Rivista di Filologia e Antichità Egee “The Geographical Names in the Linear B Texts from Thebes”,
𐀏-𐁇,ka-pte,•anthroponym KN Df: a-ra-si-jo anthroponym KN Fh KN X ka-*56-no anthroponym ,
𐀏-𐁋-𐀫,ka-ta2-ro,•anthroponym ,
𐀏-𐁖-𐀙-𐀵,ka-*56-na-to,•anthroponym ,
𐀏-𐁖-𐀜,ka-*56-no,•anthroponym KN Df: a-ra-si-jo anthroponym ka-pte anthroponym ,
𐀏-𐁖-𐀰-𐀲,ka-*56-so-ta,,
𐀐-𐀄-𐀡-𐀅,ke-u-po-da,•probably a title Palmer TBD: 'libation-pourer'? •alt. spelling of ke-u-po-da? •genitive of ke-u-po-da  Palmer Robert TBD,
𐀐-𐀄-𐀭,ke-u-sa,•anthroponym KN Dl: si-ja-du-we KN Dl: OVIS LANA ,
𐀐-𐀈-𐀯-𐀊,ke-do-si-ja,•Heading to lists of men ,
𐀐-𐀏-𐀄-𐀕-𐀜,ke-ka-u-me-no,burnt,
𐀐-𐀏-𐀵,ke-ka-to,•anthroponym ,
𐀐-𐀐-𐀕-𐀙,ke-ke-me-na,Heubeck 1967: divided •belonging to the da-mo communal •accusative dual feminine •genitive singular masculine or neuter  Heubeck Alfred 1967 Aus der Welt der frühgriechischen Lineartafeln,
𐀐-𐀐-𐀕-𐀙,ke-ke-me-na,lease field,
𐀐-𐀑,ke-ki,•1. description of man (PY An) 2. anthroponym (PY Jn) •nominative plural of ke-ki •anthroponym or patronymic adjective of ke-ki? Appears as a-no-ke-we  ke-ki VIR 1 on PY An 192. Appears as ku-ru-me-no-jo  o-ka  pe-ri-te-u  wo-ne-wa  a-ti-ja-wo  e-ru-ta-ra  o-*34-ta  me-ta-pi-jo  ke-ki-de  VIR 50 on PY An 654 ⇔ 657. Appears as [...] wa-wo-u-de  ke-ki-de  VIR 10 on PY An 654. Appears as [...] wa-ka-ti-ja-ta  ke-ki-de  sa-pi-da [...] on PY An 656. Appears as [...] pu2-ti-ja  a-pu2-ka-ne  ke-ki-de  [[po-ra-i]] VIR 20 on PY An 656. Appears as [...] [[u-wa-si]]  ke-ki-de  ne-wo VIR 10 on PY An 656. Appears as [[ne-da-wa-ta|ne-da-wa-ta-o]]  o-ka  e-ke-me-de  a-pi-je-ta  ma-ra-te-u  ta-ni-ko  a2-ru-wo-te  ke-ki-de  ku-pa-ri-si-jo VIR 20 on PY An 657 ⇔ 654. Appears as a3-ta-re-u-si  ku-pa-ri-si-jo  ke-ki-de VIR 10 on PY An 657. Appears as me-ta-qe  pe-i  e-qe-ta  ke-ki-jo  a-e-ri-qo-ta  e-ra-po  [[ri-me-ne]]  o-ka-ra  [[o-wi-to-no]] VIR 30 on PY An 657 (see transliteration for placement of o-wi-to-no). Appears as ke-ki-de-qe  a-pu2-ka-ne  VIR 20 on PY An 657 ⇔ 656. Appears as ]pa-ri-so  ke-ki-de  e-ko-si SA 30 on PY Na 514. PY Jn: ma-no-u-ro [[po-ti-na-jo]] ra-ma-jo [[re-u-si-wo]] (ri)-(ku)-we (erased) PY Jn: a-pe-te-u anthroponym [[po-ti-na-jo|po-ti-(na)-jo]] ra-ma-jo [[re-u-si-wo]] ri-ja-ko anthroponym ri-(ku)-we ma-no-u-ro SA: PY Na VIR: PY An ,
𐀐-𐀕-𐀄,ke-me-u,•anthroponym ⇔ Κέλμις Κέλμος ,
𐀐-𐀛-𐀤-𐀳-𐀸,ke-ni-qe-te-we,hand washing basins,
𐀐-𐀢,ke-pu,•anthroponym ,
𐀐-𐀨,ke-ra,•1. (KN Ra) 'horn'? ⇔ κέρας 2. (PY Eb PY Ep) 'gift of honour'? ⇔ γέρασ ὄ τι δῆμος ἔδωκεν •nominative plural of ke-ra1? Appears as ke-ra-a  *227VAS on KN K 872. Appears as ]zo-wa  [[e-pi-zo-ta]]  ke-ra  [[de-de-me-na]] on KN Ra 984. GRA: PY Eb? PY Ep? GUP: KN Ra ,
𐀐-𐀨,ke-ra,gift of honour,
𐀐-𐀨-𐀁-𐀸,ke-ra-e-we,Melena 2000-2001: Mycenean name of the items recorded in the Qa class by means of the logogram *189 (which has as endogram the acrophonic KE). [...] probably a plural nominative we are dealing with a noun in -eus built on a neuter in -as and the choice is between /keras/ or /geras/ both attested at Pylos. Qa religious associations would point to /geras/ as the best candidate and its presence among leathern artifacts is perfectly at home since word-formation would prompt the interpretation of these Mycenaean /gerahēwes/ as 'honouring' implements of some form. ⇔ ke-ra Killen 2000-2001: may perhaps be merit in Melena's (rejected) alternative explanation of [ke-ra-e-we] as a derivative in -εύς not of γέρας 'portion of honour' but of κέρας 'horn'. perhaps an agent noun (cf. ka-ke-u ke-ra-me-u etc.): 'worker in horn (and ivory?)' *189: PY Un Killen John T. 2000-2001 Kadmos 35-36 A Note on Pylos Tablet Un 1482 ,
𐀐-𐀨-𐀊-𐀠,ke-ra-ja-pi,•'made of horn' ⇔ κεραός 'horned' See o-po-qo. [[CAPS]]: KN Sf? CUR: KN Sd ,
𐀐-𐀨-𐀕-𐀄,ke-ra-me-u,•occupational term: potter ⇔ κεραμεύς (Iliad) Palaeolexicon: anthroponym •nominative dual of ke-ra-me-u Palaeolexicon: ceramic artisans •genitive singular of ke-ra-me-u ke-ra-me: potter ,
𐀐-𐀨-𐀕-𐀊,ke-ra-me-ja,•anthroponym feminine of ke-ra-me-u ,
𐀐-𐀨-𐀕-𐀸,ke-ra-me-we,workers of ceramics ceramic artisans,
𐀐-𐀨-𐀜,ke-ra-no,•Name of one of a yoke of oxen + connective enclitic qe ,
𐀐-𐀩,ke-re,•anthroponym ⇔ Κρής ,
𐀐-𐀩-𐀄,ke-re-u,•anthroponym ,
𐀐-𐀩-𐀙,ke-re-na,•meaning obscure Appears as a-mi-ni-so ke-re-na  re-ne  [ on KN M 719. ,
𐀐-𐀩-𐀜,ke-re-no,•anthroponym ⇔ Γερήνιος ,
𐀐-𐀩-𐀯-𐀍,ke-re-si-jo,cretan,
