Glyphs	Convention	Transcribed	Meanings	Connection	√√	Akkadian
𒈨𒄭	me-hi	mehi	tissue			#himşu 
𒆲;𒋰𒋾;𒊩𒋰𒆲	megidaₓ(KUN);megida;munus megida₂	megida	sow	 մերուն merun		#šahītu ≠ Saat
𒅖	mel	mel	malt-flour	Mehl		#kukkušu 
𒆠𒉈;𒅥𒊮𒀀;𒅲;𒆈	mel₃;meliₓ(KA×GAR+ŠA₃ +A);meli₂;meliₓ(KA×U₂ )	meli	neck	Kurdish/Persian مِل mil مل mol монгон #nemlû муйын muyın  ⲛⲁϩⲃⲓ nahbi •nambilu <> λαιμός laimós nam.hals?		#nemlû 
𒈨𒉈	me-lim₄	melim	frightening splendor			#melammu 
𒃞;𒇘𒂗	GA₂×ME+EN men;men₄	men	tiara, type of crown	GA₂×ME+EN garment GeMenge ?		#agû 
𒈨𒈾𒀀𒀭	me-na-am₃	menam	when? 	mwen-um?		
𒈨𒈾𒈨𒈾𒀀𒀭	me-na-me-na-am₃	menamenam	ever 	manymoon?		
𒈨𒈾𒂠	me-na-še₃	menaše	how long?			#adī matī 
𒈨𒈾𒋫	me-na-ta	menata	since when? 			
𒈨𒂗𒉈𒂗	me-en-de₃-en	menden	we	𓈖𓏥 mir		#nīnu 𓈖𓏥 
𒈨𒂗𒍢𒂗;𒍝𒂊𒈨𒂗𒍢𒂗;𒍝𒂊𒂗𒍢𒂗	me-en-ze₂en;za-e-me-en-ze₂en;za-e-en-ze₂en	menzen	you (plural) 	man.sen Mensch!		
𒈨𒅕𒈨𒅕;𒈥𒈥	me-er-me-er;mar-mar	mer	(compound verb verbal element) 			
𒈨𒅕𒂵	me-er-ga	merga	first one 	<<< µferga		
𒅎	mermer₃	mermer	dust storm	imer.imer		#ašamšūtu 
𒈩;𒄑𒈩	mes;ĝeš mes	mes	blackness, black spot; black wood	mies mals		#şulmu 
𒈩	mes	mes	hero; manly; young man	𓄟 Mensch		#eţlu 
𒈨𒂠	me-še₃	meše	where to? 	mwo zu?		
𒈨𒋫	me-ta	meta	whence?; (since) when?	ma time?		#ayyānu;mati 
𒈨𒋼;𒋼	me-te;te	mete	appropriate thing, ornament	[orna]mente [cos]metic διακόσμηση diakósmisi		#simtu 
𒈨𒋼;𒉎𒋼	me-te;ni₂te	mete	one's own	<<^^ mein		#ramānu 
𒈨𒋼	me-te	mete	image	meta @ (Stein)metz		#simtu 
𒈨𒋼𒅅	me-te gal₂	mete ĝal	fitting			#? 
𒈨𒋼𒅅	me-te-ĝal₂	meteĝal	seemly 			
𒄑𒈨𒋼𒈝	ĝeš me-te-num₂	metenum	flour bin			#meţēnu 
𒈨𒌨	me-teš₂	meteš	praise 	maat merits		
𒈨𒍢	me-ze₂	meze	jaw, cheekbone	maxilla macık •magäč̣  < መንጋጋ mängaga > አገጭ ʾägäč̣ <> mandō chew		#isu 
𒊩	mi₂	mi	(compound verb nominal element) 			
𒊩	mi₂	mi	praise 	fame name mille mundi @  𓇗 music 𓇖 zamár		
𒊩𒅗	mi₂dug₄	mi dug	to care for, treat well, treat kindly	mind		
𒈹	mim₂	mim	flat space	𓏠 main məkan مَكَان makān מֶרְחָב merḥáv		#mātu 
𒈫;𒌋𒌋;𒋰	min;min₃;min₆	min	two; ditto	2 <> ₁/2 demi ídem izdim 		#šina same 
𒍏;𒁑𒁑;𒁄𒁄;𒁑𒉄	minbulug;minbulug₂;minbulugₓ(BAL&BAL);minbulugₓ(BULUG.NAGAR)	minbulug	double pin	plug Pflock		#pallukku;pulukku 
𒈪𒅅𒌈	mi-iq-tum	miqtum	social class 	might?		
𒂇	mir	mir	angry; anger, rage	𒂇 AGA •𐌰𐌲𐌲𐌰 anger		#uzzu 
𒂇;𒅎𒂇	mir;tumu mir	mir	north wind; north; storm	𒂈 mir 𒅎𒅎 mermer₃ 𒈬𒊒  #marru 𒈥𒋽 #marru		#ištānu;mehû 𓎔 #mḥ  
𒂇𒁺𒈾	mir-DU-na	mirDUna	belt? 			
𒈪𒌷𒌈	mi-ri₂tum	miritum	punting pole 	𓌻 𓂋 𓇋 𓆱 sounding-pole <> mast?		
𒈪𒌷𒍝	mi-ri₂za	miriza	plank, board; boat pole	@ 𓈗 marine		#parīsu 
𒂇𒁺	mir-ša₄	mirša	snake	mârˢ  مار •mḥš ≈ 𐎐𐎈𐎌 nḥš נָחָשׁ nāḥāš		#šibbu 
𒂇𒋀	mir-šeš	miršeš	shivers	tremere “shake, tremble”		#hurbāšu 
𒈪𒋛𒅖	mi-si-IŠ	misIŠ	money chest 			
𒅿;𒅡;𒅲	mu₁₁;ma₅;mu₇	mu	to crush, mangle	mu#hašû mörs mehl		#hašû 
𒉌	mu₅	mu	good, beautiful	"moyen mieux mu₅ มัน mina man minyak ""oil"" 𒉌𒄄𒅔𒍪 #mindê µbien"		#banû 
𒊬;𒊬𒊬	mu₂;mu₂mu₂	mu	to grow 			
𒅲	mu₇	mu	incantation, spell	mouth --		#šiptu 
𒉺	mu₆	mu	manly; young man			#eţlu 
𒅲	mu₇	mu	to make a sound 			
𒈬𒈗𒅆𒊒	mu lugal pad₃	mu lugalak pad	to swear by the king's name	->		#nīš šarrim tamû 
𒈬	mu	mu	name; line of text; son			#šumu 
𒈬	mu	mu	year	"𒈬𒀭𒈾  MU.AN.NA moon <> niau name of king 𒈬𒀭𒈾 sanat ""sun"""		#šattu 
𒈬𒁄𒀀	mu-bal-a	mubal	next year 	míng.paleo 明 𓆶  𒉿𒂖 piel		
𒈬𒉈𒂠	mu-bi₂eš₂	mubeš	therefore 	 მაშასადამე mašasadame  demnach επομένως epoménos ուրեմն uremn  emiatt		
𒄷𒄭	mud	mud	to create	made, make muse+utu		#banû 
𒄷𒄭;𒁁	mud;mud₂	mud	blood	𒄷𒄭 dāmu  damudamu reverse / double µblut ≈ 𒁁 bˡad  血 ming™		#dāmu 
¿;𒄷𒄭𒍏;𒂁𒉯;𒂁𒆸𒌋𒆕;𒂁𒉭𒀖·𒆑	mudₓ(LAK₄₄₉);mud urudu;dug mud₃;dug mud₄;dug mud₈	mud	beer jar; a unit of liquid capacity			#hubūru 
𒄷𒄭	mud	mud	scared, terrified	moody ₁/Mut √mind 		#parādu 
𒄷𒄭;𒄑𒄷𒄭	ĝeš mud;mud	mud	stump 	•mount moncherino  גֶּדֶם gédem reverse		
𒄷𒄭	mud	mud	tube, socket	მილი mili™ مَقْبِس maqbis ὁλμίσκος holmískos (𒄭 hel)		#uppu 
𒄷𒄭𒅅	mud-ĝal₂	mudĝal	creative 	malikhain @ Malay		
𒋆	mud₅	mud	joy 	√mind		
𒊬	mud₆	mud	rabid 	moody		
𒈬𒌓𒄀	mu-ud-gi	mudgi	sweetness 	 मीठा میٹھا mīṭhā  matam @ Malay		
𒁍	mudla	mudla	basket			#maššû 
𒋆𒈨𒃻	mud₅-me-ĝar	mudmeĝar	joy 	mega Mut Hochmut ;) 		
𒊩𒍑𒁮;𒈬𒌓𒁕𒈾;𒈬𒌓𒈾	mudnaₓ(SAL.UŠ.DAM);mu-ud-da-na;mu-ud-na	mudna	spouse 	<> Magd?		
𒂗𒆪𒀀	mudru₂	mudru	fuller	moat @ sword		#ašlakku 
𒈬𒁺	mu-DU	muDU	delivery	meta @ markt		#šūrubtu 
𒈬𒁺𒈝;𒈬𒁺𒇷𒀀	mu-du-lum;mu-du-li-a	mudulum	preserved meat	meatᵃˡ		#muddulu 
𒈬𒁍	mu-dur₇	mudur	dirt 	mud		
𒈬𒁍	mudra₆	mudur	dirty	modrig muddy 		#(w)aršu 
𒊩	mug₂	mug	female genitals, vulva	Muschi		#bişşūru;ūru 
𒈮	mug	mug	low quality wool	毛 mao		#mukku 
𒈬𒄘	mu-gu₂	mugu	water-lift 	𒀀 mû ≈ मेंह mẽh		
𒈬	muhaldim	muhaldim	cook	μάγειρος მზარეული		#nuhatimmu 
𒈬𒃲	muhaldim-gal	muhaldimgal	head cook 			
𒈬𒅎𒈠	mu-im-ma	mu'imma	last year 	≠ ming		
𒋼	mul₂	mul	foundation(s)	<> mould moat ?	o	#uššu 
𒄮	mul₃	mul	wood-wasp	!		#kuzāzu 
𒀯;𒋼;𒌌	mul;mul₂;mul₄	mul	star; to shine, radiate (light); arrow; to radiate (branches)	lumi @ alluminium reverse		#kakkabu;mulmullu;nabāţu 
𒀯𒀭	mul-an	mulan	heavenly star 			
𒀯𒈠𒀠𒍝	mul-ma-al za	mulmal za	to make noise 	murmur		
𒀯𒅊	mul-sig₇	mulsig	darkness	mallumo@Esperanto mal mull moll < murky mörker myrkur mrok <> muddy 𐎎𐎄𐎂𐎚 mdgt 𒌓𒄷𒄭 /udmud/  ظَلَام  m (ẓalām), ظُلْمَة (ar) f (ẓulma) 𒍪𒈬𒊌 (/sumug/ reverse		#ekletu 
𒃷𒁍	mulu₄	mulu	field surveyor	Mayer		#abi ašli 
𒅲𒅲	mu₇-mu₇	mumun	noise	murmur		#ramīmu;rigmu 
𒅲𒅲𒅅	mumun-ĝal₂	mumunĝal	exorcist	manaaja ಮಾಂತ್ರಿಕ māntrika		#(w)āsipu 
𒁵;𒋀;𒂷·𒁴·𒊺	mun;mun₄;munu₃	mun	brackish; salt	manda@Chadic #marruⁿ  αλμυρός almyrós ملح milḥ (RN)  নিমখ (nimokh) 盐 (yàm)		#marru;ţabtu 
𒁵𒁺	mun-du	mundu	groats	<> Mehl?  ( Schrot , Grütze )		#mundu 
𒈰;𒋠𒇴𒋦;𒆅;𒋢𒈰;𒋢𒋠𒇴𒋦;𒌑𒋗	munsub;munsub₂;munsubₓ(KA×SUHUR);su munsub;su munsub₂;u₂šu-p?	munsub	hair; barber	Man.Schaber סַפָּר sapár		#šārtu;šārat zumri;gallābu 
𒉺 𒉺𒄝	mu₆-sub₃;munsubₓ(PA.GU₂ @g)	munsub	shepherd, herdsman; an official	𓏠 𓈖 𓃒 𓀸 ⲙⲁⲛⲉⲥⲱⲟⲩ manager manᵒsheep  ἡγεμονεύω @ 		#rē'û 
𒉽𒊺𒉽	munu₄	munuᵗ	malt	mulnt (NL)		#buqlu 
𒆠𒉈	munu₂	munu	scorching	…		#himţêtu 
𒉽𒊺𒉽𒊬;𒉽𒉽·𒊺𒊬	munu₄-mud₆;munuₓ(PAP.PAP×ŠE)-mud₆	munumud	maltster	≈		#bāqilu 
𒉽𒊺𒉽𒊬𒃲	munu₄-mu₂gal	munumudgal	head maltster 			
𒊩;𒉡𒉭	munus;nu-nus	munus	woman; female	µwoman		#sinništu 
𒆠𒀭𒋀𒆠	munzer	munzer	licorice?	minze!		#aşuşimtu;supālu 
𒊕𒈬𒁍	munzerₓ(SAG.MU.BU)	munzer	unkempt 	minced;)		
𒈬𒅆𒊒𒁕	mu-pad₃-da	mupada	gift 	emportar? maphada > והַבתָּא mawhaḇtā مَوْهِبَة mawhiba ܡܵܘܗܲܒ݂ܬܵܐ māwhawtā 	++	
𒄯	mur	mur	(compound verb verbal element) 			
𒌆	mur₁₀	mur	to get dressed, clothe oneself	ミレ mire @ Ainu ;)   ἱματίζω		#labāšu 
𒄯	mur	mur	fodder; fat	𑀫𑁄𑀝 *moṭa		#imrû;kabāru 
𒄯𒄞	mur-gu₄	murgu	fodder	<> manger		#imrû 
𒄯	mur	mur	lung	𒄯 سَحَر saḥar		#hašû 
𒈬𒊏𒀸	mu-ra-aš	muraš	female dream interpreter	<3		#ša'īltu 
𒈱	murgu	murgu	to draw, design	mark! merge mal		#eşēru 
𒈱	murgu	murgu	excrement	murk ≈ Mist မစင် ma.cang मल mal  മലം malaṃ		#tabāštānu 
𒈱	mur₇	murgu	excrement 	murk <> excrement 		
𒅺	murgu₃	murgu	rage	ma.rage mageba in გაშმაგება gašmageba μανία mânie mania mad  *mn̥yétor √mind		#libbātu 
𒈱;𒈱	murgu₂;murgu	murgu	shoulder; back	•murdj ⲙⲟⲩⲧ mout ⲙⲟϯ moti	++!	#pūdu;warkatu 
𒈱𒁀;𒈱𒁀;𒁀𒈱;𒁀𒈱	murgu₂ba;murgu-ba;ba-murgu;ba-murgu₂	murguba	shell of a marine creature 	√mar?		
𒄯𒈠𒊏;𒅗	mur-ma-ra;murum	murmara	ululation, rumble 	murmur	++?	
𒄯𒈠𒊏𒁺;𒄯𒈠𒊏𒍝;𒅗𒁺;𒅗·𒄭·𒀾𒁺	mur-ma-ra ša₄;mur-ma-ra za;murum ša₄;murumₓ(KA×HI×AŠ₂ ) ša₄	murmara ša	to roar	murmur @ Maru(lion)!		#ramāmu 
𒅎𒂂;𒅎	muru₉;muru₃	muru	rainstorm; mist; drizzle	murky mist murain		#imbaru;murû 
𒌙;𒉠;𒊩𒇬;𒉠;𒂗𒈨𒇬	murub₆;murub₄;murub₂;murub;murub₃	murub	middle; female genitals, vulva; buttocks, rump; knob; mouth; gate (of city or large building); space between, distance; link; hips			#abullu;birītu;bişşūru;pinku;pû;qablu;qinnatu;ûru 
𒊩𒌓𒂔;𒌫·𒌑𒀸;𒌫	murum₅;murum₄;uru₈	murum	father-in-law; brother-in-law			#emu rabû 
𒄑𒊩𒌓𒂔𒍝𒉡𒌝	ĝeš muru₅-za-nu-um	murzanum	wooden object 			
𒊬𒊬	mu₂sar	musar	garden	sar.din		#mūšaru 
𒈬𒊬𒊏	mu-sar-ra	musara	inscription	ᶥma.scrava		#musarû 
𒊩𒍑𒁲;𒊩𒍑𒊓;𒊩𒁲	mussa;mi₂us₂sa;mi₂sa₂	mussa	son-in-law	𐌼𐌴𐌲𐍃 mēgs Mose нусо (nuso) väimees		#emu şehru 
𒊩𒍑𒁲𒌉	mussa-tur	mussatur	son-in-law 			
𒈹	muš₃	muš	to curdle? 			
𒈹;𒈽	muš₃;muš₂	muš	face, appearance	≠ mustache		#zīmu 
𒈲	muš	muš	snake	mars		#şēru 
𒈹	muš₃	muš	flat space; a holy area			#mātu 
𒈽𒁾	muš₂dub	muš dub				?
𒈹𒁺	muš₃tum₂	muš tum				to stop working
𒈠𒊭𒈝;𒌓𒊕𒁇𒈠𒊭𒈝;𒍏𒈠𒋡𒈝;𒈬𒊭𒈝	ma-ša-lum;zabar ma-ša-lum;urud ma-sal₄-lum;mu-ša-lum	mušalum	mirror	mairsor mirror		#mušālu 
𒈹𒀀𒀭;𒈽𒀀𒀭	muš₃-am₃;muš₂am₃	mušam	(exclamation of) compassion 			
𒈲𒁕𒆸;𒈲𒁕𒆸𒊏	muš-da-gur₄;muš-da-gur₄-ra	mušdagura	gecko	dragó		#pizalluru 
𒄷;𒈬𒋾𒅔;𒈬𒁷	mušen;mu-ti-in;mu-tin	mušen	bird	Muse		#işşūru 
𒄷𒉅	mušen-buru₅	mušenburu	flock of small birds 	"σμήνος smínos ""flock"""		
𒄷𒆕;𒉭𒀖·𒀿	mušen-du₃;usanduₓ(NUNUZ.AB₂×AŠGAB)	mušendu	bird-catcher	"𒉌 DÙᵍ take in 𒄷𒆕 bird-catcher  𒉌 DÙᵍ dig (for oil) 𒁲  
"		#usandû 
𒈲𒄈	muš-ĝiri₂	mušĝiri	fanged snake; dangerous animals; reptile 	𒄈𒈲 •ĝiri₂muš *kŕ̥miš dangerous worm		
𒈹𒅗𒌋𒄞	MUŠ₃ .KA.|U.GUD|	MUŠKA'UL	cupbearer 	𒅗 KAᵖ ≈ cup 𓎡 in 𒈹𒅗𒌋𒄞 cupbearer (of [[𒈹]])		
𒇽𒈲𒁻;𒇽𒈲𒁺𒁺	lu₂ muš-lah₄;lu₂ muš-lah₅	mušlah	snake charmer	магьосник magjosnik 𒈲 MUŠ ≈ magjos 		#muš(la)lahhu 
𒈲𒁺𒁺𒃲	muš-lah₅-gal	mušlahgal	head snake-charmer 	магьосник magjosnik mega.snake reanalysis		
𒈹𒈨	muš₃-me	mušme	face, appearance	misma similar 𓏇 mis 𒈠𒊭𒇻 ma-ša-lu mašalu to equal 		#būnu #zīmu similar
𒇚	muššagana	muššagana	hunger pangs, ravenous hunger			#karurtu ša barbaru 
𒈬𒂅𒈾	mu-tun₃-na	mutuna	stomach? 	µbottom = belly @ Semite		
𒈬𒌑𒀀	mu-u₂a	mu'ua	this year 	𒈬 MUⁿ ≈ moon in 𒈬𒌑𒀀 ≈ 𒈬𒀭𒈾 •Monat		
𒈬𒌑𒀀	mu-u₂a	mu'u'a	youth, young man 	𒈬 MUⁿ ≈ man		
𒈾	na	na	(compound verb nominal element) 			
𒈾	na	na	man	"𒈾 ≈ 𒊩𒐺𒁹 nin / mun 𒈾 NAⁿ 𒈾𒉡𒌋 na-nu-u 难 nán/nàn ""man"""		#amēlu •amenlein
𒎎𒈾	na₄ na	na	pestle; a stone	"𒎎𒈾 •birᵏin.na  𒄑𒃶𒈾 bukānu בוכנה būḵānā ""pestle"""	<<<	#na'u  𒄑𒃶𒈾 m (/bukānu/), 𒈠𒁖𒆪 m (/madakku/)
𒄑𒄤𒅆𒄤;𒄑𒄤𒂠𒄤	ĝeš naĝa₃-si₃-gaz;ĝeš naĝa₃-zi₃-gaz	naĝasikaz	pestle	^^	<<<	#madakku •mardak •mortagr
𒄑𒄤;𒄤𒂷;𒄑𒄣	ĝeš naĝa₃;naĝa₃ ĝa₂;ĝeš naĝa₄	naĝa	mortar	^^  𒄣 GUZ/GUM ≈ կաղջին kaġǰin	<<<	#esittu 
𒎎;𒈾;𒎎𒈾	na₄;na;na₄ na	na	stone; stone weight	gneiᵒˢ gneiss		#abnu 
𒈾𒊑;	na degₓ (RI);	nari/na deg	to make clear, explain; to consecrate, purify; to separate; to clear out, cut out	<>		
𒊭𒁲𒊑;𒊭𒊑	ša di-di₅;ša di₅	šadi₅ / šadiri	to make clear, explain; to consecrate, purify; to separate; to clear out, cut out	"𒊭 šaʳ in 𒊭𒊑 šari #ašāru chiarire klär- ""make clear, explain"""		#ašāru;elēlu;hasāsu 
𒊭𒁲;𒊭𒁲𒁲;	ša di;ša di-di;	šadi	to make clear, explain; to consecrate, purify; to separate; to clear out, cut out	توضيح tawdīḥ >		#ašāru;elēlu;hasāsu 
𒈾𒊑;𒈾𒁺𒁺	na-degₓ (RI);na-|DU&DU|	nadeg	advice 	n<>m نَصِيحَة naṣīḥa مَشُورَة f mašūra		
𒈾𒉈;𒈾𒊑	na-de₃;na-degₓ (RI)	nadeg	incense	𒈾𒊑 naᵗri 𓊹 𓌢 𓈖 𓏏 𓂋 𓊸 !		#qutrēnu 
𒎎𒑰𒋗	na₄-₁(diš)-šu	nadiššu	hammer-stone? 	√dash		
𒈾𒃰	na-gada	nagada	herdsman	牛 niú.guard 𓏠 𓈖 𓃒 𓀸 ⲙⲁⲛⲉⲥⲱⲟⲩ manager 		#naqidu 
𒉄	nagar	nagar	carpenter	"𒉄 NAGAR נגר ܢܰܓܳܪܳܐ naggārā נַגָּרָא nagārā nagoro نجار naggār ""carpenter"" ( bulug₄ Leger ≠ Neger )"		#nagarum 
𒉄𒃲;𒃲𒉄	nagar-gal;nagargalₓ(GAL.NAGAR)	nagargal	head carpenter 	^^𓅨 𓂋 𓀀		
𒅘𒁍	nag-bu	nagbu	waters; sources 	dri.naĝ drainage		
𒅘	naĝ	naĝ	to drink	dri.naĝ		#šatû 
𒉀;𒈾𒈠	naĝa;na-ma	naĝa	potash, soap	s'nama s'nang أُشْنَان ʔušnān  s'nama ሳሙና samuna shampoo صابون ṣabūn soap		#uhūlu 
𒉀𒁆	naĝa dub₂	naĝa dub	to rub with soap 	"𒁆 balag < barig PIE *bʰreyH in frico ""rub"" (friction) 𒁆 dub₂ •drub ≈ τρῖψις trîpsis ""to rub"""		
𒉀𒋢𒌒;𒉀𒋳	naĝa su-ub;naĝa sub₆ ?	naĝa sub	to rub with soap			#? 
𒈾𒂷𒄴	na-ĝa₂ah	naĝah	barbarian	"𓈖 𓅘 𓎛 𓋴 𓏮 𓌙 𓀀 Neger negro ""dark-colored"" without modern annotations"		#nuwā'u << wa<gwa!
𒈾𒄰𒌈	na-kam-tum	ᵐnakamtum	storehouse	magatzem  مَخَازِن maḵāzin магаци́н magacín magazine chamber		#nakkamtu 
𒈾𒇻𒀀	na-lu-a	nalua	gravel? 	𒎎?		
𒉆;𒈾𒉘	nam;na-aĝ₂	nam	determined order; will, testament; fate, destiny	name™		#šīmtu 
𒈾𒈠𒊒𒌝	na-ma-ru-um	namarum	mirror	mirrorum		#nāmaru 
𒉇	nam₂	nam	lord 	"𒉇 NAM₂ 𒌋𒌋 MAN ""lord"""		
𒉇	nam₂	nam	(fore)thought, plan(ning); understanding; instruction	mind		#ţēmu 
𒈾𒈨	na-me	name	somebody	“name” placeholder		#mamma 
𒉆𒋻	nam kud	ˢʸnam kud	to curse	𒋻 ÇAR 𒋻 KUR₅ course ≈ curse  𒉆 SIM ≠ ശാപം śāpaṁ		#arāru;nazāru 
𒉆𒋻	nam tar	ˢʸnam tar	to decree fate	name tell		#šīmta šâmu 
𒉆𒀀𒀀	nam-a-a	ˢʸnama'a	? 	?	<<	
𒉆𒀊𒁀	nam-ab-ba	ˢʸnamabba	old age	𒉆 SÍN šen senior @Opa		#abbūtu;šībūtu;puršumu 
𒉆𒌉𒁕	nam-banda₃ da	ˢʸnambanda	youth 	neo new bands junior ≠ senior 𒉆 SÍN 𓇳☉☀☼🌞 世 岁  suì ≈ shan		
𒉆𒂇𒍑;𒉆𒂆𒍑	nam-aga-us₂;nam-aga₃-us₂	ˢʸnamaga'us	status as soldier 	…		
𒉆𒀉𒅅	nam-a₂ĝal₂	ˢʸnamaĝal	strength 	"dynamicᵃˡ δύναμη dýnami ""strength"""		
𒉆𒀳𒇲	nam-apin-la₂	ˢʸnamapinla	position as tiller 	𓀋 𓏥  arado cincel 		
𒉆𒀴;𒉆𒀵	nam-arad;nam-arad₂	ˢʸnamarad	slavery 	snavery slavery		
𒉆𒀜𒆤	nam-ad-KID	ˢʸnamadKID	the craft of the basket-weaver 	nomad?		
𒉆𒀿	nam-ašgab	ˢʸnamašgab	the craft of the leather-worker 	vakmanschap workmanship		
𒉆𒌆𒌓	nam-azlag	ˢʸnamazlag	the craft of the fuller 	TÚG.ler tailleur TÚG.ut TÚG.bir тепавичар tepavičar		
𒉆𒀀𒍪	nam-a-zu	ˢʸnamazu	the craft of the physicians 	𒀀 bu₄ ≈ φύ phú in 𒉆𒀀𒍪 physics	<<!!+++	
𒉆𒁓𒋗𒈠	nam-bur-šu-ma	ˢʸnamburšuma	position as buršuma-official 	^?		
𒉆𒉽𒉽	nam-buluĝ₃	ˢʸnambuluĝ	upbringing of an adopted child	synambul-? up-bringing? Balg-ment		#tarbītu 
𒉆𒁔𒀀	nam-bur₂a	ˢʸnambura	payment	payera-ment		#nipiltu 
𒉆𒁈	nam-barag	ˢʸnambarag	royalty	^^  πνευματικά δικαιώματα	-	#šarrūtu 
𒉆𒁮𒃼	nam-dam-gar₃	ˢʸnamdamgar	commerce 	sym-mergar ☿ commerce		
𒉆𒁮	nam-dam	ˢʸnamdam	marriage 	x נישואין \ נִשּׂוּאִין nisu'in  nikâh	--	
𒉆𒌉𒌉𒇲	nam-di₄-di₄-la₂	ˢʸnamdidila	smallness 	smallness SIMdidila little reverse		
𒉆𒀭	nam-diĝir	ˢʸnamdiĝir	divinity 	神威 shén…		
𒉆𒁾	nam-dub	ˢʸnamdub	writing 	ການ​ຂຽນ kān khīan  نوشته nevešte		
𒉆𒌉𒉣𒈾	nam-dumu-nun-na	ˢʸnamdumununa	the status of being son of the prince 			
𒉆𒌉 𒍑	nam-ibila	ˢʸnamibila	the status of heir 			
𒉆𒌉	nam-dumu	ˢʸnamdumu	status as son 	ˢʸnamdumu స్థానం sthānaṁ Stand стан stan 𒉆 SIN	+	
𒉆𒌉𒊩	nam-dumu-munus	ˢʸnamdumumunus	status as daughter 	<		
𒉆𒌉𒍣	nam-dumu-zi	ˢʸnamdumuzi	child-delivering 			
𒉆𒉌𒂃	nam-i₃-du₈	ˢʸnamidu	status as doorkeeper 			
𒉆𒌉𒂠	nam-dumu-ĝir₁₅	ˢʸnamdumuĝir	citizen status 	syna…demagogue <> κᾰτᾰνάγκη katanánkē		
𒉆𒊩𒆳	nam-geme₂	ˢʸnamgeme	status as slave woman 			
𒉆𒄄𒈨𒀊;𒉆𒄄𒈨𒀀𒀸;𒉆𒄄𒈨𒀸	nam-gi₄-me-eš₃;nam-gi₄-me-a-aš;nam-gi₄-me-aš	ˢʸnamgimeš	status of colleague 			
𒉆𒁽	nam-gir₅	ˢʸnamgir	status as stranger 			
𒉆𒁾𒊬	nam-dub-sar	ˢʸnamdubsar	the scribal arts			#ţupšarrūtu 
𒉆𒂄	nam-dun	ˢʸnamdun	digging 	σκάπτω skáptō 𒂄 dung≈dig		
𒉆𒊩𒂠	nam-egir₃	ˢʸnamegir	ladyship 	Senhora…		
𒉆𒊩𒂠𒍥	nam-egir₃-zid	ˢʸnamegirzid	the office of egirzid-priest 			
𒉆𒅴𒁲	nam-eme-di	ˢʸnamemedi	bluntness 	stumpf		
𒉆𒅴𒋝	nam-eme-sig	ˢʸnamemesig	false speech			#? 
𒉆𒂗	nam-en	ˢʸnamen	the office of en-priest; kingship	syn-amun shar-amen		#enūtu; bēlūtu 
𒉆𒀳	nam-engar	ˢʸnamengar	farming 	ñemitỹ Hausa: noma 农 nóng  x زراعة zerāʕa Schererei;)	++?	
𒉆𒂟	nam-erin₂	ˢʸnamerin	field-working 			
𒉆𒀭𒂗𒆤	nam- d en-lil₂	ˢʸnamenlil	cosmic sovereignty 	 		
𒉆𒂗𒉡𒌦	nam-en-nu-uĝ₃	ˢʸnamennuĝ	safe-keeping 	Eunuch?		
𒉆𒎏𒀀	nam-ereš-a	ˢʸnamereš	ladyship 			
𒉆𒉺𒈗	nam-ĝarza₂	ˢʸnamĝarza	office 	ceremonija 		
𒉆𒇬	nam-lagar	ˢʸnamlagar	office of lagar-Priest 			
𒉆𒉺𒋼𒋛	nam-ensi₂	ˢʸnamensik	office of ruler 			
𒉆𒎏𒀭	nam-ereš-diĝir	ˢʸnamerešdiĝir	office of the erešdiĝir-priestess	@ synagoge		#? 
𒉆𒈨	nam-išib	ˢʸnamišib	office of išib-priest 	@ synagoge		
𒉆𒌿	nam-erim₃	ˢʸnamerim	storage 			
𒉆𒂷𒉣	nam-ĝa₂nun	ˢʸnamĝanun	storage 			
𒉆𒂵𒆜	nam-ga-eš₈	ˢʸnamga'eš	sea trade 	♥   commerce  com-ⲁⲍⲱⲣⲁ  ⲁⲍⲟⲣⲁ 		
𒉆𒂵𒆭𒊏	nam-ga-kur₉-ra	ˢʸnamgakura	entrance 	門 门 men gate-kura	--	
𒉆𒃲	nam-gal	ˢʸnamgal	greatness 	𒉆𒄷 𓋴 𓅨 𓂋	!!!	
𒉆𒄖𒆷	nam-gu-la	ˢʸnamgula	greatness 	𒉆𒃲		
𒉆𒃶;𒉆𒄭	nam-he₂;nam-he	ˢʸnamhe	abundance 	𒉆𒃲		
𒉆𒃶𒅅	nam-he₂ĝal₂	ˢʸnamheĝal	abundance 	𒉆𒃲		
𒉆𒍑𒆪	nam-gala	ˢʸnamgala	the art of lamentation singing	SIN.GALA singing		#kalûtu 
𒉆𒃴	nam-galam	ˢʸnamgalam	skillfullness 	𒃻𒃴 šágala skill skillam		
𒉆𒉣𒈨𒋳	nam-gašam NUN.ME.TAG	ˢʸnamgašam	craftsmanship 	nam.me.tag ≈ ammattitaito nam.nun.me <> вмі́ння vmínnja умение umenie		
𒉆𒃲𒀭𒍪	nam-gal-an-zu	ˢʸnamgalanzu	wisdom 	𓋴 𓃀 𓄿 𓇼	<<<	
𒉆𒆬𒍪	nam-kug-zu	ˢʸnamkugzu	wisdom 			
𒉆𒄃𒈠	nam-gilim-ma	ˢʸnamgilima	destruction 	calamity killing		
