word,transcription,note,definition,
𐀃-𐀞,o-pa,,' TBD •''contribution'' nominative and genitive singular Appears as ki-ta-ne-to  / su-ri-mo  e-ne-ka  o-pa VIR (1) on KN Am 821.1. Appears as si-ja-du-we  [[ta-ra|(ta)-(ra)]]  / i-je-[ ]-u  po-me  e-ne-ka  o-pa X VIR 1 on KN Am 821.2. Appears as o-we-to  o-pa  OVISm 15 on KN Dm 1184+. Appears as e-re-pa-te-jo  o-po-qo  ke-ra-ja-pi  o-pi-i-ja-pi [[ko-ki-da]]  o-pa CUR 3 on KN Sd 4403+.a. Appears as a-re-ki-si-to-jo  o-pa on KN Sf 4420.a. Appears as [[ko-ki-da|ko-(ki)-da]]  o-pa ne-wa on KN So 4430.a. Appears as to-ra-ke  [[a-me-ja-to]]  o-pa  me-za-na  wo-ke  ne-(wo)[ ]5 on PY Sh 736. Appears as [[pa-ra-wo]]  o-pa *171 30 on TH Wu 46.β-γ. Appears as [.]-pe-(re)-ta o-pa *171 30 on TH Wu 56.β-γ. Appears as o-pa qe-ri-jo-jo on TH Wu 58.βa-βb. Appears as WE o-pa on TH Wu 64.α-β Appears as o-pa *171 30 on TH Wu 76.γ. Appears as ra-mi-jo  o-pa on TH Wu 88.β. Appears as *180+DI o-pa on TH Wu 429.α-β. CAP: PY Wr TH Wu [[CAPS]]: KN Sf? CUR: KN Sd GRA: KN E OVIS: KN Ce KN Dm ROTA: KN So? SUS: TH Wu TELA: KN L to-ra-ke: PY Sh VIR: KN Am *171: TH Wu *180+DI: TH Wu a-ma-ru-to: TH Wu pa-i-to: KN Dm ra-mi-jo: TH Wu si-ja-du-we: KN Am su-ri-mo: KN Am  Melena José 1983 Res Mycenaeae (ed. Heubeck & Neumann) Further Thoughts on Mycenaean o-pa',
𐀃-𐀞,o-pa,,working activity,
𐀃-𐀞-𐀺-𐀚-𐀊,o-pa-wo-ne-ja,,•obscure not to be connected with ὀπάων KN Fh: OLE ,
𐀃-𐀞-𐀺-𐀲,o-pa-wo-ta,,,
𐀃-𐀞-𐀺-𐀲,o-pa-wo-ta,,tackle,
𐀃-𐀟,o-pe,,•Obscure. (i.e. unknown) ,
𐀃-𐀟-𐀫,o-pe-ro,,advantage benefit,
𐀃-𐀟-𐀫,o-pe-ro,,advantage benefit / debt deficiency Wiktionary deficit under obligation •1. deficit advantage ⇔ ὄφελος 2. being under obligation Ruipérez 1985: non-copulative -qe; [...] according to Greek usage the second -qe [in PY Eb 149] cannot coordinate the personal verb te-re-ja to the particle o-pe-ro. ⇔ (-se -ta) a-pe-o? •nominative singular feminine of o-pe-ro2 •3rd person plural present indicative thus they owe of o-pe-ro2 ⇔ (-se -ta) a-pe-o? •accusative singular masculine of o-pe-ro2 •nominative plural masculine of o-pe-ro2 •3rd person plural aorist indicative thus they owed of o-pe-ro2 o-pe-ro  is always less than or equal to . Interestingly the only contrary evidence appears on PY Ad 679 and the o-pe-ro VIR quantity which is greater than the VIR quantity was erased by the scribe.  Ruipérez Martín S. 1985 Tractata Mycenaea Subjunctive Forms in Mycenaean Texts kar WNXIII.95,
𐀃-𐀟-𐀫,o-pe-ro,,advantage benefit / debt deficiency Wiktionary deficit under obligation •1. deficit advantage ⇔ ὄφελος 2. being under obligation Ruipérez 1985: non-copulative -qe; [...] according to Greek usage the second -qe [in PY Eb 149] cannot coordinate the personal verb te-re-ja to the particle o-pe-ro. ⇔ (-se -ta) a-pe-o? •nominative singular feminine of o-pe-ro2 •3rd person plural present indicative thus they owe of o-pe-ro2 ⇔ (-se -ta) a-pe-o? •accusative singular masculine of o-pe-ro2 •nominative plural masculine of o-pe-ro2 •3rd person plural aorist indicative thus they owed of o-pe-ro2 o-pe-ro  is always less than or equal to . Interestingly the only contrary evidence appears on PY Ad 679 and the o-pe-ro VIR quantity which is greater than the VIR quantity was erased by the scribe.  Ruipérez Martín S. 1985 Tractata Mycenaea Subjunctive Forms in Mycenaean Texts kar WNXIII.95,
𐀃-𐀟-𐀫,o-pe-ro,,advantage benefit / debt deficiency Wiktionary deficit under obligation •1. deficit advantage ⇔ ὄφελος 2. being under obligation Ruipérez 1985: non-copulative -qe; [...] according to Greek usage the second -qe [in PY Eb 149] cannot coordinate the personal verb te-re-ja to the particle o-pe-ro. ⇔ (-se -ta) a-pe-o? •nominative singular feminine of o-pe-ro2 •3rd person plural present indicative thus they owe of o-pe-ro2 ⇔ (-se -ta) a-pe-o? •accusative singular masculine of o-pe-ro2 •nominative plural masculine of o-pe-ro2 •3rd person plural aorist indicative thus they owed of o-pe-ro2 o-pe-ro  is always less than or equal to . Interestingly the only contrary evidence appears on PY Ad 679 and the o-pe-ro VIR quantity which is greater than the VIR quantity was erased by the scribe.  Ruipérez Martín S. 1985 Tractata Mycenaea Subjunctive Forms in Mycenaean Texts kar WNXIII.95,
𐀃-𐀟-𐀫,o-pe-ro,,advantage benefit / debt deficiency Wiktionary deficit under obligation •1. deficit advantage ⇔ ὄφελος 2. being under obligation Ruipérez 1985: non-copulative -qe; [...] according to Greek usage the second -qe [in PY Eb 149] cannot coordinate the personal verb te-re-ja to the particle o-pe-ro. ⇔ (-se -ta) a-pe-o? •nominative singular feminine of o-pe-ro2 •3rd person plural present indicative thus they owe of o-pe-ro2 ⇔ (-se -ta) a-pe-o? •accusative singular masculine of o-pe-ro2 •nominative plural masculine of o-pe-ro2 •3rd person plural aorist indicative thus they owed of o-pe-ro2 o-pe-ro  is always less than or equal to . Interestingly the only contrary evidence appears on PY Ad 679 and the o-pe-ro VIR quantity which is greater than the VIR quantity was erased by the scribe.  Ruipérez Martín S. 1985 Tractata Mycenaea Subjunctive Forms in Mycenaean Texts kar WNXIII.95,
𐀃-𐀠,o-pi,,'on; in compound words  at over •in charge of Killen 1968: ''at the workshop of'' ''chez'' • o-pi-a2-ra • o-pi-i-ja-pi • o-pi-ke-re-mi-ni-ja • o-pi-ko-ru-si-ja    Killen John T. 1968 Atti e Memorie del Congresso internazionale di Micenologia (Roma 1967) The Knossos o-pi Tablets',
𐀃-𐀠-𐀀-𐀨,o-pi-a-ra,,coastal,
𐀃-𐀠-𐀁-𐀆-𐀂,o-pi-e-de-i,,'•''at her seat'' ⇔ ἕδος (Iliad V.360+) ',
𐀃-𐀠-𐀁-𐀆-𐀂,o-pi-e-de-i,,'•probably to be read as two words: opi hedeï ''at her seat'' (i.e. shrine or temple) ',
𐀃-𐀠-𐀂-𐀀-𐀊-𐀠,o-pi-i-a-ja-pi,,blinkers,
𐀃-𐀠-𐀂-𐀊-𐀠,o-pi-i-ja-pi,,'•part of the harness or equipment of a chariot ''attachment to reins'' See o-po-qo. [[CAPS]]: KN Sf? CUR: KN Sd ',
𐀃-𐀠-𐀅-𐀖-𐀍,o-pi-da-mi-jo,,accountable men of village,
𐀃-𐀠-𐀅-𐀖-𐀍,o-pi-da-mi-jo,,•resident ⇔ ἐπιδήμιος (Odyssey I 194+) ,
𐀃-𐀠-𐀆-𐀰-𐀗,o-pi-de-so-mo,,•bindings ⇔ ἐπἰδεσμος ,
𐀃-𐀠-𐀊-𐀫,o-pi-ja-ro,,,
𐀃-𐀠-𐀏-𐀟-𐀁-𐀸,o-pi-ka-pe-e-we,,accountable man of ships,
𐀃-𐀠-𐀏-𐀟-𐀁-𐀸,o-pi-ka-pe-e-we,,•title of an overseer PY Jn: du-ma-te ka-ra-wi-po-ro o-pi-su-ko in a -qe list. ,
𐀃-𐀠-𐀏-𐀟-𐀁-𐀸-𐀤,o-pi-ka-pe-e-we-qe,,•title of an overseer ,
𐀃-𐀠-𐀐-𐀩-𐀖-𐀛-𐀊,o-pi-ke-re-mi-ni-ja,,back of the chair •some part of a chair ⇔ ἀμφικέλεμνον? κρημνός? •instrumental plural of o-pi-ke-re-mi-ni-ja Bernabé Alberto and Eugenio R. Luján 2008 A Companion Guide to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies)  ,
𐀃-𐀠-𐀐-𐀹-𐀪-𐀋-𐀄,o-pi-ke-wi-ri-je-u,,•description of a tripod-cauldron ,
𐀃-𐀠-𐀒-𐀬-𐀯-𐀊,o-pi-ko-ru-si-ja,,'•''on the helmet'' ⇔ [[e-pi-ko-ru-si-ja]] ',
𐀃-𐀠-𐀒-𐀺,o-pi-ko-wo,,•perhaps a title ⇔ e-pi-ko-wo PY Jn: o-pi-su-ko ,
𐀃-𐀠-𐀕-𐀚,o-pi-me-ne,,•per month ⇔ me-no ,
𐀃-𐀠-𐀥-𐀙,o-pi-qi-na,,•probably to be divided: o-pi qi-na ,
𐀃-𐀠-𐀫-𐀦,o-pi-ro-qo,,'•''remaining supernumerary'' ⇔ ἐπίλοιπος ',
𐀃-𐀠-𐀯-𐀪-𐀊-𐀸,o-pi-si-ri-ja-we,,•meaning obscure Appears as o-pi-si-ri-ja-we pe-ko-to on KN L 8105. ko TELA: KN L? LANA: KN Lc re TELA: KN L? TELA: KN L? TELA+TE: KN Lc ,
𐀃-𐀠-𐀱-𐀒,o-pi-su-ko,,accountable man of figs,
𐀃-𐀠-𐀱-𐀒,o-pi-su-ko,,'•''overseer of figs''? PY Jn 829: du-ma-te ka-ra-wi-po-ro po-ro-ko-re-te o-pi-ka-pe-e-we in a -qe list. PY Jn 881: o-pi-ko-wo ',
𐀃-𐀠-𐀳-𐀄-𐀐-𐀁-𐀸,o-pi-te-u-ke-e-we,,'•probably a title ''overseer of τεύχεα'' nominative plural and dative singular •defective spelling of o-pi-te-u-ke-e-we •variant for o-pi-te-u-ke-e-we? ',
𐀃-𐀠-𐀳-𐀐-𐀁-𐀄,o-pi-te-ke-e-u,,•title of an official? variant for [[o-pi-te-u-ke-e-u]]? ,
𐀃-𐀠-𐀴-𐀛-𐀊-𐀲,o-pi-ti-ni-ja-ta,,•title of a priest ,
𐀃-𐀠-𐁀-𐀨,o-pi-a2-ra,,'Ruijgh 2011: ''coastal region'' from the Homeric and Arcado-Cyprian root ἁλ- ''sea'' •''coastal regions'' ⇔ ἐφαλος (Iliad II.538+)  Ruijgh C.J. 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) Mycenaean and Homeric Language',
𐀃-𐀠-𐁉-𐀳-𐀩,o-pi-ra3-te-re,,•fittings for beams? ⇔ ῥαιστήρ ,
𐀃-𐀠-𐁉-𐀳-𐀩,o-pi-ra3-te-re,,fittings for beams,
𐀃-𐀡-𐀦,o-po-qo,,blinkers,
𐀃-𐀡-𐀦,o-po-qo,,'Duhoux 2011: ''blinkers'' ⇔ o-pi- ''on'' + *okw- (ὄψ ὤψ ''eye face'') •''blinkers'' ⇔ πρός-ωπον μέτ-ωπον Appears as ]a-ra-ru-ja  a-ni-ja-pi  wi-ri-ni-jo  o-po-qo  ke-ra-ja-pi  o-pi-i-ja-pi on KN Sd 4401+. Appears as e-re-pa-te-jo  o-po-qo  ke-ra-ja-pi  o-pi-i-ja-pi [[ko-ki-da]]  o-pa on KN Sd 4403+. Appears as ]jo  [[i-qo-e-qe]]  wi-ri-ni-jo  o-po-qo  ke-ra-(ja)-(pi) [ ] (o)-pi-i-ja-pi on KN Sd 4404. Appears as wi-ri-ni-jo  o-po-qo  ke-ra-ja-pi  o-pi-i-ja-pi  [[o-u-qe]]  pte-no  [ on KN Sd 4405+. Appears as ]wi-ri-ni-jo  o-po-qo  [ on KN Sd 4406. Appears as ]we-jo  [[i-qo-e-qe]]  wi-ri-ni-jo  o-po-qo  ke-ra-ja-pi  o-pi-i-ja-pi on KN Sd 4407+. Appears as ](a)-ra-ru-wo-ja  a-ni-ja-pi  wi-re-ne-o  o-po-qo  ke-ra-ja-pi  o-pi-(i)-(ja)[ on KN Sd 4408+. Appears as ]ja  a-ni-ja-pi  wi-ri-ni-jo  o-po-qo  ke-ra-ja-pi  o-pi-i-ja-pi on KN Sd 4413. Appears as wi-ri-ne-jo  o-po-qo  ke-ra-ja-pi  o-pi-i-ja-pi on KN Sd 4415+. Appears as ] wi-ri-ne-jo  o-po-qo [ on KN Sd 4468. Appears as ]jo  o-po-qo  (ka)-ke-(ja)-pi  o-pi-i-ja-pi  o-[ on KN Sd 5091+. Appears as ] wi-ri-ne-o  o-po-qo  ke-ra-ja-pi  o-pi-i-ja-pi on KN Sf 4428. [[CAPS]]: KN Sf? CUR: KN Sd  Duhoux Yves 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II ',
𐀃-𐀡-𐀫,o-po-ro,,they owed,
𐀃-𐀦-𐀃-𐀑-𐀳,o-qo-o-ki-te,,•meaning obscure Appears as [[ku-do-ni-ja|ku-do-ni-ja-de]]  di-du-me  o-qo-o-ki-te on KN L 588+. ,
𐀃-𐀩-𐀂,o-re-i,,'•''on the mountain''? ⇔ ὄρος locative? ',
𐀃-𐀩-𐀃-𐀡,o-re-o-po,,•obscure (i.e. not defined) ,
𐀃-𐀩-𐀚-𐀊,o-re-ne-ja,,'•adjective describing cloths ''decorated with angular pattern''? ⇔ ὠλένη •variant spelling of o-re-ne-ja •dual of o-re-ne-ja TELA: KN L *161: KN L KN Ld ',
𐀃-𐀪-𐀒,o-ri-ko,,few,
𐀃-𐀳,o-te,,when (Cypriot: that one) •when ⇔ ὅτε Chadwick John & Michael Ventris 1973 Documents in Mycenaean Greek,
𐀃-𐀳,o-te,,when,
𐀃-𐀺-𐀸,o-wo-we,,•with a single handle or provided with handles? ,
𐀃-𐁀,o-a2,,•form of o-da-a2 used when not connective ,
𐀃-𐁓-𐀲,o-*34-ta,,•name of a class of men Appears as a2-te-po  de-wi-jo  ko-ma-we  o-*34-ta-qe  u-ru-pi-ja-jo  o-ru-ma-si-ja-jo VIR 30 on PY An 519. Appears as ku-ru-me-no-jo  o-ka  pe-ri-te-u  wo-ne-wa  a-ti-ja-wo  e-ru-ta-ra  o-*34-ta  me-ta-pi-jo  ke-ki-de  VIR 50 on PY An 654. VIR: PY An ,
𐀄-𐀈,u-do,,'•annotation to vessel labelled with PO; ''water''? ⇔ ὔδωρ [[u-do-ro]] ',
𐀄-𐀠-𐀊-𐀑-𐀪-𐀍,u-pi-ja-ki-ri-jo,,•probably ethnic adjective of [[u-pa-ra-ki-ri-ja]] ,
𐀄-𐀡,u-po,,under,
𐀄-𐀡-𐀸,u-po-we,,according to its etymology must be some kind of undergarment (cf. ὑποέστης χιτών) made out of flax •description of tunics ⇔ ὑποέστης χιτών ,
𐀄-𐀬-𐀠-𐀊-𐀍,u-ru-pi-ja-jo,,•description of men possibly ethnic nominative plural masculine •genitive singular of u-ri-pi-ja-jo BOS: PY Cn SA: PY Na VIR: PY An [[a2-ka-a3-ki-ri-jo]]: PY Cn o-ru-ma-to: PY Cn ,
𐀄-𐀬-𐀵,u-ru-to,,guard protect,
𐀄-𐀲-𐀍,u-ta-jo,,collector of sheep,
𐀄-𐀺-𐀤-𐀚,u-wo-qe-ne,,•alt. spelling or variant for u-wo-qe-we ,
𐀄-𐀺-𐀤-𐀸,u-wo-qe-we,,•title of an official perhaps nominative plural overseers  ,
𐀅-𐀒-𐀫,da-ko-ro,,'[occupational] ''temple-servant''? ⇔ ζάκορος •dative plural of da-ko-ro ',
𐀅-𐀔-𐀃-𐀳,da-ma-o-te,,•meaning obscure ⇔ δαμάζω? ,
𐀅-𐀔-𐀳,da-ma-te,,'Duhoux 2011: nothing to do with the goddess Demeter; ''households'' ''homesteads'' ⇔ δάμαρ ''spouse'' with etymology of δὀμος ''house'' •meaning approximately ''house-holds'' ⇔ possibly δάμαρ  ',
𐀅-𐀖-𐀍,da-mi-jo,,'•''land belonging to the damos'' ⇔ δήμιος ''public'' (Odyssey XX.264+) ',
𐀅-𐀖-𐀛-𐀊,da-mi-ni-ja,,a ship name,
𐀅-𐀗,da-mo,,Heubeck 1969: village community or entity who can allocate holdings of land ⇔ δῆμος village community  (1) village (2) community Heubeck Alfred 1969 TBD,
𐀅-𐀗,da-mo,,village community,
𐀅-𐀗-𐀆-𐀖,da-mo-de-mi,,'•''but the community says that she...'' ',
𐀅-𐀗-𐀒-𐀫,da-mo-ko-ro,,•title of an official ⇔ da-mo + ko-re-te? ,
𐀅-𐀗-𐀒-𐀫,da-mo-ko-ro,,overseer of a village,
𐀅-𐀢-𐀪-𐀵,da-pu-ri-to,,(as da-pu-ri-(to)[) •meaning obscure ⇔ da-pu2-ri-to-jo ,
𐀅-𐀢-𐀪-𐀵-𐀍,da-pu-ri-to-jo,,labyrinth,
𐀅-𐀭-𐀵,da-sa-to,,'•''thus he distributed'' ⇔ δατέομαι (ἑ)δασάμην [[e-pi-de-da-to]] ',
𐀅-𐀰-𐀗,da-so-mo,,'•if correct reading; ⇔ do-so-mo ⇔ δασμός ''distribution'' ',
𐀅-𐀰-𐀗,da-so-mo,,tie bind (plural),
𐀅-𐁅,da-nwa,,•offering recipient; theonym? ME+RI: KN Gg *172: KN Gg *209VAS+A: KN Gg ,
𐀅-𐁅,da-nwa,,•offering recipient; theonym? ME+RI: KN Gg *172: KN Gg *209VAS+A: KN Gg ,
𐀅-𐁅,da-nwa,,•offering recipient; theonym? ME+RI: KN Gg *172: KN Gg *209VAS+A: KN Gg ,
𐀅-𐁅,da-nwa,,•offering recipient; theonym? ME+RI: KN Gg *172: KN Gg *209VAS+A: KN Gg ,
𐀅-𐁆-𐀪-𐀵-𐀍,da-pu2-ri-to-jo,,'(as da-pu2-ri-to-jo po-ti-ni-ja)  ''Mistress of the Labyrinth'' (as da-pu2-ri-to-jo po-ti-ni-ja) van Leuven 1979: epithet of Hera •place owned by Potnia ⇔ λαβύρινθος with Aegean d for l (cf. Ὀδυσσεύς Ὀλυσεύς etc.); pu2 = bu is also remarkable. me-ri: KN Gg *166+WE: KN Oa? *209VAS: KN Gg   van Leuven Jon C. 1979 Kadmos Band 18 Heft 2 “Mycenaean Goddesses Called Potnia”',
𐀆-𐀄-𐀍-𐀂,de-u-jo-i,,•recipient of oil? dative plural OLE: KN Fh ,
𐀆-𐀄-𐀑-𐀍,de-u-ki-jo,,month name (deukios),
𐀆-𐀄-𐀑-𐀍-𐀍,de-u-ki-jo-jo,,•month name ,
𐀆-𐀄-𐀑-𐀍-𐀍,de-u-ki-jo-jo,,month name deukios,
𐀆-𐀆-𐀕-𐀜,de-de-me-no,,'binding ⇔ ke-ra de-de-me-na PUG knives with horn hilts •wheel adjective bound (with silver or bronze) ⇔ δέδεμαι  bound with corded  may mean ''delivered from the workshops'' it might also mean ''given for refurbishment'' (KN So)    Killen J.T. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World Mycenaean Economy kar WNXIV.164 participle candidates',
𐀆-𐀆-𐀕-𐀜,de-de-me-no,,corded bound,
𐀆-𐀈-𐀕-𐀙,de-do-me-na,,'•''deliviered'' ⇔ di-do-si ',
𐀆-𐀏-𐀭-𐀵,de-ka-sa-to,,•received ⇔ ἐδέξατο (Iliad XVIII 238) ,
𐀆-𐀏-𐀭-𐀵,de-ka-sa-to,,received,
𐀆-𐀓-𐀶-𐀺-𐀒,de-ku-tu-wo-ko,,net maker •to the net-maker(s) ⇔ δίκτυον + -οργός   ,
𐀆-𐀔-𐀯,de-ma-si,,•recipient of oil probably dative plural OLE: KN Fh ra-ma-na-de: KN Fh ,
𐀆-𐀕-𐀃-𐀳,de-me-o-te,,' going to build ⇔ δἐμω ''build'' This participle provides the only known example of the future of δἐμω - alphabetic Greek never uses this tense in this verb. •who are to do building work ⇔ δἐμω (Iliad VII 436+)  ',
𐀆-𐀖-𐀛-𐀀,de-mi-ni-a,,bed clothes,
𐀆-𐀖-𐀛-𐀊,de-mi-ni-ja,,'•Context obscure but only Greek word to fit spelling is nom. plur. demnia ''bedding'' ⇔ δέμνια ',
𐀆-𐀖-𐀛-𐀍,de-mi-ni-jo,,•singular of de-mi-ni-ja? ,
𐀆-𐀦-𐀜,de-qo-no,,main dinner,
𐀆-𐀩-𐀄-𐀒,de-re-u-ko,,grape must,
𐀆-𐀰-𐀗,de-so-mo,,' band bond ⇔ δεσμός may refer to ''cross-belts'' or ''handles'' (?) •''(swords fitted) with bands''; ⇔ ''belts'' πελαμών? PUG: KN Ra?  Duhoux Yves 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Anna Morpurgo Davies and Yves Duhoux) Mycenaean Anthology',
𐀆-𐀹-𐀍,de-wi-jo,,•meaning obscure ,
𐀆-𐀹-𐀍,de-wi-jo,,•meaning obscure ,
𐀇-𐀅-𐀏-𐀩,di-da-ka-re,,' at the schoolmasters'' abbreviated to di at KN Bg ⇔ διδάσκαλος Palmer 2008: ''under instruction'' abbreviated to di at KN Ak •description of children; possibly locative didaskalei ''at the school-master''s''. Sense ''under instruction'' is possible but details of form obscure.  Duhoux Yves 2008 A Companion to Linear B: Mycenaean Greek Texts and their World Vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) Mycenaean Anthology Palmer Ruth 2008 A Companion to Linear B: Mycenaean Greek Texts and their World Vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) How to Begin?',
𐀇-𐀅-𐀔-𐀃,di-da-ma-o,,•meaning obscure ,
𐀇-𐀈-𐀯,di-do-si,,'•''they give they deliver'' ⇔ δίδωμι 3rd person plural present PY Ng; o-u ''not'' + di-do-to •''is (not) delivered'' 3rd person singular (or plural?) present passive PY Un •''he will contribute'' 3rd person singular future PY Jn; jo ''thus'' + do-so-si •''thus they will contribute'' 3rd person plural future ⇔ a-pu-do-ke o-do-ke •''he contributed'' 3rd person singular aorist PY Un; o ''thus'' + do-ke •''thus he contributed'' 3rd person singular aorist MY Oi; do-ke + ko-o-ke-ne ',
𐀇-𐀉-𐀕,di-du-me,,•meaning obscure Appears as [[ku-do-ni-ja|ku-do-ni-ja-de]]  di-du-me  o-qo-o-ki-te on KN L 588+. ,
𐀇-𐀏-𐀲-𐀍,di-ka-ta-jo,,epithet of zeus,
𐀇-𐀞,di-pa,,cup,
𐀇-𐀞,di-pa,,' beaker ⇔ δέπας vowel alternation (dipas ~ δέπας) suggests that this word may be a loan. •vessel ⇔ δέπας (Iliad XI 632+) often in early use a large vessel not a drinking cup cup Iliad I.584: δέπας ἀμφικύπελλον ''two-handled cup'' Iliad IV.262 IX.203 IX.224: δέπας ''cup'' Iliad VI.220: χρύσεον δέπας ἀμφικύπελλον ''two-handled cup of gold'' •nominative dual of di-pa Appears as qa-si-re-wi-ja  di-pa  a-no-wo-to on KN K 875. *202VAS: KN K PY Ta Iliad IV.3: χρυσέοις δεπάεσσι ''golden goblets'' Iliad VIII.160: πλείοις δεπάεσσι ''full cups'' Iliad IX.176: δεπάεσσι ''cups''  Duhoux Yves 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) Mycenaean Anthology ',
𐀇-𐀠-𐀯-𐀋-𐀹-𐀍,di-pi-si-je-wi-jo,,•adjective derived from di-pi-si-jo ,
𐀇-𐀠-𐀯-𐀍,di-pi-si-jo,,'•nominative of di-pi-si-jo-i •recipient of OIL? ''for the thirsty ones''? ⇔ Thessalian month Δίψος? probably dative plural Adrados 1968: TBD Marinatos 1966: TBD Guthrie 1959: TBD Adrados 1968 TBD  Guthrie 1959 TBD Marinatos Spyridon 1966 TBD',
𐀇-𐀨-𐀡-𐀫,di-ra-po-ro,,•variant for di-pte-ra-po-ro? ,
𐀇-𐀸,di-we,,Zeus,
𐀇-𐀹-𐀊-𐀕-𐀫,di-wi-ja-me-ro,,two-day period,
𐀇-𐀹-𐀍-𐀍,di-wi-jo-jo,,•month name ⇔ Macedonian Δϊων ,
𐀇-𐀹-𐀞-𐀨,di-wi-pa-ra,,•meaning obscure ,
𐀇-𐀺,di-wo,,Zeus,
𐀇-𐀺-𐀝-𐀰,di-wo-nu-so,,dionysos,
𐀇-𐀺-𐀝-𐀰,di-wo-nu-so,, theonym Dionysus •theonym? ⇔ Διόνυσος •genitive of di-wo-nu-so  Hiller Stegan 2011 A Companion to Linear B: Mycenaen Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) Religion and Cult,
𐀇-𐁇-𐀨,di-pte-ra,,•prepared hide piece of leather ⇔ διφθέρα (Herodotus) •variant spelling of di-pte-ra in plural ,
𐀇-𐁇-𐀨,di-pte-ra,,leather,
𐀇-𐁇-𐀨-𐀡-𐀫,di-pte-ra-po-ro,,'[occupational] ''wearer of leather''? ',
𐀇-𐁇-𐀨-𐀡-𐀫,di-pte-ra-po-ro,,one wearing hides,
𐀈-𐀁-𐀨,do-e-ra,,female slave,
𐀈-𐀁-𐀨,do-e-ra,,DO-E-RA female slave Wiktionary slave (female) Chadwick & Ventris: maid-servant bondwoman slave Masculine form: do-e-ro  p. 540,
𐀈-𐀁-𐀫,do-e-ro,,'•male slave servant bondman See main entry do-e-ra. •dative plural •genitive singular Iliad VI.463: δούλιον ''bondage'' ',
𐀈-𐀆,do-de,,Chadwick & Spyropoulos 1975: to the house of (a human) δῶ + allative Chadwick John and Theodoros Spyropoulos     1975 The Thebes Tablets II,
𐀈-𐀏-𐀔-𐀂,do-ka-ma-i,,•obscure in a list which includes wheels and halters dative plural ,
𐀈-𐀡-𐀲,do-po-ta,,'•''to the Master''? ⇔ δεσπότης ',
𐀈-𐀤-𐀊,do-qe-ja,,•name of a goddess or a description of women? ,
𐀈-𐀤-𐀊,do-qe-ja,,female slave,
𐀈-𐀨,do-ra,,gift,
𐀈-𐀨-𐀤,do-ra-qe,,'Palaima 2011: unambiguously interpreted as dōra ''gifts'' •''gifts'' ⇔ δῶρον (Iliad VI.293+) + connective enclitic -qe  Palaima Thomas G. 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) Scribes Scribal Hands and Palaeography',
𐀈-𐀩-𐀸,do-re-we,,,
𐀈-𐀫-𐀕-𐀄,do-ro-me-u,,cursor,
𐀈-𐀮,do-se,,will give,
𐀈-𐀰-𐀗,do-so-mo,,'Duhoux 2011: ''tax'' ⇔ Arcadian-only ἀπυδόσμος •contribution ⇔ ἀπυδόσμος offer •cf. do-so-mo δασμός (Iliad I 166+) ⇔ di-do-si?  taxation items •nominative plural neuter adjective contributory ⇔ i-jo-qe ku-wa-ni-jo-qe •nominative singular or plural masculine adjective contributory + connective enclitic qe GRA: PY Es  Duhoux Yves 2011 A Companion to Linear B: Mycenaean Greek Texts and their World  kar WNXIV.100 pe-mo',
𐀈-𐀰-𐀗,do-so-mo,,offer,
𐀈-𐀷,do-wa,,'•''shafts''? ⇔ δὀρυ ',
𐀈-𐀸-𐀍,do-we-jo,,'•''made of wood'' ⇔ δούρειος δουράτεος ',
𐀈-𐀸-𐀍,do-we-jo,,wooden,
𐀉-𐀔,du-ma,,superintendent •title of an official •nominative plural of du-ma + connective enclitic -qe •dative singular of du-ma me-ri + du-ma-te spelling variant me-ri + du-ma-te me-ri + du-ma ⇔ po-ro-ko-re-te  Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I ,
𐀉-𐀛-𐀊,du-ni-ja,,•obscure (i.e. not known) KN Fh: OLE ,
𐀉-𐀬-𐀵-𐀗,du-ru-to-mo,,wood-cutters •wood-cutters ⇔ δρυτόμος (Iliad XI 86+)  Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Society”,
𐀉-𐀬-𐀵-𐀗,du-ru-to-mo,,woodcutters,
𐀉-𐀺-𐀸,du-wo-we,,vessel type with two handles,
𐀊-𐀐-𐀳-𐀩,ja-ke-te-re,,•variant spelling of a-ke-te-re a2-ke-te-re ,
