Gothic				
𐌰𐌲𐌻𐌾𐌰𐌽 	 aglɕen	agle 	ache	 hurt,damage
𐌲𐌹𐌻𐍃𐍄𐍂 	 gιlstr	gιlstr 	Gold.Steuer=𐍃𐍄𐍂 <> KurTaxe 𐍄𐍂 	 tax,tribute
𐌲𐌹𐌻𐍃𐍄𐍂𐌰𐌼𐌴𐌻𐌴𐌹𐌽𐍃 	 gιlstrameleιns	gιlstrameleιns 	Geld.Straf.Mail.ing	 tax,registration,taxation
𐌲𐌿𐌳𐌰𐍃𐌺𐌰𐌿𐌽𐌴𐌹 	 gudaschøneι	gudashauneι 	Götter Schöner?	 form of God: image
𐌲𐌿𐌳𐌱𐌻𐍉𐍃𐍄𐍂𐌴𐌹𐍃 	 gudblustreιs	gudblōstreιs 	GottBlutster	 worshipper of God
𐌲𐌿𐌳𐌷𐌿𐍃 	 gudḫus	gudḫus 	GottesHaus ++ < Heins	 temple,sanctuary
𐌲𐌿𐌳𐌾𐌰 	 gudɕa	gudɕa 	Gottian Gothian God.yuan	 priest
𐌲𐌿𐌳𐌾𐌹𐌽𐌰𐍃𐍃𐌿𐍃 	 gudɕιnassus	gudɕιnassus 	Godyness goodness ;)	 priesthood
𐌲𐌿𐌸 	 guƌ	gu𐌸 	God Jupiter COPT Gupta ⲥⲉⲃⲏⲥ ⲑⲉⲟ~𐌸 	 god,deity,God
𐌲𐌿𐌻𐌸 	 gulƌ	gulƒ 	Gold Gulden	 gold
𐌲𐌿𐌼𐌴𐌹𐌽 	 gumeιn	gumeιn 	Common Man 	 male
𐌲𐌿𐌼𐌰 	 guma	guma 	Common Man Gumar vs Geber!	 man
𐌲𐌿𐌽𐌳 	 gund	gund 	~?	 gangrene,canker
𐌲𐌿𐍄𐌰 	 guta	guta 	"Goth ""gute Deutsche"" 𐌲𐌿𐍄𐌰 +‎ 𐌸𐌹𐌿𐌳𐌰 (þiuda)"	Goth! Gottes [Volk]
𐌲𐍂𐌰𐌱𐌰 	 graba	graba 	Graben	 ditch,trench
𐌲𐍂𐌰𐌼𐍃𐍄𐌰 	 gramsta	gramsta 	 	 splinter,speck
𐌲𐍂𐌰𐍃 	 gras	gras 	Grass	 grass,herb
𐌲𐍂𐌴𐌳𐌿𐍃 	 gredus	gredus 	~greed	 hunger
𐌲𐍂𐌴𐍄𐍃 	 grets	grets 	(re)grets	 weeping,crying
𐌲𐍂𐌹𐌸𐍃 	 grιƌs	grιƒs 	grades	 rank,grade,standing
𐌲𐍂𐌿𐌽𐌳𐌿𐍃 	 grundus	grundus 	Grund++	ground
𐌲𐍂𐌿𐌽𐌳𐌿𐍅𐌰𐌳𐌳𐌾𐌿𐍃 	 grunduweddɕus	grunduvaddɕus 	Grundwerdung -> Wedel=Wall 	 foundation
𐌲𐍂𐍉𐌱𐌰 	 gruba	grōba 	Grube++	 hole
𐌲𐍉𐌳𐌴𐌹 	 gudeι	gōdeι 	Güte! goody ;)	 goodness
𐌲𐍉𐌻𐌴𐌹𐌽𐍃 	 guleιns	gōleιns 	gaul <> gülegüle <> Gruß	 greeting,salute
𐌳𐌰𐌲𐌰𐌽𐌳𐍃 	 dagands	dagands 	Tagungs…	 day
𐌳𐌰𐌲𐍃 	 dags	dags 	Tages, days	 day
𐌳𐌰𐌲𐍃 𐌰𐍆𐌰𐍂𐍃𐌰𐌱𐌱𐌰𐍄𐌴 	 dags afarsabbate	dags afarsabbate 	Tags after Sambet(Tag)	 dags,afarsabbatē,Sunday
𐌳𐌰𐌹𐌲𐍃 	 daιgs	daιgs 	dough ≠ tough 𐌳𐌰𐌿𐌱𐌴𐌹  !	 soft,kneadable,material,dough,clay
𐌳𐌰𐌹𐌻𐌰 	 daιla	daιla 	Teil…	 participation,community,partnership
𐌳𐌰𐌹𐌻𐍃 	 daιls	daιls 	Teils…	 part,portion,share
𐌳𐌰𐌹𐌼𐍉𐌽𐌰𐍂𐌴𐌹𐍃 	 daιmunareιs	daιmōnareιs 	demon…  daimonareis	possessed,devil
𐌳𐌰𐌻 	 dal	dal 	Delle Tal (vs tall tell)	 valley,ditch
𐌳𐌰𐌿𐌱𐌴𐌹 	 døbeι	daubeι 	taff : tough ≠ dough 𐌳𐌰𐌹𐌲𐍃 	 callousness,hardness
𐌳𐌰𐌿𐌱𐌹𐌸𐌰 	 døbeƌa	daubιƒa 	 	 callousness,hardness
𐌳𐌰𐌿𐌷𐍄𐌰𐍂 	 døḫtar	dauḫtar 	Tochter  daughter	 daughter
𐌳𐌰𐌿𐌷𐍄𐍃 	 døḫts	dauḫts 	< days?	 feast,banquet
𐌳𐌰𐌿𐌸𐌴𐌹𐌽𐍃 	 døƌeιns	dauƒeιns 	Tötens death.dying	 dying,death
𐌳𐌰𐌿𐌸𐌿𐍃 	 døƌus	dauƒus 	Todes death	 death
𐌳𐌰𐌿𐌽𐍃 	 døns	dauns 	Dunst	 smell,odour
𐌳𐌰𐌿𐍀𐌴𐌹𐌽𐍃 	 døpeιns	daupeιns 	Taufen ('dip')	 washing,immersion,baptism
𐌳𐌰𐌿𐍂 	 dør	daur 	 door, Tor	 door
𐌳𐌰𐌿𐍂𐌰𐍅𐌰𐍂𐌳𐌰 	 dørawerda	dauravarda 	Tür-wärter +++	 porter,gatekeeper
𐌳𐌰𐌿𐍂𐌰𐍅𐌰𐍂𐌳𐍃 	 dørawerds	dauravards 	Tor-wards	 porter,gatekeeper
𐌳𐌰𐌿𐍂𐌰𐍅𐌰𐍂𐌳𐍉 	 dørawerdu	dauravardō 	Tor-wart	 porter,gatekeeper
𐌳𐌰𐌿𐍂𐍉𐌽𐍃 	 døruns	daurōns 	Twor 2-doors !!!	 double,gate
𐌳𐌴𐌸𐍃 	 deƌs	deƒs 	 deeds Taten	 deed
𐌳𐌹𐌰𐌱𐌰𐌿𐌻𐌿𐍃 	 dιabølus	dιabaulus 	diabolus 1/Baal	 devil
𐌳𐌹𐌰𐌱𐌿𐌻𐌰 	 dιabula	dιabula 	διάβολος diá+bállō (throw away)	 slanderer
𐌳𐌹𐌰𐌱𐌿𐌻𐌿𐍃 	 dιabulus	dιabulus 	diabolus 1/Baal	 devil
𐌳𐌹𐌰𐌺𐌰𐌿𐌽𐌿𐍃 	 dιakønus	dιakaunus 	Diakon	 deacon
𐌳𐌹𐌲𐍂𐌴𐌹 	 dιgreι	dιgreι 	degree?	 abundance
𐌳𐌹𐌿𐍀𐌴𐌹 	 dιupeι	dιupeι 	~Tiefe  depth	 depth
𐌳𐌹𐌿𐍀𐌹𐌸𐌰 	 dιupιƌa	dιupιƒa 	~Tiefe  depth	 depth
𐌳𐌹𐌿𐍃 	 dιus	dιus 	deers Tiere!	 wild,animal,beast
𐌳𐌹𐍃𐍄𐌰𐌷𐌴𐌹𐌽𐍃 	 destaḫeιns	distaḫeιns 	dis.(s)teuern dis.streuen	 dispersion,diaspora
𐌳𐌹𐍃𐍅𐌹𐍃𐍃 	 deswess	disvιss 	dis.wegs	 departure
𐌳𐌿𐌱𐍉 	 dubu	dubō 	Taube  dove	 dove
𐌳𐌿𐌻𐌲 	 dulg	dulg 	Tilgung 	dept (𐌳𐌿𐌻𐌲𐍃)
𐌳𐌿𐌻𐌲𐌰𐌷𐌰𐌹𐍄𐌾𐌰 	 dulgaḫaιtɕa	dulgaḫaιtɕa 	Tilg…heißer	 creditor
𐌳𐌿𐌻𐌲𐍃 	 dulgs	dulgs 	Tilgung <> indulge?	 debt
𐌳𐌿𐌻𐌸𐍃 	 dulƌs	dulƒs 	dolce indulge dwell?	 feast,celebration
𐌳𐍂𐌰𐌲𐌺 	 drank	dragk 	Trank	drink
𐌳𐍂𐌰𐌺𐌼𐌰 	 drakma	drakma 	 drachma	 drachma
𐌳𐍂𐌰𐌿𐌷𐍃𐌽𐌰 	 drøḫsna	drauḫsna 	<> Drossel?	 crumb,scrap,food
𐌳𐍂𐌰𐌿𐌷𐍄𐌹𐌽𐌰𐍃𐍃𐌿𐍃 	 drøḫtιnassus	drauḫtιnassus 	Droht.ness	 warfare
𐌳𐍂𐌰𐌿𐌷𐍄𐌹𐍅𐌹𐍄𐍉𐌸 	 drøḫtιwetuƌ	drauḫtιvιtōƒ 	Druid.Weisung (draft-wit)	 warfare
𐌳𐍂𐌹𐌿𐍃𐍉 	 drιusu	drιusō 	drops minus p	 cliff,drop,steep,slope
𐌳𐍂𐌿𐌲𐌺𐌰𐌽𐌴𐌹 	 drunkaneι	drugkaneι 	drunkenness	 inebriation,drunkenness,drinking-bout
𐌳𐍂𐌿𐌽𐌾𐌿𐍃 	 drunigus	drunɕus 	drang dringen ringen	 sound
𐌳𐍂𐌿𐍃 	 drus	drus 	drosseln (gegen Kantstein)	reduce: fall   𐌳𐍂𐌹𐌿𐍃𐌰𐌽
𐌳𐍂𐍉𐌱𐌽𐌰 	 drubna	drōbna 	~~trouble	 disturbance,trouble,tumult
𐌳𐍅𐌰𐌻𐌰𐍅𐌰𐌿𐍂𐌳𐌴𐌹 	 dwelaweurdeι	dvalavaurdeι 	devil.word	 foolish talk
𐌳𐍅𐌰𐌻𐌹𐌸𐌰 	 dwelιƌa	dvalιƒa 	devil.do	 folly
𐌳𐍉𐌼𐍃 	 dums	dōms 	dooms deems	 judgement,insight,distinction,notability,prestige
𐌴𐌹𐍃𐌰𐍂𐌽 	 eιsarn	eιsarn 	Eisern! <<	 iron,fetters,chains
𐌴𐌹𐍃𐌰𐍂𐌽𐌰𐌱𐌰𐌽𐌳𐌹 	 eιsarnabandι	eιsarnabandι 	Eiserne Bande!! +++	 iron,shackle,chain
𐌵𐌰𐌹𐍂𐌿 	qairn		thorn <> corn <<<<	 stake,sharp,stick,thorn
𐌵𐌰𐌹𐍂𐍂𐌴𐌹 	 kraιrreι	caιrreι 	caring	 meekness,gentleness
𐌵𐌴𐌹𐌽𐍃 	 kreιns	ceιns 	"""Krohne"" queen Fraun"	 wife
𐌵𐌴𐌽𐍃 	 krens	cens 	"""Krohne"" queen Fraun"	 wife
𐌵𐌹𐌸𐌿𐌷𐌰𐍆𐍄𐍉 	 krιƌuḫaftu	cιƒuḫaftō 	chird.habend > kid.have 𓄡 𓂋 𓂧 𓅪  𓀀 𓁐!	 pregnant,woman
𐌵𐌹𐌸𐌿𐍃 	 krιƌus	cιƒus 	chird <> 𓄡 𓏏 𓏤 'scrotum'  𓈞 𓏏 𓃒 quird>quild>child	 belly,stomach,womb
𐌵𐌹𐌸𐌿𐍃 	 quιƌus	quterus	2. uterus ^^	 belly,stomach,womb
𐌵𐌹𐌽𐌴𐌹𐌽 	 krιneιn	cιneιn 	"queen ""Kröhnung"" << silly !?"	 female,silly,foolish,woman
𐌵𐌹𐌽𐍉 	 krιnu	cιnō 	"queen ""Krohne"""	 woman
𐌵𐌹𐍃𐍃 	 krιss	cιss 	curse / •qiz  quasseln quatch chat	“speech” => 𐌿𐍃𐌵𐌹𐍃𐍃 = accuse
𐌵𐌹𐍃𐍄𐌴𐌹𐌽𐍃 	 krιsteιns	cιsteιns 	curse christian !!?	 destruction,ruination
𐌵𐌿𐌼𐍃 	 krums	cums 	coming	 coming,arrival,presence,parousia
𐌵𐍂𐌰𐌼𐌼𐌹𐌸𐌰 	 krrammιƌa	crammιƒa 	<<<<	 moisture
𐌷𐌰𐌶𐌴𐌹𐌽𐍃 	 ḫazeιns	ḫasheιns 	heißen heißa! < chuspa?	 praise,song
𐌷𐌰𐌹𐌱𐍂𐌰𐌹𐌿𐍃 	 ḫaιbraιus	ḫaιbraιus 	Hebrews < Hybrids < Caibrains < Zebras	 Hebrew
𐌷𐌰𐌹𐌳𐌿𐍃 	 ḫaιdus	ḫaιdus 	...heit!  < (es)halten	 manner,mode,fashion,way
𐌷𐌰𐌹𐌸𐌹 	 ḫaιƌι	ḫaιƒι 	Heid(koppel) < Gatter	 field
𐌷𐌰𐌹𐌸𐌽𐍉 	 ḫaιƌnu	ḫaιƒnō 	Heiden… < gHatten	 heatheness
𐌷𐌰𐌹𐌼𐍃 	 ḫaιms	ḫaιms 	…Heim•	 village
𐌷𐌰𐌹𐌼𐍉𐌸𐌻𐌹 	 ḫaιmuƌlι	ḫaιmōƌlι 	Heimat…ly ;) ++	 land
𐌷𐌰𐌹𐍂𐌳𐌰 	 ḫaιrda	ḫaιrda 	Herd <> cattle ++	 herd
𐌷𐌰𐌹𐍂𐌳𐌴𐌹𐍃 	 ḫaιrdeιs	ḫaιrdeιs 	Herders < Kurds ++	 herder,herdsman
𐌷𐌰𐌹𐍂𐌸𐍂𐌰 	 ḫaιrƌra	ḫaιrƒra 	<	 bowels
𐌷𐌰𐌹𐍂𐌿𐍃 	 ḫaιrus	ḫaιrus 	chwerᵗ < Ger, ker, (s)ker शरु śáru ORTHO	 sword
𐌷𐌰𐌹𐍂𐍄𐍉 	 ḫaιrtu	ḫaιrtō 	Herz < coeurt !	 heart
𐌷𐌰𐌹𐍃 	 ḫaιs	ḫaιs 	heiß ;) < touch ORTHO	 torch
𐌷𐌰𐌹𐍄𐌹 	 ḫaιtι	ḫaιtι 	haißen < conter!	 order,command
𐌷𐌰𐌹𐍆𐍃𐍄𐍃 	 ḫaιfsts	ḫaιfsts 	ḫon.fist contest conflict	 conflict,rivalry,contestation
𐌷𐌰𐌺𐌿𐌻𐍃 	 ḫakuls	ḫakuls 	cloak.uls   𐌷 corrupted from K!	 cloak,coat
𐌷𐌰𐌻𐌱𐌰 	 ḫalba	ḫalba 	Halb halve < calypse	 side
𐌷𐌰𐌻𐌻𐌿𐍃 	 ḫallus	ḫallus 	<> Halle < Zelle ≠ phallus	 rock,stone
𐌷𐌰𐌻𐌾𐌰 	 ḫalɕa	ḫalɕa 	HELL(ya) Helga;)	 hell
𐌷𐌰𐌻𐍃 	 ḫals	ḫals 	Hals < column	 neck
𐌷𐌰𐌻𐍃𐌰𐌲𐌲𐌰 	 ḫalsanga	ḫalsagga 	Hals.Enge	 neck
𐌷𐌰𐌽𐌰 	 ḫana	ḫana 	Hahn <> cockna	 rooster,cock
𐌷𐌰𐌽𐌳𐌿𐌲𐌴𐌹 	 ḫandugeι	ḫandugeι 	Kenntnis	 wisdom
𐌷𐌰𐌽𐌳𐌿𐍃 	 ḫandus	ḫandus 	Hand < Kanten	 hand
𐌷𐌰𐌽𐍃𐌰 	 ḫansa	ḫansa 	Hansa < Consort	 crowd,gathering,troop,cohort,maniple
𐌷𐌰𐌿𐌱𐌹𐌳 	 ḫøbed	ḫaubιd 	Haupt +++	 head
𐌷𐌰𐌿𐌱𐌹𐌸 	 ḫøbeƌ	ḫaubιƒ 	Haupt +++	 head
𐌷𐌰𐌿𐌷𐌴𐌹 	 ḫøḫeι	ḫauḫeι 	Höhe Hoheit ++++ 𓁨 Ḥeḥ & Hauhet	 height
𐌷𐌰𐌿𐌷𐌴𐌹𐌽𐍃 	 ḫøḫeιns	ḫauḫeιns 	^^^^	 honour,glory,exaltation
𐌷𐌰𐌿𐌷𐌷𐌰𐌹𐍂𐍄𐌴𐌹 	 ḫøḫḫaιrteι	ḫauḫḫaιrteι 	HöherTei haughTy	 pride,haughtiness,hubris
𐌷𐌰𐌿𐌷𐌹𐌸𐌰 	 ḫøḫιƌa	ḫauḫιƒa 	Hoheit	 height
𐌷𐌰𐌿𐌽𐌴𐌹𐌽𐍃 	 ḫøneιns	ḫauneιns 	Höh.NEIN <<	 lowliness,humility
𐌷𐌰𐌿𐌽𐌹𐌸𐌰 	 ḫønιƌa	ḫaunιƌa 	Höh.NOT	 humility
𐌷𐌰𐌿𐍂𐌳𐍃 	 ḫørds	ḫaurds 	hords < courts < guards ++	 door,wickerwork
𐌷𐌰𐌿𐍂𐌹 	 ḫørι	ḫaurι 	coari > coal	 coal
𐌷𐌰𐌿𐍂𐌽 	 ḫørn	ḫaurn 	corn > horn	 horn
𐌷𐌰𐌿𐍂𐌽𐌾𐌰 	 ḫørniga	ḫaurnɕa 	chronist >  hornist	 hornist,trumpeter
𐌷𐌰𐌿𐍃𐌴𐌹𐌽𐍃 	 ḫøseιns	ḫauseιns 	chor.sense > Hörsinn	 hearing,heard,message,report
𐌷𐌰𐍂𐌾𐌹𐍃 	 ḫarɕιs	ḫarɕιs 	Heeres < cwarɕιs > quermis > armies	 armies
𐌷𐌰𐍄𐌹𐍃 	 ḫatιs	ḫatιs 	hate < kate > cut 	 hate,wrath
𐌷𐌰𐍅𐌹 	 ḫawe	ḫavι 	Heu hay < hewe < ~chaff	 grass,hay
𐌷𐌴𐌸𐌾𐍉 	 ḫeƌɕu	ḫeƒɕō 	hut < __	 chamber
𐌷𐌴𐌹𐍄𐍉 	 ḫeιtu	ḫeιtō 	heat < chaud	 fever
𐌷𐌴𐌹𐍅𐌰𐍆𐍂𐌰𐌿𐌾𐌰 	 ḫeιwefrøɕa	ḫeιvafrauɕa 	Co?…Franke	 goodman
𐌷𐌹𐌻𐌼𐍃 	 ḫιlms	ḫιlms 	helmit < kermit 𓋘 …	 helmet
𐌷𐌹𐌼𐌹𐌽𐍃 	 ḫιmιns	ḫιmιns 	'Himmeln' cielment <> Kommen	 heaven
𐌷𐌹𐌿𐌷𐌼𐌰 	 ḫιuḫma	ḫιuḫma 	High.mas	 multitude,mass
𐌷𐌹𐌿𐌼𐌰 	 ḫιuma	ḫιuma 	Höh.ma	 multitude,mass
𐌷𐌹𐍅𐌹 	 ḫιwe	ḫιvι 	<> Schein	 appearance,form
𐌷𐌻𐌰𐌹𐌱𐍃 	 ḫlaιbs	ḫlaιbs 	Leib < Kleib <  𓐍 𓊪 𓆣  𐌷𐌻𐌰𐌹𐍆𐍃 > Kleie	loaf (bread)
𐌷𐌻𐌰𐌹𐌽𐌴 	 ḫlaιne	ḫlaιne 	cline > hillain	 hill
𐌷𐌻𐌰𐌹𐍅 	 ḫlaιw	ḫlaιv 	Kluft > Kuhle >  слой sloj	 tomb,grave
𐌷𐌻𐌰𐌹𐍅𐌰𐍃𐌽𐌰 	 ḫlaιwesna	ḫlaιvasna 	<> Leib : ?	 grave
𐌷𐌻𐌰𐌹𐍆𐍃 	 ḫlaιfs	ḫlaιfs 	Leib ^^	 bread
𐌷𐌻𐌰𐌼𐌼𐌰 	 ḫlamma	ḫlamma 	Klammer++	 snare,trap
𐌷𐌻𐌰𐌿𐍄𐍃 	 ḫløts	ḫlauts 	lot < klaut ;)  loot < klauen	 lot,inheritance
𐌷𐌻𐌴𐌹𐌸𐍂𐌰 	 ḫleιƌra	ḫleιƒra 	'Kleider' >  چادر‎ чатыр çadır > Häuter > hut	 hut,tent
𐌷𐌻𐌴𐌹𐌸𐍂𐌰 	 ḫleιƌra	ḫleιƒra 	'Kleider' ḫleι > אוהל \ אֹהֶל‎ óhel  𐎀𐎅𐎍 (ảhl)	 hut,tent
𐌷𐌻𐌹𐌿𐌼𐌰 	 ḫlιuma	ḫlιuma 	hearma < kluuma <> kuuleva   سَمِيع‎ samīa	 hearing
𐌷𐌻𐌹𐍆𐍄𐌿𐍃 	 ḫlιftus	ḫlιftus 	lift < cleft < klauen	 thief
𐌷𐌻𐌿𐍄𐍂𐌹𐌸𐌰 	 ḫlutrιƌa	ḫlutrιƒa 	Leuter(ung)	 purity,sincerity
𐌷𐌽𐌰𐌹𐍅𐌴𐌹𐌽𐍃 	 ḫnaιweιns	ḫnaιveιns 	Kneifen?	 lowliness,abasement,humility
𐌷𐌽𐌿𐌸𐍉 	 ḫnuƌu	ḫnuƒō 	knute?	 stake,sharp,stick,thorn
𐌷𐌿𐌲𐍃 	 ḫugs	ḫugs 	cogni < (aus)kochen > (aus)hecken	 mind,reason
𐌷𐌿𐌶𐌳 	 ḫuzd	ḫushd 	ḫuzd < court > hoard	 treasure,hoard
𐌷𐌿𐌷𐍂𐌿𐍃 	 ḫuḫrus	ḫuḫrus 	hunḫr ~ hunger	 hunger,famine
𐌷𐌿𐌷𐍂𐌿𐍃 	 ḫuḫrus	ḫuḫrus 	co/gorta гурус > अकाल (k)akāl  го́лод ききん, kikin	 hunger,famine
𐌷𐌿𐌻𐌹𐍃𐍄𐍂 	 ḫulιstr	ḫulιstr 	colister? > Hülle hull	 covering
𐌷𐌿𐌻𐌿𐌽𐌳𐌹 	 ḫulundι	ḫulundι 	Kuhlen	 cave,cavern
𐌷𐌿𐌽𐌳 	 ḫund	ḫund 	centi > hundelt	 hundred,long hundred
𐌷𐌿𐌽𐌳𐌰𐍆𐌰𐌳𐍃 	 ḫundafads	ḫundafads 	centur.pedes?	 centurion
𐌷𐌿𐌽𐌳𐌰𐍆𐌰𐌸𐍃 	 ḫundafaƌs	 ḫundafaƌs	centur.pedes?	 centurion
𐌷𐌿𐌽𐌳𐍃 	 ḫunds	ḫunds 	chien >  ḫunds •Schund	 dog
𐌷𐌿𐌽𐍃𐌻 	 ḫunsl	ḫunsl 	<> Hänsel?	 offering,sacrifice
𐌷𐌿𐌽𐍃𐌻𐌰𐍃𐍄𐌰𐌸𐍃 	 ḫunslastaƌs	 ḫunslastaƌs	Hunsla.Städte 󳢻	 altar
𐌷𐌿𐍀𐍃 	 ḫups	ḫups 	 hips < kups <  ⲕⲉⲣps kyče خصر‎ ḵaṣr 髋 kuān	 hip
𐌷𐍂𐌰𐌹𐌽𐌴𐌹 	 ḫraιneι	ḫraιneι 	Reinheit < kreiney	 purity
𐌷𐍂𐌰𐌹𐌽𐌴𐌹𐌽𐍃 	 ḫraιneιns	ḫraιneιns 	Reinigung	 purification,cleansing
𐌷𐍂𐌰𐌹𐍅𐌰𐌳𐌿𐌱𐍉 	 ḫraιwedubu	ḫraιvadubō 	…Taube	 turtledove
𐌷𐍂𐌿𐌲𐌲𐌰 	 ḫrunga	ḫrugga 	Krücke	 staff
𐌷𐍂𐍉𐌸𐍃 	 ḫruƌs	 ḫruƌs	 	gloriy
𐌷𐍂𐍉𐍀𐍃 	 ḫrups	ḫrōps 	cryps > calypse	 cry,clamour
𐌷𐍂𐍉𐍄 	 ḫrut	ḫrōt 	Grotte 	 roof
𐌷𐍅𐍃𐍃𐍉𐍀𐍉𐌽 	 ḫwssupen	ḫvssōpe 	hyssop!	 aromatic,plant,hyssop
𐌷𐍉𐌷𐌰 	 ḫuḫa	ḫōḫa 	hacke אַקער charrue	 plough
𐌷𐍉𐍂𐌹𐌽𐌰𐍃𐍃𐌿𐍃 	 ḫurιnassus	ḫōrιnassus 	horny fornicasus	 adultery
𐌷𐍉𐍂𐍃 	 ḫurs	ḫōrs 	 	 adulterer,fornicator,whoremonger
𐌸𐌰𐌲𐌺𐍃 	 ƌanks	 ƌanks	danke thanks	 thanks
𐌸𐌰𐌷𐍃𐌿𐌺𐍃 	 ƌaḫsuks	ƌaḫsuks 	Dachs(hund)	texugo,  dassie
𐌸𐌰𐌷𐍃𐌿𐍃 	 ƌaḫsus	ƌaḫsus 	Dachs(hund)	texugo,  dassie
𐌸𐌰𐌹𐍂𐌺𐍉 	 ƌaιrku	ƌaιrkō 	dirk = dagger	 eye of a needle
𐌸𐌰𐌿𐍂𐌽𐌿𐍃 	 ƌørnus	ƌaurnus 	Dorn	 thorn
𐌸𐌰𐌿𐍂𐍀 	 ƌørp	ƌaurp 	Dörp Dorf !	 farmland
𐌸𐌰𐌿𐍂𐍃𐍄𐌴𐌹 	 ƌørsteι	ƌaursteι 	dursten, thirst	 thirst
𐌸𐌰𐌿𐍂𐍆𐍄𐍃 	 ƌørfts	ƌaurfts 	darben, bedürfen	 need
𐌸𐌰𐍂𐌱𐌰 	 ƌarba	ƌarba 	darben, bedürfen	 need,want
𐌸𐌴𐌹𐍈𐍉 	 ƌeιwu	ƌeιwhō 	Donner (n??)	 thunder
𐌸𐌹𐌿𐌱𐌹 	 ƌιube	ƌιubι 	Dieberei	 theft
𐌸𐌹𐌿𐌱𐍃 	 ƌιubs	ƌιubs 	Dieb	thief
𐌸𐌹𐌿𐌳𐌰 	 ƌιuda	ƌιuda 	Teuton	 people,tribe,heathen
𐌸𐌹𐌿𐌳𐌰𐌽𐌲𐌰𐍂𐌳𐌹 	 ƌιudangardι	ƌιudangardι 	Teuton-Guard!	 kingdom
𐌸𐌹𐌿𐌳𐌰𐌽𐍃 	 ƌιudans	ƌιudans 	Titan <> Tyran	 king
𐌸𐌹𐌿𐌳𐌹𐌽𐌰𐍃𐍃𐌿𐍃 	 ƌιudιnassus	ƌιudιnassus 	Titan.ness	 government,kingdom,empire
𐌸𐌹𐌿𐌸 	 ƌιuƌ	ƌιuƌ 	ƌιuƌ : good : goth	 boon
𐌸𐌹𐌿𐌸𐌴𐌹𐌽𐍃 	 ƌιuƌeιns	ƌιuƌeιns 	dgoodness	 goodness,blessing
𐌸𐌹𐌿𐌸𐌹𐌵𐌹𐍃𐍃 	 ƌιuƌιkrιss	ƌιuƌιcιss 	judicice™	 blessing
𐌸𐌹𐌿𐌼𐌰𐌲𐌿𐍃 	 ƌιumagus	ƌιumagus 	Thomagus	 servant
𐌸𐌹𐌿𐍃 	 ƌιus	ƌιus 	Thyss <> dedication	 servant
𐌸𐌹𐌿𐍆𐍃 	 ƌιufs	ƌιufs 	  thief <  ƌιubs : Dieb	 thief
𐌸𐌹𐍅𐌰𐌳𐍅 	 ƌιwedw	ƌιvadv 	dedication	 servitude
𐌸𐌹𐍅𐌹 	 ƌιwe	ƌιvι 	Diwa	 bondwoman,maid
𐌸𐌻𐌰𐌿𐌷𐍃 	 ƌløḫs	ƌlauḫs 	Schlacht < Trachten	 flight
𐌸𐌿𐌷𐍄𐌿𐍃 	 ƌuḫtus	ƌuḫtus 	…Dacht	 conscience
𐌸𐌿𐍃𐌿𐌽𐌳𐌹 	 ƌusundι	ƌusundι 	Tausende	 thousand
𐌸𐌿𐍃𐌿𐌽𐌳𐌹𐍆𐌰𐌸𐍃 	 ƌusundιfaƌs	ƌusundιfaƌs 	TausendFatz ;)	 tribune,officer
𐌸𐌿𐍄𐌷𐌰𐌿𐍂𐌽 	 ƌutḫørn	ƌutḫaurn 	ToothHorn ;)	 trumpet
𐌸𐍂𐌰𐌼𐍃𐍄𐌴𐌹 	 ƌramsteι	ƌramsteι 	?	 locust
𐌸𐍂𐌰𐍃𐌰𐌱𐌰𐌻𐌸𐌴𐌹 	 ƌrasabalƌeι	ƌrasabalƌeι 	Drusabaldei ;)	 contentiousness (streitsucht)
𐌸𐍂𐌰𐍆𐍃𐍄𐌴𐌹𐌽𐍃 	 ƌrafsteιns	ƌrafsteιns 	Trost < DraftStein	 consolation,solace
𐌸𐍂𐌿𐍄𐍃𐍆𐌹𐌻𐌻 	 ƌrutsfιll	ƌrutsfιll 	DruidsFoul?	 leprosy
𐌸𐍅𐌰𐌷𐌻 	 ƌweḫl	ƌvaḫl 	dwell <> quell?	 washing,bath
𐌸𐍅𐌰𐍃𐍄𐌹𐌸𐌰 	 ƌwestιƌa	ƌvastιƌa 	√Dauer+steady	 stability,security
𐌸𐍅𐌼𐌹𐌰𐌼𐌰 	 ƌwmιama	ƌvmιama 	Thymian θυμίαμα 	 incense
𐌹𐌱𐌳𐌰𐌻𐌾𐌹𐌽 	 ιbdalɕιn	ιbdalɕιn 	ObTal Delle Tell <<<++	 mountainside,hillside,descent
𐌹𐌱𐌽𐌰𐍃𐍃𐌿𐍃 	 ιbnassus	ιbnassus 	evenness ++	 equality
𐌹𐌳𐍂𐌴𐌹𐌲𐌰 	 ιdreιga	ιdreιga 	reιga>Reue < austreib?	 repentance
𐌹𐌳𐍅𐌴𐌹𐍄 	 ιdweιt	ιdveιt 	edwīt™	 shame,disgrace,insult,curse
𐌹𐌽𐌲𐌹𐍆 	 ιngιf	ιngιf 	ein.Gift < Eingabe	 poison
𐌹𐌽𐌹𐌻𐍉 	 ιnιlu	ιnιlō 	init null?	 pretext,excuse,occasion
