91	liver 	ஈரல்(īral)  കരൾ (/kaɾaɭ/) 	viral Coeur	కాలేయం (kālēyam) 	~+	ஈரல்(īral) 	കരള് (/kaɾaɭɨ̆/), കരൾ (/kaɾaɭ/) 	ಈಲಿ (īli)	𓅓 𓊃 𓏏 𓄹 𓈓 , 𓏇 𓇋 𓋴 𓏏 𓄹 𓏤 , 𓈘 𓈇 𓋴 𓏏 𓄹 		ru-el-pa-mín	ஈரல் īral…	ʓaɣar	Baluchi ʓagar		lissi	~liver lisank!?	-			 	 	 
92	to drink 		s’agua കുടി (/kuʈi/)~ici@TURK	తాగు (tāgu) 	~+?	குடி (kudi) 	കുടി (/kuʈi/) 	ಕುಡಿ (kuḍi)	𓃀 𓂝 𓃀 𓂝 𓀢 , 𓃀 𓂝 𓃀 𓂝 𓈗 , 2. 𓏏 𓐍 𓏌 3. 𓋴 𓏴 𓂋 𓇋 𓈗 𓏲 𓂧 𓆑 𓂻, 𓋴 𓅨 𓂋 𓇋 𓈗 𓀁, 𓊃 𓅨 𓂋 𓏊 4. 𓊃 𓃀 𓇋 𓀁 		si-kaš-da	se'kuʈia!	kun-iŋg	consume, kau(en) =		ekuzi	Eatur @ alban	ūtti	water e.tur!		 	 	 
93	to eat 	తిను (tinu) 	i’tin	తిను (tinu) 	~+?	உண் (oon), (thin) 	കഴി (/kaɻi/), തിന്ന് (/t̪innɨ̆/), ഉണ്ണ് (/uɳɳɨ̆/) 	ತಿನ್ನು (tinnu), ಉಣ್ಣು (uṇṇu)	𓅱 𓈙 𓂝 𓄑 𓀁, 𓃹 𓈖 𓅓 𓀁 2. 𓏘 𓏘 𓀁 3. 𓏶 𓀁, 𓇬 𓀁, 𓏶 𓅓 𓀁  		mak-, te-ri-qa		kun-iŋg	consume, kau(en) =		ēzzi	Essen ++	azti	esse++		 	 	 
94	to bite 	கடி (kadi)	Cut ,kau	కొరుకు (koruku), కరచు (karacu) 	~+?	கடி (kadi) 	കടി (/kaʈi/) 	ಕಡಿ (kaḍi), ಕಚ್ಚು (kaccu)	𓊪 𓊃 𓎛 𓄑 𓀁 	√ 𓊪 𓊃 𓎛 𓄑 𓀁  biʈ-iŋg	baː biʈ-iŋg; gaʈ halliŋg		baː biʈ-iŋg; gaʈ halliŋg	biting!  see ba=mouth!		wāki	?	-			 	 	 
95	to suck 	చీకు (cīku) 	cīku suck cus=suc=joice	చీకు (cīku) 	~+	உறிஞ்சு (urinju), (uri) 	ഈമ്പ് (/iːmpɨ̆/), ചപ്പ് (/t͡ʃappɨ̆/) 	ಚೀಪು (cīpu)	𓋴 𓈖 𓈎 𓂒, 𓋴 𓈖 𓏘 2. 𓎡 𓆑 𓆑 𓂐 				suffix -iŋg	-ing -en superfluous in imperative! geh!		u(n)hzi		-			 	 	 
96	to spit 	துப்பு thuppu ⲑⲁϥ , ⲑⲏϥ tafʾa 	ఉమ్ము ([v]ummu[t]) 	ఉమ్ము (ummu) 	~?	துப்பு (thuppu) 	തുപ്പ്‌ (/t̪uppɨ̆/) 	ಉಗುಳು (uguḷu)	𓃀 𓈙 𓂐, 𓊪 𓋴 𓎼 𓂐, 𓊪 𓊃 𓎼 𓄑 𓀁 2. 𓏏 𓈙 𓂐 							allappahhi		tappāti	Spit ++		 	 	 
97	to vomit 		kak=bad	కక్కు (kakku) 	;)	கக்கு (kakku) 	കക്ക് (/kakkɨ̆/), കമട്ട് (/kamaʈʈɨ̆/), ഛർദിക്ക് (/t͡ʃʰaɾd̪ikkɨ̆/) 	ಕಾರು (kāru)	𓋴 𓃀 𓈙 𓇋 𓇋 𓂐 2. 𓈎 𓄿 𓋴 𓀁, 𓈎 𓇋 𓋴 𓀁, 𓈎 𓂝 𓂐, 𓈎 𓄿 𓂝 𓀁 3. 𓃀 𓈙 𓅱 𓂐 𓏥, 𓋴 𓈎 𓂝 𓂐, 𓈎 𓄿 𓂝 𓀁,  							-		-			 	 	 
98	to blow (as wind) 	వీచు (vīcu)	Wud ~ wind < blasen	ఊదు (ūdu) (transitive), వీచు (vīcu) (intransitive) 	!? ONO	ஊது (ūthu) 	ഊത് (/uːt̪ɨ̆/) (transitive), വീശ് (/ʋiːɕɨ̆/) (intransitive) 	ಊದು (ūdu)	𓋴 𓐍 𓏏 𓀜 		ba-ki-iš	వీచు ᵇvīcu			~~ bakiiš	𒉺𒊏𒀀𒄿 (parāi)		-			 	 	 
99	to breathe 			ఊపిరి పీల్చు (ūpiri pīlcu) 		மூச்சுவிடு (moochuvidu) 	 	ಉಸಿರು ಆಡು (usiru āḍu)	𓋴 𓈖 𓂉 𓀁, 𓋴 𓈖 𓆑 𓊡 𓀜, 𓊃 𓈖 𓆑 𓏮 𓊡, 𓋴 𓋴 𓈖 𓂉, 𓋴 𓋴 𓏏 𓂉, 𓋴 𓌢 𓈖 𓂉, 𓌢 𓈖 𓂉 2. 𓋴 𓂋 𓈎 𓏛 3. 𓍿 𓊪 𓇋 𓂉, 𓏏 𓊪 𓂋 𓂊 𓏏 𓊪 𓇋 𓂉 𓂡 4. 𓐍 𓈖 𓌰 𓅓 𓂉 𓀁 5. 𓂝 𓅓 𓄈 𓀁 		zu-ür-zu-ür	pir pir  (p:q)				-		-			 	 	 
100	to laugh 	Nagai 	~ lache, necke	నవ్వు (navvu) 		சிரி (ciri), (nagai) 	ചിരി (/t͡ʃiɾi/) 	ನಗು (nagu)	𓋴 𓃀 𓇋 𓏏 𓎸 𓄑 							halwammar		-			 	 	 
101	to see 	చూచు (cūcu)  காண் (kāṇ)	Gucken kàn 看 ceen ^ eye	చూచు (cūcu) 	+++	காண் (kāṇ) 	കാണ് (/kaːɳɨ̆/) 	ನೋಡು (nōḍu)	𓊪 𓏏 𓂋 𓇋 𓁻 2. 𓂧 𓎼 𓄿 𓇋 𓇋 𓁼, 𓂧 𓎼 𓁹, 𓂧 𓎯 3. 𓌴 𓁹 𓄿 𓄿, 𓌵 4. 𓈖 𓍇 𓏌 𓁹, 𓈖 𓍯 𓄿 𓁺 		siya-	చూచు (cūcu) 	xan-iŋg	seeing < kukàn:看	~ cūcu uḫḫi auszi 	auszi, 𒌋𒀪𒄭 (uḫḫi)	Eye-see äugen	manāti 	moyna.do		 	 	 
102	to hear 	கேள் (kēḷ)	Kher ~ kel	విను (vinu) 	~+	கேள் (kēḷ) 	കേൾക്ക് (/keːɭkkɨ̆/) 	ಕೇಳು (kēḷu)	𓄔, 𓄔 𓏛, 𓄔 𓅓, 𓋴 𓅓 𓄔, 𓋴 𓅓 𓂸 𓏏 𓄔, 𓋴 𓂸 𓏏 𓄔 		hap		bin-iŋg	≠ heart		istamaszi		tūmmantitti	sTumm! 𓄕𓅓		 	 	 
103	to know (a fact) 	அறி (aṟi) 		తెలుసుకొను (telusukonu), ఎరుగు (erugu) 	<	அறி (aṟi) 	അറിയ് (/arijɨ̆/) 	ತಿಳಿ (tiḷi)	𓂋 𓐍, 𓂋 𓐍 𓏜 𓅓, 𓂝 𓂋 𓈎 𓍼 𓂋 𓏏, 2. 𓋴 𓐟 𓄿 𓇋 𓋷 𓀁, 𓋷 𓀁 3. 𓊃 𓈙 𓄿 𓏜, 𓈙 𓊃 𓐠 𓄿 𓄃 𓏛 4. 𓄈, 𓂝 𓅓 𓄈 𓀁 5. 𓉲		tur-	telu… t'aṟi அறி 	ɕaː-iŋg	kenn, knowing		𒊭𒀀𒀝𒆠 (sākki)	savoiur!	un(a)i-	gnow		 	 	 
104	to think 	ఆలోచించు (ālōcincu)	al cinc = think <> an cinc <> cinc 𓎡 𓄿 𓏮 𓀁	ఆలోచించు (ālōcincu) 	++?	நினை (niṉai) 	നിനയ്ക്ക് (/n̪inajkkɨ̆/)   𓈖 𓎡 𓏮 𓀁, 𓈖 𓎡 𓄿 𓏮 𓀁	ಯೋಚಿಸು (yōcisu)	𓇋 𓃀 𓀁 2. 𓈖 𓎡 𓏮 𓀁, 𓈖 𓎡 𓄿 𓏮 𓀁 3. 𓋴 𓆼 𓄿 𓀁, 𓋴 𓐍 𓆼 𓄿 𓀁 4. 𓎡 𓄿 𓀁		el-ma				el-ma <> mala	mala	mind (sic!)	maliti	Mindi! +++	𒆷 na!	 	 	 
105	to smell (sense odor) 	நுகர் (nugar) 𓋴 𓈖 𓂉 𓀁 వాసన చూచు (vāsana cūcu)	<> nose	వాసన చూచు (vāsana cūcu), మూచ్చూచు (mūccūcu) 		நுகர் (nugar) 	മണക്ക് (/maɳakkɨ̆/) 	ಮೂಸು (mūsu)	𓌢 𓂉, 𓋴 𓈖 𓂉 𓀁, 𓋴 𓋴 𓂉, 𓋴 𓋴 𓈖 𓂉, 𓋴 𓋴 𓏏 𓂉 2. 𓐍 𓈖 𓌰 𓐝 𓏮 𓊸 𓏥, 𓐍 𓈖 𓌰 𓂉 𓏥, 𓐍 𓈖 𓌰 𓅓 𓂉 𓀁 							-		-			 	 	 
106	to fear 	బెదురు (beduru)  𓅾 𓏏 𓏤	bhe’ur <> feather ?	బెదురు (beduru), భయపడు(bhayapaḍu) 	~?	அஞ்சு (añju) 	പേടിക്ക്‌ (/peːʈikkɨ̆/) 	ಹೆದರು (hedaru)	𓆂 𓏥, 𓅾 𓏏 𓏤 , 𓆓, 𓊃 𓈖 𓆓 𓏏 𓅾 2. 𓈖 𓂋 𓂡 𓈖 𓂋 𓅱 𓅐 𓀜 𓏪,  𓈖 𓂋 𓅱 𓆂 𓂡 𓏥 3. 𓈖 𓅐 𓂝 4. 𓋴 𓂋 𓅾		ip-ši	i'peːʈikkɨ̆	xuliis			nāhi		kuwaya-	gfeara		 	 	 
107	to sleep 	కునుకు (kunuku), నిద్ర పోవు (nidra pōvu) 	Knacke Knarzen , nieder pofen ;)	కునుకు (kunuku), తూగు (tūgu), 		தூங்கு (tūṅgu) 	ഉറങ്ങ്‌ (/uraŋŋɨ̆/), ചായ് (/t͡ʃaːjɨ̆/) (from repose), ചരിയ് (/t͡ʃaɾijɨ̆/) (from repose) 	ಮಲಗು (malagu)	𓁀, 𓈖 𓌰 𓅓 𓂝 𓁀 2. 𓋴 𓇥 𓂋 𓁀 3. 𓂝 𓂝 𓅱 𓏮 𓁺, 𓂝 𓂝 𓅂 4. 𓐪 𓂧 𓂧 𓏌 𓁼  				tuɣ,  xaːɕ-iŋg	lie down		seszi	Sedate session	-			 	 	 
108	to live 	வாழ் (vāḻ) വാഴ് (/ʋaːɻɨ̆/)	Vital <> vir	బతుకు (batuku) 	~+-	வாழ் (vāḻ) 	വാഴ് (/ʋaːɻɨ̆/) 	ಬಾಳು (bāḷu)	𓋹 𓈖 𓐍, 𓋴 𓋹 𓈖 𓐍		ka-tu	reverse బతుకు (batuku) 				huiszi		-			 	 	 
109	to die 	చచ్చు (caccu)  𓀐 𓏏	Cesse, cede <> kaka:black/bad?	చచ్చు (caccu) 	~+	சா (cā) 	ചാക് (/t͡ʃaːkɨ̆/) 	ಸಾಯಿ (sāyi)	𓅓 𓏱 𓏏, 𓅓 𓏏 𓁀, 𓅓 𓏏 𓂂, 𓅓 𓏏 𓀐, 𓀐 𓏏, 2. 𓋴 𓏲 𓍑 𓄿 𓏱  		*halb-	kahbe?	kah-eː-; kas-k- kah-iŋg	cease		aki		*walati	walhall--		 	 	 
110	to kill 	கொல் (kol) 	kill < q'tol @ SEM	చంపు (caMpu) 	+++	கொல் (kol) 	കൊല്ല് (/kollɨ̆/) 	ಕೊಲ್ಲು (kollu)	𓌪 𓂝, 𓄡 𓂧 𓃀 𓀜 2. 𓂧 𓈖 𓌪 3. 𓄡 𓂧 𓃀 𓀜 4. 𓅱 𓎛 𓋴 𓌪 𓂡 5. 𓊃 𓌳 𓄿 𓌏 6. 𓋴 𓂝 𓂋 𓈎 𓍼 𓌪 𓂡 7. 𓋴 𓌳 𓄿 𓌪 𓅓 𓌪 𓂝 		halba-	✓ xall-fi !! 	xall-iŋg kasf- kas-if-iŋg	cease		kuēnzi		-			 	 	 
111	to fight 	పోరాడు (pōrāḍu) 𓇋 𓎛 𓄿 𓂝	Phoirad <> sport	పోరాడు (pōrāḍu) 	~	சண்டைப் போடு (saṇdai pōdu), (poradu) 	പൊരുത് (/poɾut̪ɨ̆/), പോരാട് (/poːɾaːʈɨ̆/) 	ಹೋರಾಡು (hōrāḍu)	𓂚 𓀜, 𓂚 𓄿 𓀜, 𓇋 𓎛 𓄿 𓂝, 𓂝 𓎛 𓄿 2. 𓈙 𓆑 𓂝 𓂡 		bet	✓ pōdu poːɾaːʈɨ̆				hullezzi		-			 	 	 
112	to hunt (transitive) 		vettern?	వేటాడు (vēṭāḍu) 		வேட்டையாடு (veettaiyaadu) 	നായാട് (/n̪aːjaːʈɨ̆/), വേട്ടയാട് (/ʋeːʈʈajaːʈɨ̆/) 	ಬೇಟೆಯಾಡು (bēṭeyāḍu)	𓃀 𓎛 𓋴 𓂾 2. 𓍿 𓉔 𓅓 𓂻 3. 𓈖 𓍇 𓄟 𓄠 𓋤 4. 𓎼 𓂋 𓍅 𓏲 𓀜 							huwarniskezzi		-			 	 	 
113	to hit 		కొట్టు (koṭṭu) 	కొట్టు (koṭṭu) 	~++ <>	அடி (adi), தாக்கு (thaaku) 	തല്ല് (/t̪allɨ̆/), അടിക്ക് (/aʈikkɨ̆/), അടി (/aʈi/), തട്ട് (/t̪aʈʈɨ̆/), കൊട്ട് (/koʈʈɨ̆/) 	ಹೊಡೆ (hoḍe)	𓋴 𓐍 𓀜, 𓊃 𓐍 𓂬, 𓀝 𓂝, 𓎡 𓏏 𓎡 𓏏 𓏴 𓂡, 		ga-az-	కొట్టు koṭṭu ??				walhzi		dūpiti			 	 	 
114	to cut 		കോത് (/koːt̪ɨ̆/) 	కోయు (kōyu) 	+++ … ?	வெட்டு (veṭṭu), (koithu) 	മുറിക്ക് (/murikkɨ̆/), വെട്ട് (/ʋeʈʈɨ̆/), കോത് (/koːt̪ɨ̆/) (lop off), കൊയ്യുക (/kojjuka/) (for harvesting), ചെത്ത് (/t͡ʃet̪t̪ɨ̆/) (trim or slice off), പൂള് (/puːlɨ̆/) (slice), അരി (/aɾi/) (chop) 	ಕತ್ತರಿಸು (kattarisu)	𓍉, 𓁸, 𓏴 𓌪 𓂡, 𓂧 𓌪, 2. 𓂧 𓈖 𓌪, 𓂧 𓅁 𓌪 𓂡		massi	മുറിക്ക് murikkɨ̆				kuērzi		kuwarti, karsti	quart, cut !!		 	 	 
115	to split 	చీల్చు (cīlcu)பிள (pila)		చీల్చు (cīlcu) 	~+	பிள (pila) 	പിളർക്ക് (/piɭaɾkkɨ̆/), പൂള് (/puːlɨ̆/) (slice) 	ಸೀಳು (sīḷu)	𓊪 𓈙 𓈖 𓌫 𓆱, 2. 𓏏 𓈙 𓏴 𓂡, 𓏏 𓆷 𓏴 𓂝 							iskallai		-					
116	to stab (or stick) 		Cut / pod	పొడుచు (poḍucu), కుచ్చు /kuɕːu/ 	+	குத்து(kuthu) 	കുത്ത് (/kut̪t̪ɨ̆/) 	ಇರಿ (iri)	𓋴 𓂧 𓃀 𓉽 𓏴 							iskāri	≠scar	-			 	 	 
117	to scratch (an itch) 		சொரி (sori) 	గీరు (gīru) 	~++	சொரி (sori) 	ചൊറിയ് (/t͡ʃorijɨ̆/), മാന്ത് (/maːn̪t̪ɨ̆/) 	ಕೆರೆ (kere)	𓎗 𓌗 𓂋, 𓄿 𓄡 𓂝 𓂷, 2. 𓊪 𓅮 𓐍 							*arrirrai		-			 	 	 
118	to dig 			తవ్వు (tavvu) 	<<	தோண்டு (thondu) 	കുഴിക്ക് (/kuɻikkɨ̆/), തോണ്ട് (/t̪oːnʈɨ̆/), മാന്ത് (/maːn̪t̪ɨ̆/) 	ತೋಡು (tōḍu)	𓄞 𓂧 𓀜, 𓆷 𓂧 𓂡, 𓆷 𓄿 𓂧 𓁃, 𓆷 𓄿 𓂧 𓂡 		at-tu	a'tavvu తవ్వు 				𒁁𒁕𒀀𒄿 (páddāi)	~ fly!?	-			 	 	 
119	to swim 	ఈదు (īdu)	vhita, naun <> turk/hun	ఈదు (īdu) 	+?	நீந்து (neenthu) 	നീന്ത് (/n̪iːn̪t̪ɨ̆/) 	ಈಜು (īju)	𓈖 𓃀 𓀒 𓈗, 𓈖 𓎟 𓃀 𓈗, 𓈖 𓋞 𓃀 𓈗 				taːr kann-iŋg	Baluchi taːr		-		-			 	 	 
120	to fly 		பற (paṟa)  icaru@turk/hun	ఎగురు (eguru) (intransitive), ఎగరవేయు (egaravēyu) (transitive) 	++<<	பற (paṟa) 	പറക്ക് (/parakkɨ̆/) 	ಹಾರು (hāru)	𓂝 𓄡 𓅯, 𓂝 𓄡 𓆃 , 𓂝 𓄡 𓌙 𓅯, 𓇋 𓍿 𓍿 𓅮 1b. 𓇋 𓏏 𓏏 𓅯 2. 𓂝 𓊪 𓆃				baːl kann-iŋg	fly.can		𒁁𒁕𒀀𒄿 (píddāi)	~ dig!?	-			 	 	 
121	to walk 		Ante …?	నడుచు (naḍucu) 	?	நட (nada) 	നടക്ക് (/n̪aʈakkɨ̆/), നട (/n̪aʈa/) 	ನಡೆ (naḍe)	1. 𓈝 𓅓 𓂻  2. 𓂧 𓎼 𓄿 𓂾 𓁺, 𓂧 𓎼 𓄿 𓋴 𓁺 3. 𓋴 𓏏 𓅱 𓏏 𓂻, 𓋴 𓅱 𓅱 𓏏 𓏏 𓂻, 𓐠 𓏤 𓏏 𓅱 𓊗 𓏮 𓂻 		izza-		hin-iŋg / kaː-	hingeh, hink, geh!!		𒄿𒄿𒀀𒀜𒋫 (i-ya-at-ta /iyatta/)	geyan	-			 	 	 
122	to come 	ba!  bar-eː-	வா vā va! walk arriba	వచ్చు (vaccu) 	++ >>	வா (vā) 	വരുക (/ʋaɾuka/), വാ (/ʋaː/) 	ಬಾ (bā)	𓇍, 𓇍 𓇋 𓇋 𓂻, 𓄭 𓂻, 𓂻 𓂽, 𓂝 𓈖 𓈖 𓂽 		ši-in-nu		ba!  bar-eː-, ba-ss- banning			uēzzi		awīti	Arrive ~--		 	 	 
123	to lie (as on one's side) 		beine strecken?	పడుకొను (paḍukonu) 		கிட (kida), (padu) 	കിടക്ക് (/kiʈakkɨ̆/), കിട (/kiʈa/), ചായ് (/t͡ʃaːjɨ̆/) (repose; from lean to a side), ചരിയ് (/t͡ʃaɾijɨ̆/) (repose; from lean to a side) 	ಪಡು (paḍu)	𓋴 𓇥 𓂋 𓁀				tamm-iŋg	𔖕		kitta	kitten;)	zīyari	??		 	 	 
124	to sit 			కూర్చొను (kūrconu) 		உட்கார் (uṭkār) 	ഇരിക്ക് (/iɾikkɨ̆/), ഇരി (/iɾi/) 	ಕೂರು (kūru)	𓎛 𓈞 𓋴 𓀉, 𓈞 𓊃 𓀉, 𓋴 𓇛 𓅓 𓀼, 𓍿 𓋴 𓀉, 2. 𓎛 𓂧 𓃀 𓂻, 𓎛 𓆑 𓂧 𓀉  		mur-		tuːl-iŋg 	tuːl@Stuhl		ēsa	sessa!	asti	𓀉𓊨!	𓀉𓊨!	 	 	 
125	to stand 	నిలబడు (nilabaḍu)	Nil’baden ;)	నిలుచొను (niluconu), నిలబడు (nilabaḍu) 	!?	நில் (nil) 	നിൽക്ക് (/n̪ilkkɨ̆/), നിക്ക് (/n̪ikkɨ̆/) 	ನಿಲ್ಲು (nillu)	𓊢,𓊣, 𓊢 𓂝 𓂻, 𓋴 𓊢 𓂝 𓂻 2. 𓋴 𓏠 𓈖 𓍖 𓂝 				sal-iŋg 	stell sol@Luwian		arta	<<	tāi	(s)taindo		 	 	 
126	to turn (change direction) 	തിരി (/t̪iɾi/)	തിരി (/t̪iɾi/)  tip’ing point	తిప్పు (tippu) (transitive), తిరుగు (tirugu) (intransitive) 	++ …	திரும்பு (thirumbu) 	തിരി (/t̪iɾi/) 	ತಿರುಗು (tirugu)	𓄲 𓂋 𓂻, 𓊪 𓄵 𓂋, 𓊪 𓈖 𓂝 𓈖 𓂝 𓊜, 𓊜, 𓅱 𓆓 𓃀 𓈅, 𓄟 𓋴 𓃀 𓃀 𓀁, 𓄟 𓋴 𓈖 𓎛 𓂽, 𓅓 𓂟 𓎡 𓇉 𓁶, 𓂋 𓂞 𓐟 𓏤 𓈖, 𓁷 𓏤 𓐟 𓏤, 𓈄 𓃀, 𓎗 𓃀 𓄲 𓂻, 𓎗 𓃀 𓈅 𓂽, 𓏏 𓈖 𓃀 𓄡 𓂻, …  				'ars-			wehzi, nēa	wind	kuwalīti (?)	wind		 	 	 
127	to fall (as in drop) 		^^ lie	పడు (paḍu) 	<<	விழு (vizhu) 	വീഴ് (/ʋiːɻɨ̆/) 	ಬೀಳು (bīḷu)	𓀒 , 𓐍𓂋𓀒  							mauszi	mausoleum	-			 	 	 
128	to give 	தா (thā)	தா (thā)	ఇచ్చు (iccu) 	~	தா (thā) 	താ (/t̪aː/), തരുക (/t̪aɾuka/), കൊട് (/koʈɨ̆/), നൽക് (/n̪alkɨ̆/) 	ಕೊಡು (koḍu)	1. 𓂧 𓅱 𓂡, 𓂝, 𓏙 2. 𓂋 𓂞, 𓂋 𓏙, 𓏙 		*tun-	✓✓ 	ti-n-iŋg	tend, don		𒉺𒀀𒄿 (pāi)	Poner @ phyrgy	piyai	𒉺𒀀𒄿		 	 	 
129	to hold (in one's hand) 		𓂘 con	పట్టుకొను (pattukonu) 	!?	கொள் (koḷ), பிடி (pidi) 	പിടി (/piʈi/), പിടിക്ക് (/piʈikkɨ̆/) 	ಹಿಡಿ (hiḍi)	𓈖 𓇥 𓂋 𓀜, 𓈖 𓇥 𓂡, 2. 𓂧 𓈖 𓇋 𓏯 𓂡, 𓂧 𓈖 𓇋 𓍸 𓀜 		marri					harzi	fassen holδι !! ++	-		ar<>ol !	 	 	 
130	to squeeze 	கசக்கு (kasakku)	quetch	పిసుకు (pisuku) 	~	கசக்கு (kasakku), (pisuku) 	ഞെക്ക് (/ɲekkɨ̆/), ഞെരുക്ക് (/ɲeɾukkɨ̆/), പിഴി (/piɻi/) 	ಹಿಚುಕು (hicuku)	𓋴 𓄡 𓈖 𓎡 𓍱 𓀜, 𓋴 𓆞 𓄿 𓎡 𓀜, 𓇋 𓂝 𓆑, 𓂝 𓂝 𓆑 𓏲 𓂡, 𓈖 𓍇 𓏌 𓂧 							𒅆𒄿𒄑𒍣 (sīezzi)	Sīezzi ~ squeeze!!	wisiti	qwetch ++		 	 	 
131	to rub 	రుద్దు (ruddu) 	rud	రుద్దు (ruddu) 	~	தேய் (thei) 	ഉരയ്ക്ക് (/uɾajkkɨ̆/), തൂക്ക് (/t̪uːkkɨ̆/), തലോട് (/t̪aloːt̪ɨ̆/), തേയ്ക്ക് (/t̪eːjkkɨ̆/) 	ಉಜ್ಜು (ujju)	𓋴 𓇋 𓆛 𓈖 𓏲 𓂡, 𓊃 𓇋 𓈖 𓂝 							𒁉𒌍𒍣 (peszi)	≠ push	kūsāti	??		 	 	 
132	to wash 	:	<> Turk/hun ?	కడుగు (kaḍugu) 	??	கழுவு (kaḻuvu) 	കഴുക് (/kaɻukɨ̆/) 	ತೊಳೆ (toḷe), ಒಗೆ (oge), ಕುಸುಬು (kusubu)	𓇋 𓂝 𓈗 𓂡, 𓂋 𓐍 𓏏 𓂝 							ārri, warpzi	warsch wash!	īlhāti, lāhunti	𒆷 nau! <<	ar<>o!	 	 	 
133	to wipe 	తుడుచు (tuḍucu) 	<> Tuch?	తుడుచు (tuḍucu) 		துடை (thudai) 	തുടയ്ക്ക് (/t̪uʈajkkɨ̆/), തൂക്ക് (/t̪uːkkɨ̆/) 	ಒರೆಸು (oresu)	𓇋 𓎛 𓌤, 𓂝 𓎛 𓌤, 2. 𓋴 𓎝 𓎡 𓂝 							fshin	Wischen ++	ammassiti			 	 	 
134	to pull 		இழு (izhu)  zieh, lag	లాగు (lāgu) 	~+	இழு (izhu) 	വലിക്ക് (/ʋalikkɨ̆/) 	ಎಳಿ (eḷi)	𓇋 𓏏 𓎛 𓀜, 𓇋 𓏏 𓎛 𓍕, 𓆑 𓂧 𓏴 𓂡, 𓆌 2. 𓄞 𓂧 𓀜 3. 𓊪 𓈖 𓋴 𓏴 𓂡 4. 𓋴 𓍊 𓐍 5. 𓋴 𓏠 𓈖 𓐍 𓍊 𓏛 							huettiezzi		-			 	 	 
135	to push 	தள்ளு (thallu)		నెట్టు (neṭṭu), తోయు (tōyu) 		தள்ளு (thallu) 	തള്ള് (/t̪aɭɭɨ̆/), തെള്ള് (/t̪eɭɭɨ̆/) 	ನೂಕು (nūku)	𓄿 𓅱 𓅯, 𓅱 𓇋 𓆛 𓈖 𓂢 𓂡  							suwezzi	stoße	-			 	 	 
136	to throw 			విసురు (visuru) 		வீசு (visu) 	എറിയ് (/erijɨ̆/) 	ಎಸಿ (esi)	𓌙,𓌙 𓅯,𓄡 𓀒, 𓀒 𓏏, 𓋴 𓐍 𓀒, 𓈎 𓌚 𓏜, 𓈎 𓌳 𓄿 𓌙 𓅯 𓏜, 𓂝 𓅓 𓂝 𓄿 𓌚, 𓂝 𓅓 𓄿 𓏏 𓏐, 3. 𓋴 𓄝 𓏏 𓀜 				biT-			𒁉𒌍𒅆𒄑𒍣 (pesiezi), ūssiezzi		-			 	 	 
137	to tie 		Cattie ++	కట్టు (kaṭṭu) 	++	கட்டு (kaṭṭu) 	കെട്ട് (/keʈʈɨ̆/) 	ಕಟ್ಟು (kaṭṭu)	𓈖 𓃀 𓍢 𓂝, 𓎛 𓃀 𓅱 𓃒 2. 𓍿 𓊃 𓋭, 𓋭 𓊃 𓏲 𓂡, 𓎛 𓎸 𓈖 𓊃 𓎡 𓍢 𓂡 3. 𓈎 𓄿 𓋴 𓍢 𓂡 		rabba					ishai, hamanki		hishiti, hāpiti			 	 	 
138	to sew 		<> Kutte	కుట్టు (kuṭṭu) 		தை (tai) 	തൈക്ക് (/t̪aɪkkɨ̆/), തയിക്ക് (/t̪ajikkɨ̆/), തുന്ന് (/t̪unnɨ̆/) 	ಹೊಲಿ (holi)	"ⲱⲧⲉϩ ⲑⲣⲁⲡⲥ ↔ ⲑⲱⲣⲡ , ⲑⲉⲣⲡ 	 	"							-		-			 	 	 
139	to count 		le’kincu	లెక్కించు (lekkincu) 	~?	எண் (eṇ) 	എണ്ണ് (/eɳɳɨ̆/) 	ಎಣಿಸು (eṇisu)	𓍿 𓈖 𓌙 𓅯 𓏌 𓅱 𓏜, 2. 𓎛 𓋴 𓃀 𓐎 𓏛, 𓐎 𓏛 3. 𓇋 𓊪 𓏛 		tiri					kappuezzi		-			 	 	 
140	to say 	சொல் (sol) చెప్పు (ceppu)	Say / chat / sappel	చెప్పు (ceppu) 	x	சொல் (sol) 	പറയ്‌ (/parajɨ̆/), ചൊല്ല് (/t͡ʃollɨ̆/) മൊഴിക്ക് (/moɻikkɨ̆/) 	ಹೇಳು (hēḷu)	𓆓 𓂧 		tu-ru, na-		paː- paː-reː-. paː-iŋg ~ paː-n-iŋg	parle see mouth		tēzzi		āssatti (?)	Chatter!! ++	𓆓 𓏏	 	 	 
141	to sing 	പാട് (/paːʈɨ̆/) 	bird?	పాడు (pāḍu) 	!!!? <<	பாடு (pādu) 	പാട് (/paːʈɨ̆/) 	ಹಾಡು (hāḍu)	𓎛 𓋴, 𓎛 𓎿 𓊃 𓏮 𓀁 							Ishamai !	1. hiss 𓎛 𓎿 𓋴 𓀁 2. shumai 𓈙 𓅓 𓂝	-			 	 	 
142	to play 			ఆడు (āḍu) 		விளையாடு (vilaiyādu) 	കളി (/kaɭi/), കളിക്ക് (/kaɭikkɨ̆/), ആട് (/aːʈɨ̆/) 	ಆಡು (āḍu)	𓎛 𓃀 𓂝 𓌙 𓌙 𓏜, 𓎛 𓂝 𓃀 𓂡 2. 𓆼 𓄿 𓂝 𓂡 3.  							duskzi, hinganiskezzi		-			 	 	 
