№	English					
150	water	𓃀 𓋴𓂻		flow forth 	fließen	
150	water	𓄝 𓏏𓇋𓇋𓈗		pour 	shyt: Schütt, shoot, shed ++ / anάchυs.ις ana.chys ⇔ Schüssel schieß shoot schüth! / an.excess ++ / chyn : shoo'n / aismate.chysia ® ←	
150	water	𓄞 𓂧 𓄛		skin, water - skin	sheath-leather	
150	water	𓄞 𓂧 𓅱		skin, water - skin	sheath	
150	water	𓅮𓄿 𓊃	pot	water pot	flacon? / ⇔ Flasche	
150	water	𓆶		 young, fresh 		
150	water	𓆶 𓇋𓇋𓏜		 young, fresh 	'ren'phet : rein water ! ++?← vs ƒƒƒ? / youth young	
150	water	𓆶 𓇋𓇋𓏜		 young, fresh 	'rein-phet' : rein water ⇔ rain / renou-iouth ⇔ renew-youth/young ➙ Ren Renée Rehe ⇔ anew new=neun 9 Mond EN / QED -- / hit ⇔ sym.ptom / وقت ~ 'what?' ++ ⇔ vege? ⇔ water? Dui-JA? 对? nat.šar = 𐀒𐀷 Q-Wo : young / חציר châtsîyr khaw-tseer' / Perhaps originally the same as, from the greenness of a courtyard /  grass	 also a leek / : - grass, hay, herb, leek. / ///////// / 
150	water	𓇉 𓄿 𓇋𓇋𓏏𓈗		flood water	floōd ⇔ ™ الفيضان ał phydιan !! ⇔ wyater	
150	water	𓇋𓆛 𓈖𓈖𓎡 𓆰 𓏥		thyme ?, water-mint ?	ink!	
150	water	𓇋𓈙 𓃭 𓊖		the precinct of Mut at Karnak , water meadow		
150	water	𓇋𓈙 𓃭 𓊖		the precinct of Mut at Karnak , water meadow	←?>	
150	water	𓇋𓎡 𓈖𓀜		draw 	ecken ® ⇔ ache	
150	water	𓇋𓏶 𓅓 𓅱𓏪 𓇾 𓈇 𓏤 𓈗		of land and water	inmitten terra sea / immerfor'en	
150	water	𓈎 𓁺		cold water	aqua ++	
150	water	𓈎 𓃀 𓃀 𓏂 𓏏𓈗		cold water		
150	water	𓈎 𓃀 𓎛 𓅱𓏁 𓈗		cold water		
150	water	𓈎 𓃀 𓎛 𓅱𓏂		cold water		
150	water	𓈎 𓃀 𓎛 𓎯		cold water	cool / aqvaH aqua +++ / quvr ⇔ cool, kühl, Kübel  QED / Quber ⇔ Kübel ++ / coopher cool-fair? / Kuba? /	
150	water	𓈎 𓃀 𓏂 𓈗		pour out 	qub ~ kippen ⇔ kübel cup ...	
150	water	𓈖𓍇 𓏌𓅱𓇋𓇋𓈗		water, flood, pool	NAzAUReth : NAUR / nWassern ++ / Nässer / beNetzer / Nasser-Stauseeƒ / ⇔ och schloch ? / nadan : dew nässer ??	
150	water	𓈖𓍇 𓏌𓈗 𓈘		water, flood, pool	NA'UR! +++ nWa' ⇔ nord nile / Nazur ⇔ Gen.Nazareth ⇔ Azur  / Nazare canyon just off the coast of Nazare, central Portugal / nazafa : drain / Netzer : Netz + Hunt / ⇔ measure / ⇔ Natur ~ Ur-Flut  / ⇔ נזל nâzal naw-zal' drip, distil, flood, flow, gush out, / ⇔ נהל nâhal naw-hal' / ⇔ נגר nâgar naw-gar' ® to flow /  ⇔ nager : swim! FR ++	
150	water	𓈖𓍇 𓏌𓏲 𓈗		water, flood, pool		
150	water	𓈖𓏏𓏯 𓈗		water	Netthel Meer	
150	water	𓈗		water, rain, semen	c mnauers nass semen Ful mani, Hau mani, Per mani ! / ⇔ 流体 liútǐ	
150	water	𓈗 𓇋𓇋𓈗		water	mem mim ®!! ⇔ Min first God / מים maim ⇔ memnon water	
150	water	𓊃𓄿 𓍿		make libation, pour out 	~schank DE / serve ++ EN	
150	water	𓊃𓍿		make libation, pour out  C		
150	water	𓊃𓍿		make libation, pour out 		
150	water	𓊪𓅮𓊃𓏋		water pot	Fluß Wasser+ / Oblass	
150	water	𓊪𓈖𓈎		bale out 		
150	water	𓊪𓈖𓈎 𓂝		bail out , swab up , poke , expend 		
150	water	𓊪𓊃𓎸		water pot	phoze / vase	
150	water	𓋫 𓈗		pour 	~gush?	
150	water	𓋴𓍋 𓃀 𓏛 𓀜		© cross 		
150	water	𓋴𓏏𓏏		pour 	schütt ++ / shoot	
150	water	𓌴 𓐙 𓂝 𓂻		steer , extend , paddle 		
150	water	𓍇 𓏌𓇋𓇋𓈘		water, flood, pool		
150	water	𓍚 𓀜		reprove , drive , divert , avoid , prevent	chasen	
150	water	𓎛 𓃀 𓃀 𓈅 𓈗		water		
150	water	𓎛 𓃀 𓃀 𓏏𓈗		water		
150	water	𓎛 𓎿 𓊃𓅱𓊛 𓈗		spell 		
150	water	𓎛 𓎿 𓋴𓏏𓏌		water jar		
150	water	𓎿 𓏏𓏤		water jar		
150	water	𓏁 𓈗		cold water		
150	water	𓏂 𓈗		cold water	⇔ qubu ~ cool	
150	water	𓐍 𓂧 𓊛		travel downstream, northwards, flow , North	ekder / extra: / kuder? / ??	
150	water	𓐍 𓅓 𓂝		seize, grasp, penetrate , collect , drive off	greif	
150	water	𓐍 𓈖𓊪𓂡		pour 	kippen QED 'knippen' / ---------------- ???? / //////////////////////////////// / FORE/FRONT VS CAN/KAN/CHAMb/kentern	
150	water	𓐍 𓈖𓊪𓂡		snatch, pour 	knippen ⇔ kippen / kneipen? / knephen / ⇔knappe! knap!	
150	water	𓐍 𓈖𓊪𓂡		snatch, catch , steal, pour , present 	⇔canno / kenphen / kämpfen / 'knippen' / 'knöpfen' / cnotch ⇔ snatch ➙ catch	
150	water	𓐍 𓋴𓆑 𓍙 𓀜		reprove , drive , divert , avoid , prevent		
151	rain	𓊃𓈖𓌰 𓅓 𓅱𓃫 𓇲 𓈗 𓏥		squalls 		
151	rain	𓇋𓂧 𓏏𓇲		pouring rain	water ⇔ wett-rain / issen iessen ieseln / +!!cluster!!+	
151	rain	𓇋𓂧 𓏏𓇲		pouring rain	water ⇔ wett-rain / issen iessen ieseln / +!!cluster!!+ / Hierei	
151	rain	𓇋𓄿 𓂧 𓏏𓏯 𓇲		dew, pouring rain, pestilence, affliction, influence	Wattal tal=dew@HEB! / Vässt ⇔ Wasser Pest / Wässer / ← /  dew : dew.	
151	rain	𓇶		rayen vs raven rain		
151	rain	𓈗		water, rain, semen	c mnauers nass semen Ful mani, Hau mani, Per mani ! / ⇔ 流体 liútǐ	
151	rain	𓊃𓈖𓌰 𓅓 𓅱𓃫 𓇲 𓈗 𓏥		squalls 		
151	rain	𓎛 𓀜 𓏷 𓀜 𓈗		surge up, overflow, rain		
151	rain	𓎛 𓀝 𓇋𓇋𓏏𓈗		rain		
151	rain	𓎛 𓀝 𓇋𓇋𓏏𓈗		rain		
151	rain	𓎛 𓏷 𓀜 𓈗		surge up, overflow, rain D		
152	river	𓂋 𓄂 𓏏𓏤 𓈘		river mouth	ripharth / rivers*	
152	river	𓂋 𓏤 𓄂 𓏏𓏤 𓈗		river mouth		
152	river	𓂋 𓏤 𓄂 𓏏𓏤 𓈘		river mouth		
152	river	𓂋 𓏤 𓄂 𓏏𓏥 𓈗 𓈘		 river mouth		
152	river	𓂝 𓐍 𓅐 𓏏𓈇 𓏥		river - bank		
152	river	𓂝 𓐍 𓅐 𓏏𓈇 𓏥		bank 	ocker-mutter?	
152	river	𓄦 𓏏𓏤		back, spine ,middle 	Post.Grat ® / ⇔ bank?	
152	river	𓄲𓂋𓅨𓈘  𓈘   𓂋𓏤𓄂𓏏𓏥𓈗𓈘		oUver. ←?> 'river mouth'		
152	river	𓅱𓇋𓄿 𓊞 𓁶 𓏤 𓇋𓏏𓂋 𓅱𓈘 𓈗		barque for the river	muert... itren ←	
152	river	𓇋𓂧 𓃀 𓈅 𓈅		river-bank, riparian land, shore 		
152	river	𓇋𓄿 𓏏𓄦 𓏏		back, spine , middle 	reverse! / Ferse!	
152	river	𓇋𓏏𓂋 𓃭 𓈘 𓈅 𓏤		river	iphther + pard = iper / DON-IPER = Dnjepr Днепр / ➙ über-lauf,yper,hyper,over,Oder,... / ipter iver river / -- iter-reever -- Eider Liver / other path: iphther ither Isar Ister ... Godess!	
152	river	𓇋𓏏𓂋 𓅱𓈘		river	~Eider, Oder  / ~iΘter : Ister! iterate	
152	river	𓇋𓏏𓂋 𓅱𓈙 𓏥		river		
152	river	𓇋𓏏𓂋 𓇋𓇋𓈗 𓈘 𓈇		river		
152	river	𓇋𓏏𓂋 𓈘		river		
152	river	𓇋𓏏𓂋 𓈘 𓈗		river		
152	river	𓇋𓏏𓂋 𓏲 𓈘 𓈇 𓏤		river		
152	river	𓇋𓏏𓏲 𓂋 𓈗 𓈘 𓈇 𓏤		river	a ten-riverta?	
152	river	𓇋𓐍 𓅐 𓏏𓈇 𓏤		bank 	ach-muttau / bach-modder?	
152	river	𓇋𓐍 𓅓 𓏏𓈉		bank 	Ech-furt ! ← / ach-furt	
152	river	𓌴 𓐙 𓂝 𓈇		bank 	mWatt	
152	river	𓌷 𓂝 𓆀 𓈇		bank 		
152	river	𓌷 𓂝 𓈙 𓈅 𓏤		bank 	strand? / _oster⇔ister=river	
152	river	𓌷 𓂝 𓏮 𓆀 𓈇 𓏤		bank 		
152	river	𓎗 𓃀 𓈄 𓈇 𓏤		river bank	wiver land ⇔ swamp swiba reef river	
152	river	𓎗 𓃀 𓈅 𓏤		river-bank, riparian-lands, sea-shore		
152	river	𓐍 𓆑 𓄿 𓄿 𓏏𓏛 𓏥		bank 		
153	lake	𓃀 𓅮𓄿 𓂋 𓏤 𓎡 𓄿 𓍘 𓇋		lake	bairkati Arabic 'Birket' !! بركة vs البحيرة ++-- very shallow reading!	
153	lake	𓄞 𓂧 𓀜		take away, remove, cut out, dig , rescue, salvage 	scheiden	
153	lake	𓄞 𓂧 𓈘 𓈅 𓏤		artificial lake	Shad al Arab = Schied-river	
153	lake	𓄦 𓏏𓏤		back, spine ,middle 	Post.Grat ® / ⇔ bank?	
153	lake	𓇋𓄿 𓏏𓄦 𓏏		back, spine , middle 	reverse! / Ferse!	
153	lake	𓈘 𓈅 𓏤		canal, artificial lake	River	
153	lake	𓈘 𓏤		canal, artificial lake	River	
153	lake	𓈙 𓈇 𓏤		lake, pool, garden, basin , sea		
153	lake	𓈙 𓈇 𓏤		lake, pool, garden, basin , sea		
153	lake	𓈙𓈇		loSCH = lake lush loch ® QED ++		
153	lake	𓈙𓈇		loSCH = lake lush loch ® QED ++		
153	lake	𓌴 𓐙 𓂝 𓈇		bank 	mWatt	
153	lake	𓌷 𓂝 𓆀 𓈇		bank 		
153	lake	𓌷 𓂝 𓈙 𓈅 𓏤		bank 	strand? / _oster⇔ister=river	
153	lake	𓌷 𓂝 𓏮 𓆀 𓈇 𓏤		bank 		
153	lake	𓎛 𓆰 𓈖𓏏𓈙		swampy lake, watercourse	chemp ~ swamp / ⇔ / Kanal! :	
153	lake	𓎛 𓆰 𓈖𓏏𓏯 𓈘 𓈇		swampy lake, watercourse		
154	sea	𓇅 𓅨 𓈘		the sea	gree-ver / ⇔ grief	
154	sea	𓇅 𓆓 𓅨 𓈗 𓈘		the sea	reesh vermeer / Rico Vermeer ! ← WTF / Greece versea ⇔ Verse ← / rich-wärmer ⇔ Schwärmer	
154	sea	𓇆		draya@P = sea!		
154	sea	𓇆 𓅨 𓂋 𓇋𓈗 𓈘 𓈅 𓏤		the sea	shreen very sea ___ / green very meer	
154	sea	𓇆 𓅨 𓈘		the sea  ←	xwed @P! ⇔ Schwarz! ⇔ sweat	
154	sea	𓇋𓇋𓈗 𓈘 𓈅 𓏤		sea		
154	sea	𓇋𓇋𓏲 𓅓 𓂝 𓈗 𓈘 𓈇		sea		
154	sea	𓇋𓈖𓂋 𓊌 𓈖𓂋 𓏤 𓈗		sea-shell		
154	sea	𓈙   知  识𓈗		sea! ocean 知 zhī 识shí		
154	sea	𓈙 𓈇 𓏤		lake, pool, garden, basin , sea		
154	sea	𓈙 𓈇 𓏤		lake, pool, garden, basin , sea		
154	sea	𓈙𓈇		oSCHe = ocean/sea ® QED ++		
154	sea	𓈙𓈇		oSCHe = ocean/sea ® QED ++		
154	sea	𓍯 𓄿 𓅱𓈗		wave 	Roaun? / Wogen	
154	sea	𓎗 𓃀 𓈅 𓏤		river-bank, riparian-lands, sea-shore		
154	sea	𓎘 𓃀 𓈄 𓏥		sea shore	reef river	
154	sea	𓎡 𓆑 𓍘 𓅱𓊛 𓏥		a type of sea - going ships	←^^> Captain Crete / ➙	
155	salt	𓆷		/// Marspa ➙ Moor-spaten marsh+pan vs salt-pan span, svan, suan, swamp, evan, eban,	/// Marsh : march markt matsch marschieren / /// a'VAN Fan Farn even / /// Einfang, Anfang, Empfang, fen~pen, bang!, sing, Sänger / //////	
155	salt	𓎛 𓌳 𓄿 𓏏𓍖 𓈒 𓏥		salt		
155	salt	𓎛 𓌴 𓏏𓈒 𓏥		salt	Halaitz ἁλίζ shalis saletz ال.صلت=salt,Salz +++ N !! halltu@cym solit@CES ⇔ na'solený	
156	stone	𓀀	MAN	stone mason		
156	stone	𓂋 𓅂 𓀀 𓏥		 stone masons	⇔	
156	stone	𓂋 𓅱𓂧 𓏏𓊌		hard stone, sandstone	Rundt-Stein? + ←	
156	stone	𓂝 𓃀 𓄿 𓌂 𓊌		offering - stone		
156	stone	𓂝 𓃀 𓅡 𓄿  𓊬		offering - stone	obver / Opfer-Stein	
156	stone	𓂝 𓃀 𓊌		offering - stone	 oba-stone	
156	stone	𓂝 𓃀 𓌂 𓊌		offering - stone	Opfer-Stein / offer-stone / *orbva ?	
156	stone	𓂝 𓅡		offering - stone	obva-stone / Opfer Stein / ἐƥάγ epo.g ⇔ Epoch!?	
156	stone	𓂧 𓈖𓏌𓅱𓏜		flaw 		
156	stone	𓃀 𓇋𓏏𓊌		block 	??? / ~piece / brick ~ brikett -- / קה pûqâh poo-kaw' / From /  a stumbling block: - grief. / פי dophîy dof'-ee ®  /  a stumbling block: - slanderest. / פק dâphaq daw-fak'  dafuck!	
156	stone	𓃀 𓈖𓃀 𓈖𓉴		Benben stone 		
156	stone	𓅯 𓄿 𓈎 𓇋𓇋𓏏𓊌	σείί	shell , flake , potsherd	flake stone / fl.a.q.ie.th / flakes!! EN++ / ⇔ Flecken	
156	stone	𓅱𓂧 𓈖𓏏𓍘 𓊌		heavy block of stone		
156	stone	𓅱𓇉 𓂡		hew 	⇔mauer!	
156	stone	𓅱𓇉 𓄿 𓀜		hew , pluck , cut 	huien / huiern / huier plants	
156	stone	𓅱𓎛 𓄿 𓂡		hew 	muerer ⇔ mauer !!	
156	stone	𓇅 𓅱𓈓		a green stone, malachite	green-ore / greenite /	
156	stone	𓇆 𓊌		a green stone 	green stone ®	
156	stone	𓇋𓀁𓎡		stone-quarry	a qu / steyn qu / fƒƒ?	
156	stone	𓇋𓃀 𓃔 𓉔 𓄿 𓅱𓏏𓏮 𓈒 𓏥		Ibhet stone	Ibhet ← Ivaherent Eva-heirent? über-horend ...	
156	stone	𓇋𓃀 𓉔 𓏏𓏮 𓊌		Ibhet-stone	@Nubia	
156	stone	𓇋𓄿 𓎡 𓏲 𓀘 𓈉		stone-quarry	Hierken?--	
156	stone	𓇋𓈖𓂋 𓊌		stone, rock, slab, block	fchnr ⇔ chern?	
156	stone	𓇋𓊃𓏏𓇤		boundary-stone, landmark	a-stein	
156	stone	𓇩 𓏏𓏤		boundary stone, landmark		
156	stone	𓈖𓍑 𓄿 𓏴 𓏥		chips 		
156	stone	𓉔 𓂧 𓂢 𓂡		attack, punish, dismiss , obstruct , prevail over, excavate 		
156	stone	𓉻 𓏏𓆇		stone vessel	'aqh_t'? ⇔ quart? / chert? / ~dortei ⇔ Dotter -	
156	stone	𓉻 𓏏𓈒		costly stone, metal		
156	stone	𓉻 𓏏𓈒 𓎰 𓎸 𓎵		 stone vessels		
156	stone	𓉻 𓏏𓎸		stone vessel		
156	stone	𓊃𓍿		libation stone	Schütt OK see ^^ vs gush/gieß/schieß~schüth!! / ~Ziegel? zys..?	
156	stone	𓊃𓍿		libation stone		
156	stone	𓊃𓍿𓊌		libation stone		
156	stone	𓊹 𓌨 𓏏𓅂 𓂡 𓏥		 stone masons	negrotaner / ⇔ necropolis	
156	stone	𓌂 𓏤 𓊌		offering - stone		
156	stone	𓌏 𓀀		hewer , carpenter		
156	stone	𓌗 𓏏𓊌		hard stone, sandstone		
156	stone	𓌦 𓐍 𓏏𓊌		stone for patching ?		
156	stone	𓌨 𓊹 𓅂 𓀀		 stone masons	masons = ał masounyoun!! / Maurer	
156	stone	𓍏 𓃀 𓅡 𓄿 𓏜		drill , open, expose, reveal, determined		
156	stone	𓏠 𓈖𓏌𓊌		type of stone, quartz ?	Mamur : Mamor! +++ DE IN / ⇔ !	
156	stone	𓏠 𓏌		type of stone, quartz ?		
157	sand	𓈖𓆷 𓄿 𓈒 𓏥		grains 	sphere? -?	
157	sand	𓈙   𓊌   𓋴𓄿𓋷𓀁𓋷𓈙𓊌		sang stein vs sand vs savoir gnost~gneiss !!		
157	sand	𓈙 𓂝 𓈒 𓏥		sand		
157	sand	𓈙 𓂝 𓏮 𓈒 𓏥		sand		
157	sand	𓊪𓂧 𓋴𓏲 𓏏𓂾 𓈇 𓏥		sand dunes ?		
157	sand	𓊪𓂧 𓋴𓏲 𓏏𓂾 𓈇 𓏥		sand dunes ?	phot Sand Treibsand	
157	sand	𓐍 𓅓 𓇋𓇋𓅭		sand - flea	Grief-y-sand	
158	dust	𓊄 𓅪  𓈖𓇾 𓈇 𓏤		crumble to dust  -vål		
158	dust	𓐍 𓅓 𓅱𓊡 𓏪		dust	Griefen-winde	
159	earth	𓂧 𓉔 𓈖𓁶 𓇾 𓈇 𓏤		touch the earth with the forehead in obeisance	down head-ter / d'hon'earth ⇔ honor!	
159	earth	𓃃 𓂻		reach, arrive at, land , tread , go to 	areave / arrive	
159	earth	𓃃 𓏜		reach, arrive at, land , tread , go to 	arrive	
159	earth	𓄿 𓎛 𓏏𓈇		field, arable land, earth, mound	aHrth~acres  / fld: field	
159	earth	𓄿 𓎡 𓂋		earth - gods  G		
159	earth	𓄿 𓎡 𓂋		 Aker, the earth, earth- gods	AGRO	
159	earth	𓄿 𓎡 𓂋 𓀭 𓏪		earth - gods	AGROs / Acre city / near / Mount Lebanon, temple of VENUS!	
159	earth	𓄿 𓎡 𓂋 𓆙		earth - gods	Aiker- / Gaia	
159	earth	𓅭 𓏏𓅱𓈅 𓏥		ground, earth, soil, floor		
159	earth	𓅭 𓏏𓈅 𓏥		ground, earth, soil, floor	sand! / ⇔ daughter vs Dach!	
159	earth	𓅭 𓏏𓏮 𓊌		ground, earth, soil, floor		
159	earth	𓅱𓂝 𓎛		earth - almond ?, carob ?	muher?	
159	earth	𓅱𓆼 𓄿 𓂡		throw off , empty out, shake out , beat , purge 	-leeren ++ / entleeren ++ / clear / enter ƒ / Matsch, Modder, mater a mat : weather?	
159	earth	𓇹 𓈒 𓏥		earth - almond ?, carob ?	Mond !?! / gaia - earth vs mon	
159	earth	𓇹 𓎛		earth - almond ?, carob ?		
159	earth	𓇾 𓇾 𓂋 𓐍 𓏏𓊖 𓏏		ends of the earth	Territory-Rächter	
159	earth	𓇾 𓇾 𓂋 𓐍 𓏏𓊖 𓏏		ends of the earth	Territory-Rächter earkhs	
159	earth	𓇾 𓈇 𓏤		earth, land, ground	terrta ➙ Terra	
159	earth	𓇾 𓍿𓇑𓇑𓀭		 Memphite earth - god		
159	earth	𓇾 𓍿𓈖𓈖𓀭		 Memphite earth - god		
159	earth	𓇾 𓏤 𓈇 𓇑𓇑𓈖𓈖𓀭		 Memphite earth - god		
159	earth	𓊃𓅭 𓄿 𓏏𓅱𓈇 𓏥		ground, earth, soil, floor	Suertenƒ	
159	earth	𓊃𓅭 𓏏𓆱		ground, earth, soil, floor	Sand+	
159	earth	𓋴𓉻 𓂝				
159	earth	𓋴𓉻 𓂝			saxa?	
159	earth	𓋴𓉻 𓂝 𓄿 𓇋𓇋𓏜		© increase , glorify 		
159	earth	𓋴𓉼		© increase , glorify 		
159	earth	𓎛 𓀝 𓀜		thresh ,throw , tread , roam 	thresh⇔ ?←?<<	
159	earth	𓎛 𓄿 𓏏𓈅 𓏥		 fields, arable lands, earth, mould	hearth	
159	earth	𓎤 𓃀 𓃀 𓈅 𓏥		earth	Kobain/Kurbaina vs Nirvana! / Geb ⇔ Geo__ ← Curved? Kur-Weiner? Co-bein / vs KarBan @ Levant + KorBant @Egypt!?!!?! ← : / ⇔	
159	earth	𓏠 𓈖𓏠 𓈖𓂻		quake, be shifted 	meander ! ++ DE / gamn.gamn / ⇔ za‘za‘a : quake @AR / menho-menho	
159	earth	𓐍 𓃀 𓊃𓌻 𓂡		hack up 		
159	earth	𓐍 𓃀 𓋴𓍅		hack up 		
160	cloud	𓈎 𓂋 𓂋 𓊡		storm, storm - cloud	Korer-vent	
160	cloud	𓈎 𓂋 𓇋𓃫 𓀜		storm, storm - cloud	Kuriseth / Kuriosität / ⇔curiosity +	
160	cloud	𓈎 𓂋 𓇋𓇲		storm, storm - cloud		
160	cloud	𓈎 𓂋 𓊡		storm, storm - cloud	Kuri / churn / current / Kurrain	
160	cloud	𓍲 𓈖𓂝 𓍁		storm - cloud	~?	
161	fog					
162	sky	𓁷 𓏏𓇯		sky, heaven	jUPiter	
162	sky	𓁷 𓂋 𓏏𓇯		sky, heaven	ober-photer / überterr= in the air  / obertair: / Airden : EDEN ⇔ / ⇔	
162	sky	𓁷 𓏏𓇯		sky, heaven	jUPiter	
162	sky	𓂧		be sharp, sharpen, pierce 	cheiro ➙ sharp	
162	sky	𓂧 𓅓 𓌪		be sharp, sharpen, pierce 	de'Messer / chierper ⇔ sharp, schärfer++ sharpen	
162	sky	𓄲 𓈖𓏌𓅱𓂻		circumference 	Turn-Uhren / turnaround?	
162	sky	𓄲 𓈖𓏌𓅱𓋪		circumference 		
162	sky	𓄿 𓂋 𓏏𓇯		heaven, sky	airs ! / air-to-air / airrytair / ryt ⇔ morning	
162	sky	𓄿 𓊃𓂋 𓏏𓇯		heaven, sky	Lazarus ?	
162	sky	𓆼 𓃀 𓋴𓅱𓇼 𓏥		the starry sky	Tausend-Stern' / ??? ←	
162	sky	𓆼 𓅡 𓋴𓇼 𓇼 𓇼		the starry sky	Tausend-Stern=sky! / calves-	
162	sky	𓇉 𓄿 𓍘 𓇋𓇲		cloudiness 	C.LAo.Dy cloudy !! ++--? / her'ty ~herbst : veil @ SEM <<	
162	sky	𓇋𓆛 𓈖𓌰 𓅓 𓄛		skin , hues , development, complexion	?	
162	sky	𓇯		sky, heaven		
162	sky	𓇯 𓊪𓏏𓅓 𓄿 𓇋𓏲 𓊡		a windy sky ?	airpitairit + ←	
162	sky	𓈎 𓃀 𓎛 𓅂		sky	qvair,quair : quer=high air ⇔ cover +++ ← cooper	
162	sky	𓈎 𓃀 𓎛 𓅱𓏁 𓅭 𓏥 𓈉		sky	kübeln	
162	sky	𓈎 𓃀 𓎛 𓏂 𓈗		sky		
162	sky	𓈖𓉔 𓅓 𓀁		shout, thunder 	nahovr : / vs الصوت ~ shout ++ AR=EN / anhoair anhoer fast: nahoer	
162	sky	𓈙 𓋴𓐟 𓄿 𓄃 𓏏𓇰		nightfall, night sky	schun-shät / schalter __ ←  / spyer tit / Späher ⇔ spät?	
162	sky	𓉽 𓉽 𓉽 𓉽		 posts 		
162	sky	𓊃𓈙 𓇋𓇋𓏏𓇰 𓇳		nightfall, night sky	syn-šyt / sun-set	
162	sky	𓊪𓏏𓇯		sky, heaven	ƥotair : / Pater Petrus Photon Votan Ether	
162	sky	𓋴𓄝 𓏏𓀜		shoot, throw, thrust, spear, kindle , inspect , glitter 	shoot	
162	sky	𓋴𓄝 𓏏𓌕 𓂡		shoot, throw, thrust, spear, kindle , inspect , glitter 		
162	sky	𓋴𓈙 𓄃 𓏏𓇼		nightfall, night sky	šet? ⇔ Seth !? / shut-star / shooting-star	
162	sky	𓋴𓏠 𓈖𓏌𓍖 𓏥		supports of sky	asman @ Persia! / shamanurz ++	
162	sky	𓋴𓐍 𓈖𓏏𓉽 𓏪		 posts 	sekanten?! <<++	
162	sky	𓌨 𓂋 𓏮 𓄡 𓏏𓏤		abdomen, under-side 		
162	sky	𓍑 𓄿 𓏴 𓊛		ferry , cross 		
162	sky	𓍑 𓊛		ferry , cross 	ferry / ⇔ faras : horse [Sem p-r-s, Heb parash, Syr parasha 	
162	sky	𓎡 𓆑 𓂡		strip away , clear , gather 	 kaftha ~ gather ~~-clear	
162	sky	𓎡 𓆑 𓋳		strip away , clear , gather 	cuft ⇔ cut vs cover / cover as F/V ⇔ Malta	
162	sky	𓎡 𓆑 𓄖 𓏛		strip away , clear , gather 		
162	sky	𓎡 𓆑 𓇋𓇋𓋳		strip away , clear , gather 	~gather	
162	sky	𓎡 𓆑 𓄿 𓄖 𓂻		strip away , clear , gather 		
162	sky	𓎡 𓆑 𓄿 𓄖 𓋳 𓂡		strip away , clear , gather 		
162	sky	𓎡 𓆑 𓏛		strip away , clear , gather 		
162	sky	𓎡 𓈓		covers the sky	 cupers𓈓 ++	
162	sky	𓎼 𓊪𓇲		be overcast 	ghou ⇔ cloud? / Kuh-Wetter?	
162	sky	𓏌𓏌𓏏𓏌𓇯 𓁐		Nut , the sky	 Ninurta! 𓋹	
162	sky	𓏌𓏏𓇯 𓁐		 Nut , the sky	Urte	
162	sky	𓏏𓐍 𓈖𓁺		injury , injure , pierce 		
163	wind	𓄤 𓏤		heart and wind-pipe		
163	wind	𓅱𓏏𓊡		wind	wnd = wind	
163	wind	𓅱𓏏𓊡		geschwind 		
163	wind	𓆑 𓄿 𓀋 𓂡 𓊡 𓏲		1 sail, 2 the wind rose ?		
163	wind	𓆓 𓂝 𓊡		storm, storm - wind	tshou ➙ churn tornado Shu'vent	
163	wind	𓇋𓄿 𓃀 𓊡		the east wind		
163	wind	𓇓𓏏		force 	shoot! / shtrong ?	
163	wind	𓇔 𓅱𓊡		south-wind	Suren-wind / Sudan-wind	
163	wind	𓈖𓆑 𓏏𓊡 𓏲		breath, wind	νφnt = nVent: wind ⇔ ƥnοė / νφ=v νβ=b νπ,μπλε=blue blow see greek !	
163	wind	𓈖𓆑 𓏲 𓏏𓊡 𓏪		breath, wind		
163	wind	𓈖𓆑𓏏𓊡𓏲		wind	⇔	
163	wind	𓊡		eastair/ levant left-wind		
163	wind	𓊡		Phnd:wind eastorm-vent		
163	wind	𓊡		wind		
163	wind	𓊡 𓅱		wind, air, breath	wn:wind ++ / vneu : pneu πνοή @ greece!! νοή ⇔ vənt ! / shift in reading of double syllables! artefact of LETTERS? / νοή: ν=vn ή=ny/yn : / 1 vent / 2 noy / vs ال ريح al ryha ... just not a Semitic language!	
163	wind	𓊿 𓊡		the west wind		
163	wind	𓊿 𓏏𓊡		the west wind		
163	wind	𓋀 𓏏𓏮 𓊡		the west wind		
163	wind	𓋁 𓃀 𓏏𓊡		the east wind		
163	wind	𓋁 𓊡		the east wind		
163	wind	𓋁 𓊡 𓏏		the east wind		
163	wind	𓋴𓅱𓎛 𓊡		wind	 swhr weher sur?	
163	wind	𓋴𓅱𓏏𓊡		force 		
163	wind	𓋴𓏲 𓎘 𓃀 𓄲 𓏛		© wind 		
163	wind	𓎔 𓎛 𓇋𓇋𓏏𓊡		north wind, storm from the north, 'norther'		
163	wind	𓎔 𓏏𓊡		north wind	Schinder Scheider	
164	snow					
165	ice	𓀆 𓃀 𓅱𓏏		priestly service	tri?but	
165	ice					
166	smoke	𓎛 𓏏𓏮 𓊮		smoke		
167	fire	𓂋 𓎡 𓎛 𓊮		light 	räuchern	
167	fire	𓅱𓂧 𓏴 𓂡	put	lay , appoint as, be bent on 	µXend ~ bent -	
167	fire	𓈎 𓂋 𓂋 𓊮		fire , broil 	Grr / Krr ⇔ charr / griller / garer / kocher ++ / cera / ceramik !!	
167	fire	𓈎 𓂋 𓂋 𓍔		fire , broil 		
