154	sea (as in ocean) 	deňiz 	DONac™	🗸	теңiз 	тинĕс 	муора (Rus.) , байҕал 	далай (Mong.) 	талай (Mong.) 	талай,teñis (Mong.) 	диңгез 	диңгеҙ 	тенгиз 	теңiз 	деңиз 	dengiz 	déngiz 		deňiz 	dəniz 	deniz 	deñiz 	تَنْكِزْ‎ (teŋiz), كُولْ‎ (kȫl)
155	salt 	duz 	du.sal.de <> tozan 1000-sand!	🗸	тұз 	тăвар 	туус 	дус 	тус 	тус 	тоз 	тоҙ 	туз 	тұз 	туз 	tuz 	tuz 		duz 	duz 	tuz 	tuz 	تُوزْ‎ (tūz)
156	stone 	daş 	Dash T-s / s-t ++	🗸🗸🗸	тас 	чул 	таас 	даш 	тас 	таш 	таш 	таш 	таш 	тас 	таш 	tosh 	tash 		daş 	daş 	taş 	taş 	تاشْ‎ (tāš)
157	sand 	gum; çäge 	Krume, Krüm.el ++	🗸	құм 	хăйăр 	кумах 	кум; элезин (Mong) 	хум 	кумак, сай 	ком 	ҡом 	къум, юзмез (Balkar) 	құм 	кум 	qum 	qum 		gum; çäge 	qum 	kum 	qum 	قُمْ‎ (qum)
158	dust 	çaň, toz, tozan 	tozan Dust ++  çaň Sand duz:salt	🗸🗸	тозан, шаң 	тусан 	быыл (Rus.) 	доозун 	тозын 	тоозыны 	тузан 	саң, туҙан 	букъу 	тозан, шаң 	чаң, тоз 	chang 	[[]] 		çaň, toz, tozan 	toz 	toz 	toz 	تُوزْ‎ (tōz), تُبْراقْ‎ (toprāq)
159	earth (as in soil) 	toprak 	Top-terra +++ irak, earth, top-soil	🗸	топырақ 	çĕр, тăпра 	cир, буор (soil) 	довурак, хөрзүн 	тобырах, чир 	тобрак 	җир, туфрак 	тупраҡ 	топуракъ 	топырақ 	топурак 	tuproq 	topa 		toprak 	torpaq 	toprak, yer (ground) 	topraq 	تُبْراقْ‎ (toprāq), يِيرْ‎ (yḗr)
160	cloud 	bulut 	qvloud!! <<	🗸	бұлт 	пĕлĕт 	былыт 	булут 	пулут 	булут 	болыт 	болот 	булут 	бұлт 	булут 	bulut 	bulut 		bulut 	bulud 	bulut 	bulut 	بُلِتْ‎ (bulït)
161	fog 	duman 	dunst	~	тұман 	тĕтре 	туман 	туман 	тубан 	туман 	томан 	томан 	тубан, туман 	тұман 	туман 	tuman 	tuman 		duman 	duman 	sis; duman (smoke) 	tuman 	تُمانْ‎ (tumān), بُوسْ‎ (būs)
162	SKY	gök, asman, халлаан <> каç 𓎡𓎡𓐍𓆼𓇰	𓇯 𓎟 kak ciallah!!! ashaman Thor Typho	!!! <<>>	көк; аспан (Pers.) 	тӳпе 	халлаан ciallah!!	дээр 	тигiр 	тенери 	күк 	күк 	кёк 	көк; аспан (Pers.) 	көк; асман (Pers.) 	koʻk; osmon (Pers.) 	kök; asman (Pers.) 		gök, asman 	göy 	gök, tepe (peak, top) 	kök 	تَنْكْرٖى‎ (teŋrī), كُوكْ‎ (kȫk)
163	wind (as in breeze) 	ýel 	җил SHUYL @ ciel 	🗸!	жел, самал 	çил 	тыал 	хат (Tung.) , салгын 	чил 	салкын, jel,јел 	җил 	ел 	джел 	жел, самал 	шамал, жел 	yel 	selkin, shamal 		ýel 	külək, yel 	yel 	yel 	يِيلْ‎ (yḗl), اَسِنْ‎ (esin)
164	snow 	gar 	Kryo@kar ++	🗸🗸	қар 	юр 	хаар 	хар 	хар 	кар 	кар 	ҡар 	къар 	қар 	кар 	qor 	qar 		gar 	qar 	kar 	qar 	قارْ‎ (qār)
165	ice 	buz муус 	b’ice m’ice  冫白  	🗸!	мұз 	пăр 	муус 	дош 	пус 	тош,бос,мус 	боз 	боҙ 	буз 	мұз 	муз 	muz 	muz 		buz 	buz 	buz 	buz 	بُوزْ‎ (būz)
166	smoke 	tüsse 	dust, t’ash <> torch dunst	🗸	түтiн, ыс 	тĕтĕм 	буруо 	ыш 	тӱдӱн, ыс 	ыш,тӱтӱн 	төтен 	төтөн 	тютюн 	түтiн, ыс 	түтүн 	tutun 	tütün 		tüsse 	tüstü 	duman, is (black smoke, soot), tütün (tobacco) 	tütün 	تُتُنْ‎ (tütün), اِشْ‎ (ïš)
167	fire 	ot 	HOT!! 火 (p)huǒt	🗸🗸	от 	вут 	уот 	от 	от 	от 	ут 	ут 	от 	от 	от 	olov, oʻt 	ot 		ot 	od 	ateş, (Pers.) od 	ateş, ot 	اُوتْ‎ (ōt)
168	ash 	kül 	kühle gülle cool @kuhle?	🗸~?	күл 	кĕл 	күл 	хүл 	кӱл 	кӱл, öлöн 	көл 	көл 	кюл 	күл 	күл 	kul 	kül 		kül 	kül 	kül 	kül 	كُلْ‎ (kül)
169	to burn (intransitive) 	ötmek, otlamak; ýanmak 	hot.make yan?  çунмa~zünd	^	жану 	çунма 	умай (intr.) ; умат, уотта (tr.) 	кывар, өрттенир 	кöйерғе 	кӱй, кӱйер, жаҥак,јаҥак 	янарга 	яныу 	джанаргъа 	жану 	күйгүзүү, өртөө 	yonmoq 	köymek, yanmaq 		ötmek, otlamak; ýanmak 	yanmaq 	yanmak 	yanmaq	
170	road 	ýol 	jallah 길 gil суол gyro kior@KOR rollu 路	<🗸	жол 	çул 	суол 	орук 	чол 	jол 	юл 	юл 	джол 	жол 	жол 	yoʻl 	yol 		ýol 	yol 	yol 	yol	
171	mountain 	dag 大 > 犬太	Dach™ <> dar / tai = tall	🗸🗸	тау 	ту 	хайа (Tung.) 	даг 	тағ 	тыы, кыр,туу 	тау 	тау 	тау 	тау 	тоо 	togʻ 	tagh 		dag 	dağ 	dağ 	dağ	
172	red 	gyzyl, kirmiz	KIRSCH.al ++ carnelian 	🗸🗸	қызыл 	хĕрлĕ 	кыһыл 	кызыл 	хызыл 	кызыл 	кызыл 	ҡыҙыл 	къызыл 	қызыл 	кызыл 	qizil 	qizil 		gyzyl 	qırmızı, al 	kızıl, kırmızı (Ar.) 	qırmızı, qızıl	
173	green 	ýaşyl 	YeSAR >> shil shar.un=green@SEM	🗸	жасыл 	симĕс, ешĕл 	күөх 	ногаан (Mong.) 	(от) кöк, ноған, чазыл 	jaжыл 	яшел 	йәшел 	джашил 	жасыл 	жашыл 	yashil 	yéshil 		ýaşyl 	yaşıl 	yeşil 	yeşil	
174	yellow 	sary 	sarı™ sar=green 	🗸	сары 	сарă 	араҕас, саһархай 	сарыг 	сарығ 	сары 	сары 	һары 	сары 	сары 	сары 	sariq 	sériq 		sary 	sarı 	sarı 	sarı	
175	white 	ak 	(w)ash!	🗸🗸	ақ 	шурă 	үрүҥ, маҕан 	ак 	ах 	ак 	ак 	аҡ 	акъ 	ақ 	ак 	oq 	aq 		ak 	ağ 	ak 	beyaz, aq	
176	black 	gara 	Chara <> kalla™	🗸🗸	қара 	хура 	хара 	кара 	хара 	кара 	кара 	ҡара 	къара 	қара 	кара 	qora, siyoh 	qara, siya reng 		gara 	qara 	kara 	qara, siya	
177	night 	gije 	gEve 夜 yven 晚 <> gök!  𓎡𓎡𓅱𓐍𓆼𓇰	<	түн 	каç 	түүн 	дүн 	тӱн, хараа 	тӱн 	төн 	төн 	кече 	түн 	түн 	tun; kecha (evening) 	tün; kech (evening) 		gije 	gecə 	gece, dün (yesterday) 	gece	
178	day (daytime) 	gün 	Journ <> sun	🗸	күн 	кун 	күнүс 	хүн 	кӱн 	кӱн 	көн 	көн 	кюн 	күн 	күн 	kun 	kün 		gün 	gün 	gündüz, gün (day) 	kün	
179	year 	ýyl 	Year <> yeal ++	🗸	жыл 	çул 	сыл, дьыл 	чыл 	чыл 	jыл 	ел 	йыл 	джыл 	жыл 	жыл 	yil 	yil 		ýyl 	il 	yıl 	yıl, sene	
180	warm (as in weather) 	ýyly 	schwühl++	~	жылы 	ăшă 	сылаас 	чылыг 	чылығ 	jылу 	җылы 	йылы 	джылы 	жылы 	жылуу 	iliq 	ilman 		ýyly 	ılıq 	ılık 	issi	
181	cold (as in weather) 	sowuk 	soak	~	суық, салқын 	сивĕ 	мүлүүн; тымныы 	соок 	соох 	соок 	салкын, суык 	һыуыҡ 	сууукъ 	суық, салқын 	суук 	sovuq 	soghuq 		sowuk 	soyuq 	soğuk 	suvuq	
182	full 	doly; dok (satisfied) 	Doll ~ voll < dval, schwell ++	~	толы 	тулли 	толору 	долу 	толдыра 	толо 	тулы 	тулы 	толу 	толы 	толук, толтура 	toʻq, toʻla 	toluq 		doly; dok (satisfied) 	dolu 	dolu; tok (satisfied) 	tolu	
183	new 	täze (Pers.) 	Yenew ++	<!	жаңа 	çĕнĕ 	саҥа 	чаа 	наа 	jaны 	яңа 	яңы 	джангы 	жаңа 	жаңы 	yangi 	yéngi 		täze (Pers.) 	yeni, təzə 	yeni 	yañı	
184	old 	köne (things) , garry (people) 	gero 古	🗸🗸	ескi; қарт, кәрі (person) 	кивĕ; ватă (person) 	эргэ; кырдьаҕас (person) 	эрги; кырган (person) 	иргi; кирі (person) 	эски; карган (person) 	иске, карт (person) 	иҫке, ҡарт (person) 	эски (thing) ; къарт (person) 	ескi; қарт, кәрі (person) 	эски; кары (people) 	eski; qari 	eski; qeri 		köne (things) , garry (people) 	köhnə, əski; (people) yaşlı, qoca 	eski, yaşlı (aged) , kart 	eski, qart	
185	good 	ýagşy, gowy 	JA,SI, gowyde ++	🗸🗸	жақсы, игі 	лайăх 	үчүгэй, үтүө 	эки 	чахсы 	jaкшы 	яхшы 	яҡшы 	ашхы, иги 	жақсы, игі 	жакшы 	yaxshi 	yaxshi 		ýagşy, gowy 	yaxşı 	iyi, yakış- (to suit) , yakışık (suiting, good) 	yahşı, eyi	
186	bad 	(er)bet; pis; ýaman (badly) 	bad, piss, jammern™, ia.ment	🗸! 🗸?	нашар, жаман 	япăх, начар 	куһаҕан, дьаабы 	бaк, багай 	хомай, чабал 	jaман, комой 	начар 	насар, яман 	аман 	нашар, жаман 	жаман,начар 	yomon 	yaman 		(er)bet; pis; ýaman (badly) 	pis, yaman 	kötü, yaman 	yaramay, yaman	
187	rotten (as, a log) 	çüýrük 	sauerig chirik ++	🗸	шiрiк 	çĕрĕк 	сытыйбыт 	ирик, чыдыг 	чызығ, чызаан (fruit) ; iрiк (wood) 	чирик, калган 	черек 	серек 	чириген, чирик 	шiрiк 	чирик 	chirik 	chürük, chirigen 		çüýrük 	çürük 	çürük 	çürük	
188	dirty 	kirli, hapa 	<> khir=black	🗸	кiр, батпақты, 	пыльчăклă, варланчăк, хура 	кирдээх, бадараан 	хирлиг, боктуг 	кiрлiг, пуртах 	кирлӱ 	пычрак, керле 	бысраҡ 	кир, кирли 	кiр, батпақты, 	кир 	kir 	kir; paskina; 		kirli, hapa 	çirkli, kirli 	kirli 	kirli	
189	straight 	göni; dogry 	s’тура.de ++ <>¬gon	<	түзу 	тӳрĕ 	көнө 	дорт, хөнү 	кöнi 	тӱс, чике 	туры 	тура 	тюз 	түзу 	түз 	toʻgʻri; tik (adv.) 	tüz, udul 		göni; dogry 	düz 	düz, doğru 	tüz	
190	round 	togalak, öwre 	çаврака~circ, togar.as, wrun.de	~?	домалақ, дөңгелек, жұмыр 	çаврака 	төгүрүк 	төгерик, тырыкы 	тоғылах, тегiлек, терпек 	болчок, тегерик 	түгәрәк, йомры 	йоморо, түңәрәк 	тёгерек 	домалақ, дөңгелек, жұмыр 	тегерек, тоголок, жумуру 	dumaloq; yumaloq (sphere) 	domlaq, yumilaq 		togalak, öwre 	yumru 	yuvarlak; top, tekerlek (wheel) 	tögerek	
191	sharp (as a knife) 	ýiti; ötgür 			өткiр 	çивĕч, вичкĕн 	сытыы 	чидиг, өткүр 	чiтiг 	курч 	үткен 	үткер 	джити 	өткiр 	курч, өткүр 	oʻtkir 	keskin, ökür, ittik 		ýiti; ötgür 	iti 	keskin, sivri 	keskin 	يِتِكْ‎ (yitig)
192	dull (as a knife) 	kütek 	cut¬ac	🗸<!	өтпеc, өтпес, дөкір 	мăка 	сыппах 	дөгей, шапты; мугур 	омас 	моко 	үтмәс 	үтмәҫ 	дуппукъ (Karachay) , гумух (Balkar) 	өтпеc, өтпес, дөкір 	мокок, өтпөгөн 	oʻtmas 	ötmes 		kütek 	küt 	kör (Pers.) 	toqal	
193	smooth 	tekiz 	teyig~ silk!	🗸 ½ 	тегiс 	яка, такăр, тӳрĕ 	дэхси, кылааккай 	дески, тас 	тӱс 	килен, тӱс,tegis 	шома; тигес 	шыма 	сыйдам 	тегiс 	тегиз, текши 	tekis, silliq 	siliq, tékis 		tekiz 	hamar, düz 	düz 	tegiz 	يابْرٖى‎ (yaprï̄), اَلَنْكْ‎ (alaŋ)
194	wet 	çygly; öl (damp, wet) 	Lak <> aqua, öl!!	🗸<!	ылғал, дымқыл (moist) 	йĕпе, нӳрĕ, исленчĕк 	инчэҕэй, уулаах, сииктээх 	өл, шык, мөөн, шал 	öл 	ӱлӱш, чыкту,dimluu,дымлуу 	юеш, дымлы 	дымлы 	мылы, джибиген 	ылғал, дымқыл (moist) 	ным, нымдуу 	hoʻl, nam 	höl, nem 		çygly; öl (damp, wet) 	nəm, yaş, islaq 	ıslak, yaş 	dım 	اُولْ‎ (ȫl)
195	dry (adjective) 	qury 	кургак karg qry dry 	🗸~	құрғақ 	типĕ, хăрăк 	кураанах 	кургаг 	хуруғ 	кургак 	коры 	ҡоро 	къургъакъ 	құрғақ 	кургак 	quruq, qurgʻoq 	quruq 		qury 	quru 	kuru 	quru 	قُرُغْ‎ (quruɣ)
196	right (correct) 	dogry 	derechia, drtha << d’agree ++	🗸 <<	дұрыс, тура 	тĕрĕс 	сөп, сөптөөх, таба 	шын, ылаптыг 	сын, орта 	чын,toroo,туроо,тороо 	дөрес, туры 	дөрөҫ 	тюз 	дұрыс, тура 	туура 	toʻgʻri 	toghra 		dogry 	düzgün, doğru 	doğru 	doğru 	جٖىنْ‎ (čï̄n)
197	near 	ýakyn 	<<		жақын, жуық 	çывăх 	чугас 	чоок 	чағын 	jуук,jaqïn,јакын 	якын 	яҡын 	джууукъ 	жақын, жуық 	жакын 	yaqin 	yéqin 		ýakyn 	yaxın 	yakın 	yaqın 	يَقِنْ‎ (yaqïn), يَغُوقْ‎ (yaɣūq)
198	far 	uzak, alyş 	kozak? Iraq;)  farac ерак 	~	алыс, жырақ 	инçе 	ыраах 	ырак 	ырах 	узак, ыраак 	ерак 	алыҫ, йыраҡ 	узакъ 	алыс, жырақ 	алыс, ыраак 	uzoq, olis (distant) 	yiraq 		uzak, alyş 	uzaq 	uzak, ırak 	uzaq 	يِراقْ‎ (yïrāq)
199	right (side) 	sag 	sax 石右  shíyou 手 <> thai (facing pole)	<<!!	оң 	сылтăм 	уҥа 	оң 	оң 	он’ 	уң 	уң 	онг 	оң 	оң 	oʻng 	ong 		sag 	sağ 	sağ 	oñ, sağ 	اُنْكْ‎ (oŋ)
200	left (side) 	çep 	左 zuǒp ‘job’ syr(i) sol	<!	сол 	сулахай 	хаҥас 	солагай 	сол 	сол 	сул 	һул 	сол 	сол 	сол 	chap 	sol 		çep 	sol 	sol 	sol 	سُولْ‎ (sōl)
201	at 	-ра/-ре, -та/-те	bei / ate 𓏏	🗸🗸	-да/-де, астында 	-ра/-ре, -та/-те 	-га/-ҕа 	-да, -де, -та, -те 	-да, -де, -та, -те 	-де, -те 	-да/-дә, өстендә 		-да/-де 	-да/-де, астында 	-да, -до, -де, -дө 	-da 	[[]] 		[[]] 	-da/-də 	-da/-de, -ta/-te 	-da/de, -ta/te 	دا‎ (-dē, -dā)
202	in 	-ра/-ре, -та/-те	𓏏	🗸	-да/-де, iшiнде 	-ра/-ре, -та/-те 	иһигэр 	-да, -де, -та, -те, иштинде 	-да, -де, -та, -те 	-де, -те 	-да/-дә, эчендә 	-да 	-да/-де 	-да/-де, iшiнде 	ичинде, -да, -до, -де, -дө 	-da 	[[]] 		[[]] 	-da/-də 	içinde, -da/-de, -ta/-te 	-da/-de, -ta/-te 	اِجِنْدا‎ (ičindē), اجْرا‎ (ičrē), دا‎ (-dē, -dā)
203	with (accompanying) 	bilen 	Pei 陪 bei 被 by bi.de with along belong!	🗸🗸!?	-мен, -менен 	-па/-пе 	кытары 	-биле, -биле кады/катай 	[[]] 	-ту, -ду,meŷen 	белəн 	-менән 	бла 	-мен, -менен 	менен, бирге 	bilan 	[[]] 		bilen 	ilə, -la/-lə 	ile, -la/-le 	-nen, ile 	بِرْلا‎ (birlē)
204	and 	we 	 و wa to With y+n con~жана  	🗸🗸	және, һәм 	тата, та, те, -па/-пе 	уонна 	биле, болгаш, база 	даа, таа 	jaña 	да/дә, һәм 	һәм 	бла, да, эм, эмда 	және, һәм 	жана 	va 	[[]] 		we 	və, da/də 	ile, ve (Ar.) 	ve 	تَقٖى‎ (taqï̄), يَما‎ (yemē)
205	if 	eger 	𓇋 𓂋 either	🗸🗸!!!?	-са/-се, егер 	-сан/-сен, енчен, эхер 	буоллаҕына, өскө 	-за/-са, -зе/-се, болза, бир эвес (conj.) 	[[]] 	-ca/-ce 	-са/-сә, әгәр 	әгәр 	эсе 	-са/-се, егер 	-са/-се/-со/-сө, эгер 	agar 	[[]] 		eger 	əgər 	-sa/-se, ise 	eger 	اَرْسا‎ (ersē), سا‎ (-sē, -sā), اَبَنْكْ‎ (apaŋ)
206	because 	çünki 	since++	🗸🗸	өйткенi 	мĕншĕн тесен 	ол иһин 	чүге дээрге, ооңужун 	[[]] 	öçün 	чөнки 	сөнки 	ючюн 	өйткенi 	анткени 	chunki 	[[]] 		çünki 	çünki 	yüzünden, dolayı, ötürü, için, çünkü (Pers.) 	çünki 	اُجُنْ‎ (üčün)
207	name 	at 	hat>heisst (m)ot, ad@res address	🗸	ат, есiм	ят 	аат 	ат 	ат 	ат 	исем, ат 	исем 	ат 	ат, есiм 	ат, ысым 	ism, nom, ot 	[[]] 		at 	ad 	ad 	ad, isim 	ااتْ‎ (āt)
