284	AMOUNT	дукхалла	du͡ʊqəlːə	√take totqual				რაოდენობა	rɑɔdɛn ɔbɑ		քանակ	kʰɑnɑk	countç	
285	HEAP	сал	səl	Stapel	ачаҟəа	ɑçɑqʼəɑ	a cache kəʃir	გროვა	ɡrɔvɑ	grab~	դեզ	dɛz	dash ƒ	ok?
286	ROW (OF OBJECTS)	рагӏ	rəɣ	rows rudger rudder	ацəаҳəа	ɑč ʰəɑħəɑ		რიგი	riɡi	ruger rudger rudder	շարք	ʃɑɾkʰ	shark?	
287	BOAT	кема	kemə	Kahn	анышь	ɑnɨʃ	a nauth	გემი	ɡɛmi	"кема	kemə	Kahn"	նավակ	nɑvɑk	navigo	
288	PADDLE	пийсиг	pɪɪ̆sɪɡ	paiddlig	ажəҩа	ɑʐəɥɑ	a Steuer	ხოფი	xɔpʰi		թի	tʰi		
289	SLEDGE	салаз	sələz	sələz! sledge!	ашəаҩауардын	ɑʂəɑɥɑuɑrdɨn	a Schlitten	მარხილი	mɑrxili	mar.	բալխիր	bɑlχiɾ	baltic?	
290	SKI	когсалаз	koɡsələz	^^	ашəаҩа	ɑʂəɑɥɑ	a skia	თხილამური	tʰxilɑmuri	𓏏𓍃𓅓 	դահուկ	dɑhuk	take took дукъ du͡ʊqʼ	
291	CAMPFIRE	цӏе	čʼe	thyssen	еиқуу амца	ɛikʰuu ɑmčʰɑ	??	კოცონი	kˀɔčʰɔni	kochen cook…	բացօդեայ կրակ	bɑt͡sʰɔtʰɛɑj kɾɑk	<> kˀɔčʰɔni koch < krak!	<<<
292	LOAD	дукъ	du͡ʊqʼ	"take դահուկ	dɑhuk"	ахьанҭара	ɑχʲentʰ ɑrɑ	ɑχ.enter	ტვირთი	tˀvirtʰi	to.wirt?	բեռ	bɛr	bear, bare	!!!?
293	WALK (TRIP)	лелар	lelər	le.legr	аныҟəара	ɑnɨqʼə ɑrɑ		სვლა	svlɑ		զբոսանք	əzbɔsɑŋkʰ	𓋴𓃀𓋹 ~  𓋴𓅱𓅱𓏏𓏏𓂻!	<<
294	STEP	гӏулч	ɣu͡ʊlç	𓊨	ашьаҿа	ɑʃɑʈʈ͡ʂʼɑ	a steps statt	ბიჯი	bid͡ʒi				𓊨𓃀	
295	NORTH	къилбаседе	qʼɪlbəsede	kurba.sede	аҩада	ɑɥɑdɑ 	ɑɥ ɑdɑ~ɛtʰi	ჩრდილოეთი	çrdilɔɛtʰi	cardina.ɛtʰi	հյուսիս	hjusis	hiver κεῖμαι keîmai ??	
296	SOUTH	къилбе	qʼɪlbe	kurba	алада	ɑlɑdɑ 	ɑl ɑdɑ~ɛtʰi 	სამხრეთი	sɑmxrɛtʰi	samašr.ɛtʰi	հարավ	hɑɾɑv	𓇳 = ɑɾɑv sahara 	
297	WEST	малхбузе	məlxbu͡ʊzē	məlxb.weste	амраҭашəара	ɑmrɑtʰɑʂə ɑrɑ	amra☀ tas	დასავლეთი	dɑsɑvlɛtʰi	dɑsɑvl.ɛtʰi	արեւմուտք	ɑɾɛvmutkʰ	𓇳𓏱 ɑɾɛv mutkʰ  direction of 𓏱mūt/muert.que	
298	EAST	малхбале	məlxbə̄lē	məlxb.ə̄lē	амрагылара	ɑmrɑɡɨl ɑrɑ	amra☀ ɡɨl	აღმოსავლეთი	ɑɣmɔsɑvlɛtʰi	ɑɣmɔsɑ.sɑvlɛtʰi 	արեւելք	ɑɾɛvɛlkʰ	𓇳𓋁 ɑɾɛv ɛlkʰ	
299	WOOD	дечиг	deçɪɡ	dendro'	амҿымаҭəахə	ɑmʈʈ͡ʂʼɨmɑtʰəɑχə	WTH amts material 	ხე	xɛ	xylo	փայտ	pʰɑjt	brett > pʰɑjt > plat wood	
300	BOARD	у	u͡ʊ		аӷəы	ɑʁəɨ		დაფა	dɑ pʰɑ	boar.da	տախտակ	tɑχtɑk	𓇾𓇾 <> floor	
301	SLAB	у	u͡ʊ		ахаҳәцәы	ɑχɑħʲʷt͡ɕʷʰu		თლილი ქვა	tʰlili kʰvɑ	Teil?	թիթեղ	tʰitʰɛʁ	Toten-Tisch tither™ 	
302	SUPPORT (OF OBJECT)	гӏopтоp	ɣoptop		аҵаргəа	ɑčʼɑrɡəɑ		საყრდენი	sɑqˀr dɛni	support <> suqqord	նեցուկ	nɛt͡sʰuk	Netz	!
303	POLE	гӏуркх	ɣu͡ʊrq	𓊖 coordinate	акьат	ɑkʼʲetʼ	a'Kett 𓋩	ჭოკი	çˀɔkˀi	<> 𓋩	ձող	d͡zɔʁ	dura,direction	
304	STICK	ӏаса	ʡəsə	𓆱 acħa™ Ast	алаба	ɑlɑbɑ		კეტი	kˀɛtˀi	Kett 𓋩	փայտ	pʰɑjt	bat	
305	STAFF	гӏаж	ɣəʒ		акьат	ɑkʼʲetʼ		ლატანი	lɑtˀɑni	Latte	ցուպ	t͡sʰup	tsaph = staff	
306	TUBE	биргӏа	bɪrɣə		абыкь	ɑb ɨkʼʲ		მილაკი	milɑkˀi	milk! 𓏇	խողովակ	χɔʁɔvɑk	√𓐍 curve	<<
307	HOUSE	цӏа	čʼə	cia	аҩны	ɑɥnɨ	a Hein~heim	სახლი	sɑxli	Sache	տուն	tun	town, dome	<<
308	HOME	кхерч	qerç	court 𓊖 𐌲𐌰𐍂𐌳 gort	аҭаацəа	ɑtʰɑːčʰəɑ	--	ოჯახის კერა	ɔd͡ʒɑxis kˀɛrɑ	𓉔 गृह gare	տուն	tun	town, dome	
309	STOVE	кхерч	qerç	herd ^^	аҳақə	ɑħɑkʰə	a koch @ küche	ღუმელი	ɣumɛli	Schummel?	վառարան	vɑrɑɾɑn	fireion	
310	FLOOR	цӏенкъа	čʼenqʼə	𓊃 !	адашьма	ɑdɑ ʃmɑ	a zama 𓊃 dashma	იატაკი	iɑtˀɑkˀi	hɑtɑk	հատակ	hɑtɑk	յատակ yatak < terrace 𓇾 	<
311	TABLE	шун	ʃu͡ʊn		аишәа	ɑiʃʲʷø		სუფრა	supʰrɑ	<<< @supper?	սեղան	sɛʁɑn	x شیلان‎šelān  שולחן‎ šulḥān 𐎘𐎍𐎈𐎐 ṯlḥn tabln	!!!
312	CHAIR	гӏант	ɣənt	stand	аҟəардə	ɑqʼəɑrdə	a qhaird	სკამი	skˀɑmi		աթոռ	ɑtʰɔr	a'chair	
313	CRADLE	ага	ə̄ɡə	?age < hege wiege   < агара							օրորոց	ɔɾɔɾɔt͡sʰ	arise? roots! ararat!	
314	BED	маьнга	mænɡə	𓏠	акаруаҭ	ɑkʼɑruɑtʰ	a kurat@𓉨	საწოლი	sɑč ˀɔli	√sit,setz	անկողին	ankoɣin	ankoye 𓋹 nigh'in	 
315	SHELF	терхи	terxɪ	"<> դարակ	dɑɾɑk"	акыӷəра	ɑkʼɨʁ ərɑ	<>	თაროები	tʰɑrɔɛbi	<> терхи terxɪ : դարակ darak@TURK the.rack	դարակ	dɑɾɑk	"≠ door <> терхи	terxɪ"	<<<
316	BOX	яьшка	jæʃkə		аидчаҧала	áidçɑpʰ ɑlɑ	cephal?	ყუთი	qˀutʰi	court	տուփ	tupʰ	Tupper;)	
317	WINDOW	кор	kor	口 kǒu® kuhle khole	аҧенџьыр	ɑpʰ ɛnd͡ʒɨr		ფანჯარა	pʰɑnd͡ʒ ɑrɑ	Fenster!!	պատուհան	pɑtuhɑn	phaintuha 	ok?
318	DOOR	неӏ	neʡ	--	ашə	ɑʂə	a шər	ბჭე	bçˀɛ	port, ptor, beitse	դուռ	duɾ	door	✓
319	GATE	ков	kɔ͡ʊ	kɔ͡ʊte	агəашə	ɑɡəɑʂə	a gathe	ჭიშკარი	çˀiʃkˀɑri	sys-kˀɑri	դարպաս	dɑɾpɑs	doorpass	✓
320	FENCE	керт	kert	court	аанда	ɑːndɑ 	fenda	ღობე	ɣɔbɛ		ցանկապատ	t͡sʰɑŋkɑpɑt	Zaun.keep?	ok??
321	ROOF	тхов	txɔ͡ʊ	Dach.ob	ахыб	ɑχɨb	a χɨb>roobh	სახურავი	sɑxurɑvi	saxo'roofi	տանիք	tɑnikʰ	dome.q	
322	LADDER	лами	lə̄mɪ	lamdar	амардуан	ɑmɑrduɑn	@mauern	კიბე	kˀibɛ	@Giebel?	սանդուղք	sɑntʰuʁkʰ	Stand?	
323	BROOM	нуй	nu͡ʊɪ̆		аҧссага	ɑpʰ ssɑɡɑ 		ცოცხი	čʰɔčʰxi		ավել	ɑvɛl	s'ɑvɛl <> shovel	
324	SPADE	бел	bel		ажыга	ɑʐɨɡɑ 		ნიჩაბი	niçɑbi	ni.Schaufel?	բահ	bɑh	s'bah.tion  Spaten	
325	SHOVEL	аьшкал	æʃkəl	shovkel	аҭəарӷəы	ɑtʰəɑrʁəɨ		ბარი	bɑri	Bare	թի	tʰi	<> paddle	
326	FORK	мӏара	mʡə̄rə		ачқьыҧ	ɑçkʰʲipʰ		ჩანგალი	çɑnɡɑ li	<> Angel	պատառաքաղ	pɑtɑrɑkʰɑʁ	partrak > fork !!	!!!
327	SPOON	ӏайг	ʡəɪ̆ɡ		амҳаҵə	ɑmħɑč ʼə		კოვზი	kˀɔvzi		գդալ	ɡədal	≠Gabel	
328	KNIFE	урс	u͡ʊrs		аҳəызба	ɑħəɨzbɑ		დანა	dɑ nɑ	damasq?	դանակ	danak	danagger > dagger	
329	NAIL (TOOL)	хьостам	ʜostəm	osteo	аҵəымӷ	ɑč ʼəɨmʁ		ლურსმანი	lursmɑni	!!	մեխ	mɛχ	nɛχ ~ nails	
330	NET	бой	boɪ̆	boie	акаҭа	ɑkʼɑtʰɑ	a catcher	ბადე	bɑdɛ	fetch@water	ցանց	t͡sʰɑnt͡sʰ	the.netz	++
331	HOOK	мӏара	mʡə̄rə		аҵəаҳə	ɑč ʼəɑħə		კავი	kˀɑvi	≠caviar	կարթ	kɑɾtʰ	!	<<
332	HANDLE	handle [part of an object which is held]			амаа	ɑmɑː		ტარი	tˀɑri	<> tear,trag?	կոթ	kɔtʰ		
333	LOCK	чӏега	çʼeɡə		асаҧаҭ	ɑsɑpʰ ɑtʰ		კლიტე	kˀlitˀɛ	clee, let	կողպեք	kɔʁpɛkʰ		
334	PICTURE	сурт	su͡ʊrt		асахьа	ɑsɑχʲe		სურათი	surɑtʰi	pic.surɑtʰi	կողպեք	ŋkɑɾ		
335	IDOL				афигура	ɑfiɡurɑ	a figura	ფიგურა	pʰiɡurɑ	figure	նկար	ŋkɑɾ	≠anchor	
336	DOLL	тайниг	təɪ̆nɪɡ		акьанџьа	ɑkʼʲend͡ʒɑ	@ kinder	თოჯინა	tʰɔd͡ʒinɑ		տիկնիկ	tiknik	-nik russian	
337	POUCH	гали	ɡə̄lɪ		асакь	ɑsɑkʼʲ	a Sack	პარკი	pˀɑrkˀi	~pouch	տոպրակ	tɔpɾɑk		
338	BUNDLE	кочар	koçər		аҿаҳəара	ɑʈʈ͡ʂʼɑħə ɑrɑ	a share	გალა	ɡɑ lɑ	<	կապոց	kɑpɔčʰ		
339	BAG	тӏоьрмиг	tʼørmɪɡ	tornister	арҭмаҟ	ɑrtʰmɑqʼ	arithmatic?	ჩანთა	çɑntʰɑ	send? 𓎤 𓎅 Tasche	պայուսակ	pɑjusɑk		
340	BUCKET	чийлик	çɪɪ̆lɪk		аведра	ɑvɛdrɑ	a water fetcher	ჩამჩა	çɑmçɑ	send? 𓐎 ⲕⲁϫ kash 𓎅 Tasche	դույլ	dujl		
341	LID (COVER, CAP)	негӏар	neɣər		ахҩа	ɑχɥɑ		ხუფი	xupʰi	super	կափարիչ	kɑpʰɑɾiçʰ		
342	DISHWARE	пхьегӏа	pʜeɣə		ачысмаҭəа	ɑçɨsmɑtʰəɑ		ჭურჭელი	çˀurçˀɛli	court.Teller?	ամանեղեն	amanɛɣɛn		
343	SACK	гали	ɡə̄lɪ		асакь	ɑsɑkʼʲ	a sack	ტომარა	tˀɔm ɑrɑ	√sammel	պարկ	pɑɾk	pack	
344	CUP	кад	kəd	cattle кад~cupd	аҵəца	ɑč ʼəčʰɑ	a Tasse 𓎡𓎡	ფინჯანი	pʰind͡ʒɑni	pint	թաս	tʰɑs	Tasse	
345	POT	яй	jəɪ̆	jar	акаструлиа	ɑkʼɑstʼruliɑ	a kiste	ქოთანი	kʰɔtʰɑni	cattle	անոթ	ɑnɔtʰ		
346	KETTLE	яй	jəɪ̆	jar	ачуан	ɑçuɑn		ქვაბი	kʰvɑb i	cup	կաթսա	kɑtʰsɑ	kɑtʰsɑl	
347	MEAL	юург	juu͡ʊrɡ	jar, xor				ჭამა	çˀɑmɑ	𓆷𓄿𓃀𓏛 shamba 𓏶 𓐝 𓌽 𓏥  šambet 𓏶 𓅓 𓏏 𓏒 𓏥 sym.jam	կերակուր	kɛɾɑkuɾ	carne	
348	FOOD	кхача	qəçə	kaut	афатə	ɑfɑtʼə	a food	საზრდო	sɑzrdɔ	satt.carne?	ուտելիք	utɛlikʰ	food.lik	
349	DISH (FOOD)	юург	juu͡ʊrɡ	xor	афатə	ɑfɑtʼə	a food	საჭმელი	sɑçˀmɛli	satt.meal	խորտիկ	χɔɾtik		
350	MEAT	жижиг	ʒɪʒɪɡ	bashish	акəац	ɑkʼəɑč ʰ	ek eats эт @Turk   vs ma.eat : meat	ხორცი	xɔrčʰi	herz<<	միս	mis	meath	
351	GRAIN	буьртиг	byrtɪɡ		ачакуа	ɑçɑkʼuɑ		მარცვლოვანი	mɑrčʰvlɔvɑni	mɑrɨčʰ 'rice'	հացահատիկ	hɑčʰɑhɑtik		
352	MUSH	xудар	xu͡ʊdər		ақашь	ɑkʰɑʃ	a käse	ფაფა	pʰɑpʰ ɑ	pulp	լանդակ	lɑntʰɑk		
353	BREAD	бепиг	bepɪɡ	breap	ача	ɑçɑ	a dough 𓏏	პური	pˀuri	pˀurid bread!	հաց	hɑčʰ		
354	SLICE	цастар	čəstər		аҽыҭ	ɑʈ͡ʂʰɨtʰ	a ʈ͡ʂʰɨtʰ ~ slice	ნაჭერი	nɑçˀɛri	na.çer=cut	կտոր	kətɔɾ	cut.er	
355	FAT (ORGANIC SUBSTANCE)	мохь	moʜ		ашша	ɑʂʂɑ	ossa@	ქონი	kʰɔni	kʰɔni@Hase!	ճարպ	çɑɾp	carbs (ssic)	
356	BUTTER	налха	nəlxə		ахəша	ɑχəʂɑ	a käse	კარაქი	kˀ ɑrɑkʰi	greek;)	կարագ	kaɾaɡ		
357	OIL (ORGANIC SUBSTANCE)	даьтта	dætːə		азеҭ	ɑzɛtʰ	as Fett, zet@	ზეთი	zɛtʰi	x زيت‎ m (zēt) 𒉌𒄑 sweat s'fett Sud, jetel, jetoil	ձեթ	d͡zɛtʰ	Fett ƒet Sut	
358	SALT	туьха	tyxə	txal	аџьыка	ɑd͡ʒɨkʼɑ	a dsalk --	მარილი	mɑrili	𓈗 	աղ	ɑʁ	salt > s'haly > al ɑʁ	
359	SOUP	чорпа	çorpə	sourpa@LAT!	асуҧ	ɑsupʰ	ɑ supʰ	სუფი	supʰi	soup	սուպ	sup	surpa	
360	HONEY	моз	moz	mielz	ацха	ɑč ʰχɑ		თაფლი	tʰɑpʰ li	daph < debora, die.bee	մեղր	mɛʁəɾ	med/miel	
361	MILK	шура	ʃu͡ʊrə	šir @ ...	ахш	ɑχʂ	a kuhs	რძე	rd͡zɛ	ranze	կաթ	katʰ	cows	
362	TEA	чай	çəɪ̆	chai	ачаи	ɑçɑi	a chai	ჩაი	çɑi	chai	թեյ	tʰɛj	tea / chai	
363	LEATHER	цӏока	čʼōkə	dzor.ka	ацəа	ɑč ʰəɑ	a der!	ტყავი	tˀqˀɑvi	tqavr <<<	կաշի	kaʃi	𒋢 KUŚ  cows	
364	WOOL	тӏapгӏa	tʼapɣa	sheep.ɪɡa	аласа	ɑlɑsɑ	wool.asa	მატყლი	mɑtˀqˀli	"毛	máo.Tüchle, textile"	բուրդ	buɾtʰ		
365	CLOTH	кӏади	kʼədɪ	Kleid	Аба	ɑb ɑ	𓎛𓃀𓋳 <> bag, fashion …	ქსოვილი	kʰsɔvili	Schaf,cloth.le	գործվածք	ɡɔɾčvɑčkʰ	𓋳 garment/Zeugs	
366	NEEDLE (FOR SEWING)	маха	mə̄xə		агəыр	ɑɡəɨr	<<	ნემსი	nɛmsi	<<	ասեղ	ɑsɛʁ		
367	THREAD	тай	təɪ̆	Tau	арахəыц	 ɑrɑχəɨčʰ	a reiss-leine ---	ძაფი	d͡zɑpʰ i	<> Zwirn 2	թել	tʰɛl	Seil  tʰɛl.ed ~ tilled thread	
368	BUTTON	нуьйда	nyɪ̆də	knot ~ knob	аҳəынҵəра	ɑħəɨnčʼ ərɑ		ღილი	ɣili		կոճակ	kɔçɑk		
369	KNOT	шад	ʃəd		аиқəҳəала	áikʰəħəɑlɑ	á knotella	ნასკვი	nɑskˀvi	knosk knot	հանգույց	hɑŋkʰujčʰ		
370	PAINT (PIGMENTS)	сир, басар	sɪr, bəsər		ашəыга	ɑʂəɨɡɑ 	a Zeiger	საღებავი	sɑɣ ɛbɑvi	<<	ներկ	nɛɾk		
371	CLOTHES	бедар	bedər	be.der	амаҭəа	ɑmɑtʰəɑ	ga Maschen	ტანსაცმელი	tˀɑnsɑč ʰmɛli	<<	հագուստ	hɑkʰust		
372	SHIRT	коч	koç	coat	акьаҿ	ɑkʼʲeʈʈ͡ʂʼ	a kshürze	ხალათი	xɑlɑtʰi	shirati	վերնաշապիկ	vɛɾnɑʃɑpik		
373	COLLAR	кач	kəç		ахəда	ɑχədɑ 		საყელო	sɑqˀɛlɔ		օձիք	ɔčʰikʰ		
374	SLEEVE	пхьош	pʜoʃ		амаӷра	ɑmɑʁrɑ	<<	სახელო	sɑxɛlɔ	saxleeve	թեւք	tʰɛvkʰ		
375	TROUSERS	хеча	xeçə	Sattle	аиқəа	áikʰəɑ		შარვალი	ʃɑrvɑli		շալվար	ʃɑlvɑɾ		
376	BELT	доьхка	døxkə	-	амаҟа	ɑmɑqʼɑ		ქამარი	kʰɑmɑri	𓊃!	գոտի	ɡɔti	ɡɔti Gurt	
377	CAP	куй	ku͡ʊɪ̆	куйp	ахылҧа	ɑχɨlpʰɑ	a chilp > cap	ქუდი	kʰudi	Kutte	կեպի	kɛpi	kɛpi cap	
378	SHOE	мача	məçə	matsch@…	аимаа	áimɑː	<	ფეხსაცმელი	pʰɛxsɑč ʰmɛli	phoots	կոշիկ	koʃik	koʃ ~ ʃoʃ	
379	BOOT	этка	etkə		амагə	ɑmɑɡə	<	ჩექმა	çɛkʰmɑ	Tech.ma	երկարաճիթ կոշիկ	jɛɾkɑɾɑçitʰ kɔʃik		
380	RING	чӏуг	çʼu͡ʊɡ	-	амацəаз	ɑmɑč ʰəɑz		ბეჭედი	bɛçˀɛdi	<<	զնգալ	zŋkʰɑl	zink	
381	RIBBON	лента	lentə		алента	ɑlɛntʼɑ		ბაფთი	bɑpʰ tʰi		ժապավեն	ʒɑpɑvɛn		
382	COMB	ехк	exk	-	ахҳəа	ɑχħəɑ		სავარცხელი	sɑvɑrčʰxɛli	-----	սանր	sɑnəɾ	<	
383	MIRROR	куьзга	kyzɡə		асаркьа	ɑsɑrkʼʲe		სარკე	sɑrkˀɛ	sarco:sank 𓋹𓈖𓐍    r<>n ok in Gothic  <> sparkel spiegel	հայելի	hajɛli		
384	STRAP	доьхка	døxkə		аа	ɑː	!	ღვედი	ɣvɛdi		փոկ	pʰɔk		
385	STRING	муш	mu͡ʊʃ		ашаха	ɑʂɑχɑ	ɑ ʂɑχɑ	ლარი	lɑri	Leier	լար	lɑɾ	leier, line	
386	LEASH	кочатосу доьхка	koçətosu͡ʊ døxkə		аҕура	ɑʁurɑ	a Haar? <>  ɑrɑχəɨčʰ	ჯაჭვი	d͡ʒɑçˀvi		փոկ	pʰɔk		
387	BLANKET	юргӏа	jurɣə		ахыза	ɑχɨzɑ		საბანი	sɑb ɑni		վերմակ	vɛɾmɑk		
388	PILLOW	гIайба	ɡiəɪ̆bə		ахчы	ɑχçɨ	a kissen	ბალიში	bɑliʃi	ballistic pillowš	բարձ	baɾd͡z	@barden barlow?	
389	SCARF	исхар	ɪsxər	ɪscarf	акасы	ɑkʼɑsɨ	a cashmir	მაუდი	mɑudi		թաշկինակ	tʰɑʃkinɑk		
390	TOWEL	гата	ɡətə		ампахьшьы	ɑmpʼɑχʲʃɨ		ხელსახოცი	xɛlsɑxɔčʰi		սրբիչ	səɾpʰiçʰ		
391	FORCE	гӏора	ɣorə	!	амч	ɑmç	<> apt	ძალა	d͡zɑlɑ	𓂝 jalla! 	ուժ	uʒ	usher furʒ	
392	STRENGTH	гӏап	ɣəp	@Geber	амч	ɑmç	arm!   𓂝𓂡𓄊	ღონე	ɣɔnɛ	√can	պնդություն	pəntʰutʰjun	<<	
393	HEALTHY	могашалла	moɡəʃəlːə	?	агəабзиара	ɑɡəɑb zi ɑrɑ		ჯანმრთელობა	d͡ʒɑnmrtʰɛl ɔbɑ	𓋴 𓈖 𓃀 𓏜  san.murta.leba!!! 	առողջություն	ɑrɔʁd͡ʒutʰjun		
394	DISEASE	цамгар	čəmɡər	sëmundje mainą maim	ачымазара	ɑçɨmɑz ɑrɑ	Masern 𐎎𐎗𐎕 mrṣ <>  مرض‎ maraz	სენი	sɛni	 өвчин övchin <> 𐍃𐌹𐌿𐌺𐌴𐌹 siukei Säuche | νόσος reverse	ախտ	ɑχt	ached	
395	PAIN	лазар	ləzər		ахьаа	ɑχʲeː	ache	ტკივილი	tˀkˀivili	Qual	ցավ	čʰɑv		
396	WOUND	чов	çɔ͡ʊ	>>	ахəра	ɑχ ərɑ	hurt?  جرح‎ m (gurḥ) суран suran Scheren 	იარი	iɑri	жара jara < ker:cut	վերք	vɛɾkʰ	𓍬	
397	FEVER	xорша	xorʃə	chore:heat?	ашоура	ɑʂɔurɑ	a sura ☀	ციება	čʰi ɛbɑ	ƒieber  schieber	տենդ	tɛntʰ	temptess	
398	MEDICINE	молха	molxə	molke;)	ахəшə	ɑχəʂə		წამალი	čˀɑmɑli	¬mal	դեղ	dɛɣ	doc	
399	BRIDGE	тӏай	tʼəɪ̆	tell	ацҳа	ɑč ʰħɑ		ხიდი	xidi	< drocheti 𓈋 다리 dari	կամուրջ	kɑmuɾçʰ	𓆎𓈋𓏱?  𒄩𒄠𒈬𒊒𒊀 ḫammuruᶜwaₐ  *qʷəmbər- “beam”	
400	WELL	гӏу	ɣu͡ʊ̄	good ɣu͡ʊ̄ell	аҵыџь	ɑč ʼɨd͡ʒ	<<	ჭა	çˀɑ	chad	հոր	hɔɾ	𓎟	
401	PASTURE	дак	dək		аҳəырҭа	ɑħəɨrtʰɑ	a herde…	საძოვარი	sɑd͡zɔvɑri	<> grass	արոտավայր	ɑɾɔtɑvɑjɾ	Ort.Weiher	
402	PATH	тача	təçə	track	амхəасҭа	ɑmχəɑstʰɑ	mastaba  𓐝𓂝𓏏𓈖𓌙𓈐 𓈘𓏤𓊢𓂝𓏏𓉐	ბილიკი	bilikˀi	pilger Brücke <<<	արահետ	ɑɾɑhɛt	a road	
403	WAY	некъ	neqʼ	weg <> nagar	амҩа	ɑmɥɑ	मार्ग mārga 	გზა	ɡzɑ	goes?	ուղի	uʁi	UR ᶜurbi ᶜurid ^^	
404	ROAD	урам	u͡ʊrəm	ur	амҩа	ɑmɥɑ	मार्ग mārga 	შარაგზა	ʃ ɑrɑɡzɑ	Stragze, Strecke, track	ճանապարհ	çɑnɑpɑɾh	çɑnɑ.pass	
405	VILLAGE	юрт	jurt	™ < court	ақыҭа	ɑkʰɨtʰɑ	a kurta	დაბა	dɑ b ɑ	dörp!!! town 2*2 da.beide	գյուղ	ɡjuɣ	gvrg	
406	TOWN	гӏала	ɣə̄lə	< kur	ақалақь	ɑkʰɑlɑkʰʲ	a quell < kul < kur	ქალაქი	kʰɑlɑkʰi	colchose < kur.ki	քաղաք	kʰɑʁɑkʰ		
407	LETTER	кехат	kexət		ашəҟəы	ɑʂəqʼəɨ	a cheque	წერილი	čˀɛrili		նամակ	nɑmɑk	name?	
408	BOOK	жайна	ʒəjnə		ашəҟəы	ɑʂəqʼəɨ	a cheque	წიგნი	čˀiɡni		գիրք	ɡiɾkʰ	Werk	
409	CHARACTER	элп	elp		анбан	ɑnbɑn	a 𓃀  buchstaben?	ასო	ɑsɔ		տառ	tɑr	bux.tar textar ---	
410	NEWSPAPER	газет	ɡəzet	gazet	агазеҭ	ɑɡɑ zɛtʰ	a gazette	გაზეთი	ɡɑ zɛtʰi	gazette	լրագիր	ləɾɑkʰiɾ	lehrich	
411	LIFE	дахар	də̄xər	<<<	аҧсҭазаара	ɑpʰ stʰɑzɑːrɑ	ɑpʰ  stanza	სიცოცხლე	sičʰɔčʰxlɛ		կյանք	kjankʰ	[𓋹](𓋹) Sankt 生 shēng 身 	
412	DEATH	далар	 dələr	teil ^	аҧсра	ɑpʰ srɑ		სიკვდილი	sikˀvdili		մահ	mɑh	𓏱 	
413	GRAVE	каш	kəʃ	cash <> kursa	анышəынҭра	ɑnɨʂəɨntʰrɑ	---	სამარე	sɑmɑrɛ	Samara 𓋴𓏱 !!	գերեզման	ɡɛɾɛzman	graves.man!	
414	CHURCH	килс	kɪls	килс	ауахəама	ɑuɑχəɑmɑ	---	ეკლესია	ɛkˀlɛsiɑ	iglesia	եկեղեցի	jɛkɛʁɛčʰi	𓌨	
415	SIN	къа	qʼə		агəнаҳа	áɡənɑħɑ	agenda ;)	ცოდვა	čʰɔdvɑ	Tod(sünde)	մեղք	mɛʁkʰ	MAL?	
416	GOD	дела	dēlə	DEL	анцəа	ɑnčʰəɑ	antro 𓊹	ღმერთი	ɣmɛrtʰi	Martin, Mars, 𓋴𓏱 Immortal	աստված	ɑstvɑč	Astro	
417	WORKER	белхало	belxəlo	𓅡 𓎡 𓅂	аусуҩ	ɑusuɥ	a usus?  uсуҩ <> worker	მუშა	muʃɑ	Meister muslim	բանվոր	bɑnvɔɾ	𓅡𓎡𓂡 bankver ;)	
418	BOSS	хьаькам	ʜækəm	Hakam™	Аиҳабы	ɑiħɑb ɨ	a rabbi	გამგე	ɡɑ mɡɛ	<<	տեր	tɛɾ	tyrant	
419	MASTER (TRADE)	говзанча	ɡɔ͡ʊzənçə		аҟаза	ɑqʼɑzɑ	<<	ოსტატი	ɔstˀɑtˀi	arts@estate <> Stand	վարպետ	vɑɾpɛt	vɑɾpɛtɛr ?	
420	PHYSICIAN	лор	lor		аҳақьым	ɑħɑkʰʲim		ექიმი	ɛkʰimi	Arzim	բժիշկ	bəʒiʃkʰ	~	
421	TEACHER	хьехархо	ʜexərxo		арҵаҩы	ɑrčʼɑɥɨ	art-teacher	მასწავლებელი	mɑsčˀɑvlɛbɛli	master.lebe?	ուսուցիչ	usučʰiçʰ		
422	MONEY	aхча	axçə	argente	аҧара	ɑpʰ  ɑrɑ	ɑpʰ   ɑrɑ(gen.tum), a phora	ფული	pʰuli	ɑpʰ  ɑrɑ √para affaire	փող	pʰɔʁ	peso <> pay	
423	BUSINESS	туька	tykə	tech				საქმე	sɑkʰmɛ	Sache <> Sack,Sax! <> tax? < 𒆠𒍇 	գործ	ɡɔɾč	𓂓	
424	SHOP	туька	tykə	𒆠𒍇 	амагазин	ɑmɑɡɑ zin	ɑ mɑɡɑ zin	დუქანი	dukʰɑni	𒆠𒍇 	կրպակ	kəɾpɑk	𓂓	
425	PRICE	мах	məx	march	ахə	ɑχə	√argeon	ფასი	pʰɑsi	praisi	գին	ɡin	Gewinn	
426	WARE	хlума	xlu͡ʊmə		атауар	ɑtʼɑuɑr	at ware	საქონელი	sɑkʰɔnɛli	Sachen	ապրանք	ɑpɾɑŋkʰ	pranger pro…duct	
