№	English	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!				
66	fat	𓄞 𓂧 𓐏		fat	<> 𓄞 𓂧 𓄛 fata = water skin	
66	fat	𓂝 𓆓 𓎙 𓏌𓏥		fat, grease	edge  / OT: samin : fat ⇔ semen	
66	fat	𓄡 𓊪 𓈖 𓃾		 fat	<> schwarte? 
66	fat	𓈎 𓈖 𓄃		 fat	
66	fat	𓈎 𓈖 𓐎		 fat		
66	fat	𓊃 𓐍 𓈖 𓄹		~kidney fat?		
66	fat	𓊃 𓐍 𓈖 𓂘 𓏌 𓄹		kidney fat ?		
67	egg	𓏏 𓏥		 (those who are in the) egg
67	egg	𓅭 𓏏 𓁒		egg - laying duck	
67	egg	𓋴 𓅱 𓎛 𓏏 𓆇 𓐎		egg	Schutz++ chert Schale
68	horn	𓄏 𓏤		horn 	
68	horn	𓎛 𓆰 𓈖𓄏		horn	horn קֶרֶן‎ qéren <> 𓈎 𓋴 𓌟 κέρας keros <> bone
68	horn	𓎛 𓆱 𓈖 𓏌 𓏏		horn 		
68	horn	𓂧 𓃀 𓄏		horn, wing 	shabbur / dabbur : hornet 
68	horn	𓂝 𓃀 𓄏 𓏤		horn	ϣⲟⲡ šop 𒀉 = 𒁕+[[𒊺]] ŠE 𐀮 se 手 shǒu [[𒋗]] 𒀉𒌋𒆤 /sappartu/
69	tail	 الذيل dhyl~tail tier
69	tail  𓄜  tail  ذَيْل ḏayl ⋍ tail 𓄜 ⋍ 𓄛 tier
69	tail	𓋴 𓂧 𓄢		tail	Sterz 
69	tail	𓐍 𓃀 𓋴 𓇋 𓇋 𓏏 𓏥		tail		⇔ chopsed Knopf… γενειάδα knosso זנב zânâb  
69	tail	𓐍 𓃀 𓊃 𓏏 𓄢		tail	‘חצץ châptsats  ⇔ cut חצות middle vs  زنطيط‎ zanṭīṭ Schwanz
70	feather	𓆄 𓅱 𓏏 𓁸		feather	ßvthair
70	feather	𓆄 𓏏 𓏤 𓁸		feather	 
71	hair	𓁸		hair, grass	hair, herb +++ !! 	
71	hair	𓁸 𓏥		hair, grass		
71	hair	𓍲 𓈖 𓏌 𓏲 𓁸		hair, grass	Schnur(r), Schnüren++ DE++  ⇔ Schnitt	Schur
71	hair	𓍲 𓈖 𓏮 𓁸 𓏥		hair, grass		
71	hair	𓃀 𓎡 𓎡 𓁸		hair	black-hair?	
71	hair	𓃀 𓂓 𓁸		lock of hair	backhair black Pickel(haube) > pil@Latin پلٛ‎ peł “tress”	
71	hair	𓂧 𓃀 𓈖 𓏏 𓁸		lock? of hair	ᵏhair band
71	hair	𓈖 𓃀 𓂧 𓏏𓁸		tress 	AnBundt
71	hair	𓈖 𓄿 𓁺		tress of hair		
71	hair	𓅠 𓎛 𓏏 𓁸		plaited hair	fine hairth	
71	hair	𓇋 𓄿 𓂋 𓏏 𓁸		lock of hair		
71	hair	𓋴 𓐟 𓄿 𓅓 𓏏 𓁸		lock of hair	 Spairamid : Spirale ++	
71	hair	𓎛 𓆰 𓈖 𓊃 𓎡 𓇋 𓇋𓁸 𓏏		she who has braided hair		
71	hair	𓎛 𓆰 𓈖 𓊃 𓎡 𓏏𓁸		braided lock 		
71	hair	𓎛 𓆰 𓈖 𓋴 𓎡 𓇋𓇋 𓅂 𓁸 𓀭 𓏪		wearers of the side-lock 	
71	hair	𓎛 𓏏 𓁸 𓂡		become entangled 	hair-t?	
71	hair	𓁹 𓁸		coiffeur 	"fairs-hair / ""do hair"" / eye-d-hair"	
71	hair	𓂝 𓃀 𓄏 𓂡		comb 		
71	hair	𓄋 𓊪 𓏏		top knot 	
72	head	𓁶 𓊪		head, headman, chief, tip, example, the best of	top <> duper > super
72	head	𓁶 𓏤		head, tip 	fore-head®	tip <> top
72	head	𓁷 𓂋 𓇯 𓀀		head man	Oberherr / afasir: officer++ @ Kurd	
72	head	𓁷 𓂋 𓏮 𓇯 𓄋 𓏏 𓏤		summit of head	Ober-haupt!!	
72	head	𓂝 𓆑 𓈖 𓏏 𓋳		royal head - cloth		
72	head	𓃀 𓍑 𓄿 𓍢 𓏥 𓆱		mast-head		
72	head	𓄋 𓏏 𓏤		horns, top, brow, top-knot, head-dress, zenith	‘Haupt! + / houa‘jeb حواجب = brow 
72	head	𓄿		back of the head	hair / haar ⇔ Häher, Hor!	
72	head	𓅓 𓂝		back of the head	µHaar	
72	head	𓅓 𓇉 𓄿		back of the head	µhair ! / forehier -	
72	head	𓈙 𓆑 𓈙 𓆑 𓏏𓄅		‘ram‘s head‘		Schopf
72	head	𓉔 𓂧 𓀁		bregma 	HEAD/Scheitel	
72	head	𓋴 𓅁		head of family	Schahman +?+	
72	head	𓎼 𓌳 𓄿 𓄹		temple 		
72	head	𓌷 𓂝 𓏯 𓄻		temple 		
72	head	𓌴 𓐙 𓂝 𓆀		temple 	stirn	
72	head	𓍑 𓄿 𓍑 𓄿 𓁶 𓏤		head, tip 	Pfeil? / ƒNitzel	
72	head	𓍑 𓍑 𓁶		head, tip 	Pfeil-Top	
72	head	𓏃		who is at the head of, foremost		
72	head	𓐍 𓈖 𓏏		 who is at the head of, foremost	<> front	
73	ear	𓄔 𓏤		ear		
73	ear	𓄕 𓏤		ear		
73	ear	𓂈 𓏤		ear		
73	ear	𓄟 𓋴 𓇥 𓂋 𓄔	ear	#msḏr ⲙⲁϣϫ mašč	ⲙⲁⲁϫⲉ ma.oschen	
73	ear	𓇋 𓂧 𓄔		ear	ὠτίον < 𓃾𓄕 ἀφτίον 'Oschen' [[𓃾]] 
73	ear	𓇋 𓂧 𓄔		ear	ὠτίον <> 𐎜𐎄𐎐 widna ủ.d.n 𐩱𐩹𐩬‎ ʾḏn ܐܰܕ݂ܢܐ‎ aḏno אוזן ózen እዝን ʾəzn ኡዙን ʾuzun 𒉿 uznum 
73	ear	𓇥 𓂋 𓆓 𓄔		ear	ጆሮ ǧoroᵓ <> Gehöhr(tum) ҡолаҡ 
73	ear	𓅱 𓈙 𓄿		ear of corn	<> Osche	
73	ear	𓅱 𓈙 𓅓 𓌟		ear of corn	<> Oschen
74	eye	𓁹 eye	ⲓⲣⲓ,ⲓⲉⲣ 1. eyer erst / 2 Eier (confused dual)
74	eye	𓁹 𓏏 𓏮		eyes ⲓⲁⲧ⳼ eyeth  ido@Hausa eye.dual  (confused dual, plural)	
74	eye	𓂝 𓈖 𓁹		eye		Auᵍen ein 1 eyen ዐይን ʿäyn yǎn 眼 𒅆 IGI / īnu 𒌋*𒈨 10*100=1000(𓆼) (confused dual, plural)	
74	eye	𓃀 𓂋 𓂂 𓂂 | eye •balls | ⲃⲁⲗ бер > ⲓⲉⲣ ⋍ ⲓⲣⲓ ber@Avar ball bi[[2]] бӏаьрг bʿärg@Chechen > bir [[1]] bīr 𐰋𐰃𐰼‎ bir Blicker bright voiér
74	eye	𓎔 𓏏 𓏝 𓂂		the complete eye 	
74	eye	𓅜 𓐍 𓏏 𓁻		eye 	Acht Auge Äugt
74	eye	𓋹 𓈖 𓐍 𓏏 𓂀		eye 		
74	eye	𓋹 𓂀		eye 		
74	eye	𓂀		the uninjured eye of Horus	Horseye	
74	eye	𓊹 𓏏 𓂋 𓏏 𓂀		divine eye		
74	eye	𓁼		black eye paint	maska-ra ®	
74	eye	𓄟 𓋴 𓂧 𓅐 𓏏 𓈓		black eye - paint	Maskara™
74	eye	𓆓 𓆑 𓂧 𓂂		pupil 		
74	eye	𓆓 𓆑 𓆓 𓂂		pupil 	schön?	
74	eye	𓎛 𓇬 𓈖		pupil   X	← pupil ⇔ Schüler ⇔ Hasen	
75	nose	𓂉 𓏤		nose	<> ϣⲁⲛⲧ⳼ snout ⋍ 𓈙𓂋𓏏𓂉 <> 𓌢𓈖𓂉 sentir <> Schnute 𓂊
75	nose	𓂊		nose	 nâšam 👃 nšam ʾanfasa تنفس‎   náffasa napāšu  አንፈሰ    arr nnəfs   yí númfáashíi neefso (breathe) 
75	nose	𓆑 𓈖 𓂧 𓂉		nose		ƒnoδe <> 𓄤 nefes groten, numfashi = breathe  
75	nose	𓆑 𓈖 𓆓 𓐩 𓂉		nose	ϣⲁⲛⲧ⳼ snout Schnautze	
75	nose	𓈖 𓆑		blow nose 	Niesen ++++ DE	
75	nose	𓈙 𓂋 𓏏 𓂉		nose, nostril		3/4 letters match : os t r (𓂉 ϣⲁⲛⲧ⳼)
75	nose	𓈙 𓂋 𓏏 𓂉 𓄹		nose, nostril	shnout vs / schrt --	
76	mouth	𓂋		ⲣⲱ⳼ rota (russian рот) ⇔ red 𐍂𐌰𐌶𐌳𐌰 Rede Rachen
76	mouth	𓂋 𓏤		mouth, opening, utterance, speech, language, intent	 
76	mouth	𓂋 𓏤 𓄂 𓏏 𓏥 𓈗 𓈘		 river mouth		
76	mouth	𓊪 𓎼 𓄿 𓂘		entrance, mouth, arena, battlefield	
76	mouth	𓂐 𓏏 𓏰 𓏰		 lip	
77	tooth	𓄑 𓏤		tooth	Zahn שִׁנָּא‎ سِنّ‎ sinn
77	tooth	𓍿 𓊃 𓏏 𓄑		tooth	cznt ~ dents دنتان‎ dantán দান্দান dandan dzino 
77	tooth	𓍿 𓊃 𓏏 𓄑		tooth	czth ~  śade 𐎕 𐤑 ~ tooth ጥርስ ṭərs ὀδούς odoús <> tusk … 喙 chhùi?
77	tooth	𓇋 𓃀 𓎛 𓄑 𓏤		tooth, tusk	ivory 
77	tooth	𓈖 𓅘 𓎛 𓂧		tooth   Nager 牙 ngà 
77	tooth	𓈖 𓅘 𓎛 𓆓 𓏏 𓄑		tooth, tusk		Nagezahn
77	tooth	𓈖 𓆓 𓎛 𓏏 𓄑		tooth		<> dent permutation
78	tongue	𓄓		tongue		
78	tongue	𓄓 𓄻 𓏤		tongue		
78	tongue	𓈖 𓄓 𓋴 𓄻		tongue	'NG unge : the'unge/the'ongue/la'ingua 
78	tongue	𓊃 𓈖 𓎡 𓄓		tongue	Zunge	(<> Zank, Zinken)
78	tongue	𓈙 𓋴 𓐟 𓄿 𓅱 𓄓 𓏤		tongue	shsawn𓄓~Γ => zunge	 
78	tongue	𓍱 𓊃 𓂋 𓄓		tongue	𓍱zynᶜr Zunger 𓊃 𓍱 𓂋𓄓	
79	fingernail					
80	foot	𓃀	b…	see https://github.com/pannous/hieros/wiki/%F0%93%83%80
80	foot	𓂾		foot	ƥoeđ ®	
80	foot	𓂾 𓏏𓄹		foot	ƥođ ®	
80	foot	𓃀 𓅡 𓇋𓇋		foot-ewer		
80	foot	𓂋 𓂧 𓂾		foot	right foot	
80	foot	𓅱 𓂝 𓂋 𓏏𓂾	foot	hip joint, leg, lower leg, foot	
80	foot	𓈎 𓃀 𓎛 𓂾 𓄹		foot ?	
80	foot	𓉻 𓂝 𓄿		hoof, claw, foot		
80	foot	𓍿 𓃀 𓅱 𓋸		sole 	Kufen
81	leg	𓃛 𓂝 𓄯		leg 	eevo axen / Hüft haxen	
81	leg	𓃛 𓅱 𓂝 𓅱 𓄯 𓄹		thigh, leg 	Schenkel! +++ DE / shank	
81	leg	𓄿 𓆑 𓁹		part of animal leg	ersen / HünerAuge /	
81	leg	𓅱𓂝 𓂋 𓏏𓂾	foot	hip joint, leg, lower leg, foot	morth=mors=popo / Mord mort mortal++ ← / ⇔ morsch / ossicle ← ⇔ mors	
81	leg	𓆓 𓈖𓎛 𓂾		upper part of hind leg, ham		
81	leg	𓇋 𓃀 𓍿 𓏏𓂾		part of leg	?	
81	leg	𓇋 𓆛 𓈖 𓋴 𓏏 𓂾		calf, shank, thigh, hind-leg	hinsetz Bein ~ 𓇋 𓆛 𓈖	?
81	leg	𓋴 𓃀 𓈎 𓂾		calf 	‘see ‘bein‘ shift‘	
81	leg	𓋴 𓃀 𓈎 𓂾		calf 	Speck Bein+	
81	leg	𓋴 𓃀 𓈎 𓂾		calf 	šepíke <> pike ϣⲟⲡ šop 𒊺𒁉𒄿 šepí šap spazier
81	leg	𓋴 𓋴 𓏏 𓂾		calf 	shin = Schien	
81	leg	𓐍 𓈖 𓂧 𓂾 𓄹		 lower part, calf of leg	Schindbein 
82	knee	𓊪 𓂧 𓂾 𓄹		knee	√pod fuđ, afuḍ @ Berber 	
82	knee	𓌳 𓄿 𓊨 𓏏𓂾		knee, hock 	knisit Bein	
82	knee	𓌳 𓋴 𓏏𓂾		knee, hock 		
83	hand	𓂝 𓏤		arm, hand, forearm	many words and roots 𓂝 [[𓂞]] [[𓂠]] [[𓂟]] [[𓂦]] [[𓂡]] [[𓂢]]  …
83	hand	𓂧 𓏏 𓏤		hand	droit
83	hand	𓂧 𓏤		palm of hand		
83	hand	𓂧 𓏏 𓏤		hand, trunk, handle 		
83	hand	𓇥 𓂋 𓏏 𓂧		hand, trunk, handle 	
83	hand	𓍑 𓏏 𓂩		hand, handfull	dat…
83	hand	𓊏 𓊪 𓇹		palm 		
83	hand	𓊏 𓊪 𓂧		palm 	
83	hand	𓋀 𓂢		right - hand side, right, right side of		𓊿
83	hand	𓋀 𓅓 𓏮 𓂢		right hand, right side of, right		
83	hand	𓋁		left, east, eastern, the left side of	leva*	
83	hand	𓋁 𓃀 𓏏𓏮		east, eastern, left-hand		
83	hand	𓋁 𓃀 𓏮 𓂢		left, east, eastern, left-side of		lebanon / levante / left-hand
84	wing	𓂧 𓈖 𓎛 𓆃		wing	ⲧⲉⲛϩ тамэ tāmă дамэ dāmă ডানা ḍana djanat جَنَاح‎ janāḥ <> "Daunen" down feather
84	wing	𓂧 𓌳 𓏏 𓆃		wing	…
84	wing	𓆓 𓈖 𓎛 𓆃		wing	qanat канат ganat كَنَف‎ kanaf қанат kanat כָּנָף‎ kanáf ክንፍ kənf 𐎋𐎐𐎔 knp 	
84	wing	𓂧 𓃀 𓄏		horn, wing 	shabbur@AR dabbur : hornet 
85	belly	𓄡		belly, womb, body, sole 	‘askamb *skwmb / scrotch / scrotum / scratch / qobah ko‘-baw Körper+++‘	
85	belly	𓄡 𓂂 𓏏		belly 	scrotum scr+o+t	
85	belly	𓄡 𓏏 𓏤		belly, womb, body, sole 		
86	guts					
87	neck	𓄈		 neck	
87	neck	𓐍 𓐍 𓄈		neck, throat	ϧⲁϧ Gurgel na.xux nexus neck 
87	neck	𓄊 𓏏 𓏤 𓄻		neck	ⲙⲟⲩⲧ ⲙⲟϯ		
87	neck	𓋭 𓅿		neck	
87	neck	𓃀 𓂝 𓈖 𓏏 𓄻		neck		ⲛⲁϩⲃⲓ ↔ ⲛⲟϩⲉⲃ reverse
87	neck	𓃀 𓂝 𓈖 𓏏 𓅿		neck	bent	
87	neck	𓂝 𓐍 𓅓 𓄈		front of neck	
87	neck	𓅱 𓈙 𓈖 𓅿 𓂡		wring the neck  	<> 𓅾 		
88	back	𓊪 𓊃 𓂧	𓄻		back, spine  	paśδ <> past
88	back	𓊪 𓊃 𓂧	𓄩		back, spine  	pazch > back
88	back	𓊪 𓊃 𓂧 𓄦 𓄹		upper back	
88	back	𓊪 𓋴 𓆓 𓄪 𓄪 𓄪		back, spine	~ posture <> posterior
88	back	𓊪 𓂧 𓋴 𓅱 𓄪 𓏤		back		paδś posture 
88	back	𓊪 𓂧 𓋴 𓅱 𓄩 𓏤		back, spine	 	permutation
88	back	𓇋 𓄿 𓏏 𓄦 𓄻		back, spine 		paśδ > ƒat𓄦t
88	back	𓇋 𓄿 𓏏 𓄦 𓏏		back, spine, middle 	
88	back	𓄦 𓏏 𓏤		back, spine, middle 	
88	back	𓏏 𓂋		back		
88	back	𓐟 𓏤		back	
88	back	𓐠 𓏤		back	
89	breast	𓂒		breast		
89	breast	𓅌 𓏏		breast		
89	breast	𓃀 𓏏 𓄹  𓃀 𓅌 𓏏 𓏏𓏏		büste breast b*rust =tit DE++	beet-bein /	
89	breast	𓈎 𓄿 𓃀 𓏏𓄹		breast	Kurven /	
89	breast	𓈙 𓈖 𓃀 𓏏𓄹		breast	‘Scham-Be‘th: / shame breast /
89	breast	𓍲 𓈖 𓂝 𓄹		breast	schöner-bein ➙ bus:büste/brust-hard	
89	breast	𓍲 𓈖 𓃀 𓅌 𓏏		breast		
89	breast	𓍲 𓈖 𓃀 𓏏 𓄹		breast	schön-bust Brust Brut But	
89	breast	𓏠 𓈖 𓂧 𓂒		breast	⇔ Ammen / ňadra@CES gymnaδ ?	
89	breast	𓏠 𓈖 𓆓 𓂒		Mensch:Brust breast	<> mammel
90	heart	𓎛 𓄿 𓏏 𓏮 𓄣		heart, central chest, thought	ϩⲏⲧ heart 
90	heart	𓄂 𓏏 𓏮 𓄣		heart, central chest, thought	partie-heart	
90	heart	𓇉 𓏏 𓄣		heart, central chest, thought	
90	heart	𓄣 𓏤		heart, mind, understanding, intelligence, will, desire, mood, wish	
90	heart	𓄤 𓏤		heart and wind-pipe		ⲉϩⲧⲏ⳼ 
147	sun	𓊃 𓅱 𓇳		sun ~ •zora •sun Sarah > solar 
147	sun	𓆄 𓅱 𓇳		sun, sunlight	 shuin <> shine vs shade 𓆄 𓅱 𓇋 𓇋 𓏏 𓇳 𓋺
147	sun	𓂋 𓂝 𓇳 𓏤		sun	RA,Re,Ray,Roi,rì,日	Sonnenrad <> day
147	sun	𓂋 𓂝 𓏏 𓇳 𓁐		sun goddess 	Sandra reverse, Ruth <> Red Sun Rays 
147	sun	𓄝 𓏏 𓅱 𓏏 𓇶 𓏪		rays 	shoots
147	sun	𓋴 𓏏 𓅱 𓏏 𓇶		rays 	shoots <> Stern	
147	sun	𓋴 𓏏 𓄝 𓅱 𓏏𓇶		rays 	shoots	
147	sun	𓇋 𓏏 𓈖 𓇳		sun, disk of the sun	Aten-ra	
147	sun	𓇶 𓀀 𓁐 𓏥		the sun-folk of Heliopolis, mankind	Rayer ? / Raithenu ← / Reims	
147	sun	𓇶 𓅓 𓅓 𓏏𓀀 𓏥 𓁐		the sun-folk of Heliopolis, mankind		
147	sun	𓇶 𓏏 𓏥		the sun-folk of Heliopolis, mankind		
147	sun	𓎛 𓆰 𓈖 𓅓 𓅓 𓏏 𓀀 𓏥 𓁐		the sun-folk of Heliopolis, mankind	
148	moon	𓀭		moon god	Amun
148	moon	𓇋 𓂝 𓎛		moon		#jaḫ YHWH yuè 月⺝ < ᠪᡳᠶᠠ biya@Manchu > ай ay @ Turk 
148	moon	𓇋 𓎛 𓅆		moon god	aher-mon	
148	moon	𓇷 𓅂 𓎱		the new moon and its festival		
148	moon	𓇷 𓈖 𓏏 𓅂 𓎱		the new moon and its festival		
148	moon	𓊪 𓊃 𓂧 𓈖 𓇷		the new moon and its festival	Fasten Fest Passadena
149	star	𓇼 𓏤		star	stu.an / stu.arn / du.an / ahn.star	
149	star	𓋴 𓃀 𓄿 𓇼 𓇳		star	sphere spika <> spike звезда́	 
149	star	𓋴 𓃀 𓇼 𓏤 𓂧 𓍯 𓅱 𓇼		morning star	<> 𓂧 𓍯 𓅱 𓇼 dawn 𓇽 δern stern
149	star	𓊹 𓏤 𓇼 𓄿 𓇋𓇋 𓇼		morning star    
149	star	𓊹 𓂧 𓍯 𓅱 𓇼		morning star
149	star	𓎼 𓈖 𓄡 𓏏 𓇼		star	gün ☼ “sun child” ⇔ 星 xīng ⋍ 日生 
149	star	𓇮 𓏏 𓁐		Sirius, Sothis	
149	star	𓇮 𓏏 𓇼		Sirius, Sothis 	
149	star	𓇮 𓊪 𓂧 𓏏𓇼 𓁐		Sirius, SoThis
149	star	𓋴 𓎝 𓎡 𓇼 𓏥		scorch star!		
149	star	𓇋 𓐍 𓅓 𓋴 𓎝 𓎡 𓏥		indestructible star 		
149	star	𓇋 𓐍 𓅓 𓂜 𓋴 𓎡 𓇼		the indestructible star 
149	star	𓄿 𓈎 𓂧 𓇼 𓀭		a star	
150	water	many words, branches see https://github.com/pannous/hieros/wiki/water
150	water	𓎛 𓃀 𓃀 𓈅 𓈗		water 	PIE *h₂ep-  		
150	water	𓎛 𓃀 𓃀 𓏏 𓈗		water		Hwabbter³ 
150	water	𓍇 𓏌 𓇋 𓇋 𓈘		water, flood, pool		
150	water	𓈖 𓍇 𓏌 𓅱 𓇋 𓇋 𓈗		water, flood, pool	nässer…  نهر nahr nāru 𓈖 नाला nālā नाडी nāḍī √naut 𓈖 𓏏 𓏯 𓈗  
150	water	𓈖 𓏏 𓏯 𓈗		water	√nautic
150	water	𓈗		water, rain, semen
150	water	𓈗 𓇋 𓇋 𓈗		water	 מים maim ⇔ marine memnon meander	 Min first God
150	water	𓇉 𓄿 𓇋𓇋 𓏏 𓈗		flood water	floōd ⇔ ™ الفيضان ał phydιan !! ⇔ wyater	
150	water	𓊪 𓅮 𓊃 𓏋		water pot	
150	water	𓈎 𓃀 𓃀 𓏂 𓏏 𓈗		cold water		
150	water	𓈎 𓃀 𓎛 𓅱 𓏁 𓈗		cold water		
150	water	𓈎 𓃀 𓎛 𓅱 𓏂		cold water		
150	water	𓈎 𓃀 𓏂 𓈗		pour out 	qub ~ kippen ⇔ kübel cup ...	
150	water	𓈎 𓁺		cold water	aqua ++	
150	water	𓎛 𓎿 𓊃 𓅱 𓊛 𓈗		spell 		
150	water	𓏁 𓈗		cold water		
150	water	𓏂 𓈗		cold water	⇔ qubu ~ cool	
151	rain	𓇋 𓂧 𓏏 𓇲		pouring rain	√water
151	rain	𓇶		rayen vs raven rain		
151	rain	𓈗		water, rain, semen	
151	rain	𓎛 𓀜 𓏷 𓀜 𓈗		surge up, overflow, rain		
151	rain	𓎛 𓀝 𓇋 𓇋 𓏏 𓈗		rain		<> 𓎛 𓃀 𓃀 𓏏 𓈗
151	rain	𓊃 𓈖 𓌰 𓅓 𓅱 𓃫 𓇲 𓈗 𓏥		squalls 		
151	rain	𓇋 𓄿 𓂧 𓏏 𓏯 𓇲		pouring rain, dew, pestilence, affliction, influence	
151	rain	𓇋 𓂧 𓏏 𓇲		pouring rain	√water
152	river	𓇋 𓏏 𓂋 𓅱 𓈙 𓏥		river	√water	
152	river	𓂋 𓄂 𓏏 𓏤 𓈘		river mouth	ripharth / rivers*	
152	river	𓂋 𓏤 𓄂 𓏏 𓏤 𓈗		river mouth		
152	river	𓂋 𓏤 𓄂 𓏏 𓏤 𓈘		river mouth		
152	river	𓇋 𓏏 𓂋 𓃭 𓈘 𓈅 𓏤		river	
152	river	𓇋 𓏏 𓂋 𓅱 𓈘		river	~Eider, Oder  / ~iΘter : Ister! iterate	
152	river	𓇋 𓏏 𓂋 𓏲 𓈘 𓈇 𓏤		river		
152	river	𓇋 𓏏 𓂋 𓇋𓇋 𓈗 𓈘 𓈇		river		
152	river	𓇋 𓏏 𓂋 𓈘		river		
152	river	𓇋 𓏏 𓂋 𓈘 𓈗		river		
152	river	𓂋 𓏤 𓄂 𓏏 𓏥 𓈗 𓈘		 river mouth		
152	river	𓎗 𓃀 𓈄 𓈇 𓏤		river bank	wiver land ⇔ swamp swiba reef river	
153	lake	𓈙 𓈇 𓏤		lake, pool, garden, basin, sea		See! ⇔ swamp, Shad
153	lake	𓈘 𓈅 𓏤		canal, artificial lake	River	
153	lake	𓄞 𓂧 𓈘 𓈅 𓏤		artificial lake	Shad al Arab = Schied-river	
153	lake	𓎛 𓆰 𓈖 𓏏 𓏯 𓈘 𓈇		swampy lake, watercourse		
153	lake	𓎛 𓆰 𓈖 𓏏 𓈙		swampy lake, watercourse	chemp ~ swamp / ⇔ / Kanal! :	
154	sea	𓈙   	sea See, ocean 
154	sea	𓈙 𓈇 𓏤		lake, pool, garden, basin, sea		
154	sea	𓈙 𓈇 𓏤		sea 	a'sea / o'sean ocean (1) Shad
154	sea	𓇅 𓅨 𓈘		the sea	gree-ver / ⇔ grief	
154	sea	𓇅 𓆓 𓅨 𓈗 𓈘		the sea	reesh vermeer / Rico Vermeer ! ← WTF / Greece versea ⇔ Verse ← / rich-wärmer ⇔ Schwärmer	
154	sea	𓇆		draya@P = sea!		
154	sea	𓇆 𓅨 𓂋 𓇋𓈗 𓈘 𓈅 𓏤		the sea	shreen very sea ___ / green very meer	
154	sea	𓇆 𓅨 𓈘		the sea  ←	xwed @P! ⇔ Schwarz! ⇔ sweat	
154	sea	𓇋𓇋𓈗 𓈘 𓈅 𓏤		sea		
154	sea	𓇋𓇋𓏲 𓅓 𓂝 𓈗 𓈘 𓈇		sea		
154	sea	𓍯 𓄿 𓅱𓈗		wave 	Roaun? / Wogen	
154	sea	𓎗 𓃀 𓈅 𓏤		river-bank, riparian-lands, sea-shore		
154	sea	𓎘 𓃀 𓈄 𓏥		sea shore	reef river	
154	sea	𓎡 𓆑 𓍘 𓅱𓊛 𓏥		a type of sea - going ships	←^^> Captain Crete / ➙	
155	salt	𓆷		/// Marspa ➙ Moor-spaten marsh+pan vs salt-pan span, svan, suan, swamp, evan, eban,	‘/// Marsh : march markt matsch marschieren / /// a‘VAN Fan Farn even / /// Einfang, Anfang, Empfang, fen~pen, bang!, sing, Sänger / //////‘	
155	salt	𓎛 𓌳 𓄿 𓏏𓍖 𓈒 𓏥		salt		
155	salt	𓎛 𓌴 𓏏𓈒 𓏥		salt	‘Halaitz ἁλίζ shalis saletz ال.صلت=salt,Salz +++ N !! halltu@cym solit@CES ⇔ na‘solený‘	
156	stone	𓊌	
156	stone	𓃀 𓇋 𓏏 𓊌	 block (of stone) 	petra <> 𓃀 𓇋 𓏏 𓈞 𓈉 quarry 
156	stone	𓇋 𓈖 𓂋 𓊌		stone, rock, slab, block	fchnr ⇔ chern?	
156	stone	𓊃 𓍿 𓊌		libation stone		
156	stone	𓂝 𓃀 𓊌		offering - stone	 oba-stone	
156	stone	𓂝 𓃀 𓄿 𓌂 𓊌		offering - stone		
156	stone	𓂋 𓅂 𓀀 𓏥		 stone masons	
156	stone	𓂋 𓅱 𓂧 𓏏 𓊌		hard stone, sandstone	Rundt-Stein? + ←	
156	stone	𓂝 𓃀 𓅡 𓄿  𓊬		offering - stone	obver / Opfer-Stein	
156	stone	𓂝 𓃀 𓌂 𓊌		offering - stone	Opfer-Stein / offer-stone / *orbva ?	
156	stone	𓂝 𓅡		offering - stone	obva-stone / Opfer Stein / ἐƥάγ epo.g ⇔ Epoch!?	
156	stone	𓂧 𓈖 𓏌 𓅱 𓏜		flaw 		
156	stone	𓃀 𓇋𓏏𓊌		block 	‘??? / ~piece / brick ~ brikett -- / קה pûqâh poo-kaw‘ / From /  a stumbling block: - grief. / פי dophîy dof‘-ee ®  /  a stumbling block: - slanderest. / פק dâphaq daw-fak‘  dafuck!‘	
156	stone	𓃀 𓈖 𓃀 𓈖 𓉴		Benben stone 		
156	stone	𓅱 𓂧 𓈖 𓏏 𓍘 𓊌		heavy block of stone		
156	stone	𓇋𓃀 𓃔 𓉔 𓄿 𓅱 𓏏 𓏮 𓈒 𓏥		Ibhet stone	Ibhet 𓈒 
156	stone	𓇋𓊃𓏏𓇤		boundary-stone, landmark	a-stein	
156	stone	𓇩 𓏏 𓏤		boundary stone, landmark		
156	stone	𓈖𓍑 𓄿 𓏴 𓏥		chips 		
156	stone	𓉔 𓂧 𓂢 𓂡		attack, punish, dismiss, obstruct, prevail over, excavate 		
156	stone	𓉻 𓏏𓆇		stone vessel	aqh_t? ⇔ quart? / chert? / ~dortei ⇔ Dotter -	
156	stone	𓉻 𓏏𓈒		costly stone, metal		
156	stone	𓉻 𓏏𓈒 𓎰 𓎸 𓎵		 stone vessels		
156	stone	𓉻 𓏏𓎸		stone vessel		
156	stone	𓊃 𓍿		libation stone	Schütt OK see ^^ vs gush/gieß/schieß~schüth!! / ~Ziegel? zys..?	
156	stone	𓊹 𓌨 𓏏𓅂 𓂡 𓏥		 stone masons	negrotaner / ⇔ necropolis	
156	stone	𓌏 𓀀		hewer, carpenter		
156	stone	𓌂 𓏤 𓊌		offering - stone		
156	stone	𓌗 𓏏𓊌		hard stone, sandstone		
156	stone	𓌦 𓐍 𓏏 𓊌		stone for patching ?		
